cell_idx,df_name,df_col,cpu->gpu,cost-cpu->gpu,gpu->cpu,cost-gpu->cpu
0,course,course_code,557.0,358.889334645306,154.0,66.998058613008
0,course,course_title,875.0,471.054247139766,229.0,123.668368169568
0,course,num_ratings,10.2,9.00511785984,200.0,73.30969959632
0,course,useful,685.0,335.43566468565604,160.0,55.48549071972
0,course,easy,508.0,335.2892215749961,154.0,55.41592684296
0,course,liked,507.0,335.377507852236,166.0,55.4605326876
0,course,num_reviews,9.77,9.00511785984,81.1,73.30969959632
0,course,reviews,1800.0,1505.191351482066,991.0,636.5596335888001
0,course,course_rating,561.0,384.24466298931605,171.0,81.11933678748
0,course,course_rating_int,65.5,43.013356020992,102.0,98.27364349670401
1,course,course_code,539.0,358.889334645306,152.0,66.998058613008
1,course,course_title,610.0,471.054247139766,230.0,123.668368169568
1,course,num_ratings,9.38,9.00511785984,80.2,73.30969959632
1,course,useful,532.0,335.43566468565604,149.0,55.48549071972
1,course,easy,527.0,335.2892215749961,145.0,55.41592684296
1,course,liked,537.0,335.377507852236,146.0,55.4605326876
1,course,num_reviews,9.51,9.00511785984,79.4,73.30969959632
1,course,reviews,1800.0,1505.191351482066,995.0,636.5596335888001
1,course,course_rating,582.0,384.24466298931605,264.0,81.11933678748
1,course,course_rating_int,68.3,43.013356020992,98.0,98.27364349670401
2,course,course_code,549.0,358.889334645306,155.0,66.998058613008
2,course,course_title,644.0,471.054247139766,236.0,123.668368169568
2,course,num_ratings,9.36,9.00511785984,79.6,73.30969959632
2,course,useful,573.0,335.43566468565604,144.0,55.48549071972
2,course,easy,760.0,335.2892215749961,143.0,55.41592684296
2,course,liked,686.0,335.377507852236,233.0,55.4605326876
2,course,num_reviews,9.93,9.00511785984,78.1,73.30969959632
2,course,reviews,1840.0,1505.191351482066,967.0,636.5596335888001
2,course,course_rating,559.0,384.24466298931605,159.0,81.11933678748
2,course,course_rating_int,64.4,43.013356020992,97.3,98.27364349670401
3,course,course_code,537.0,358.889334645306,150.0,66.998058613008
3,course,course_title,611.0,471.054247139766,226.0,123.668368169568
3,course,num_ratings,9.27,9.00511785984,77.6,73.30969959632
3,course,useful,488.0,335.43566468565604,155.0,55.48549071972
3,course,easy,488.0,335.2892215749961,155.0,55.41592684296
3,course,liked,503.0,335.377507852236,211.0,55.4605326876
3,course,num_reviews,9.5,9.00511785984,79.4,73.30969959632
3,course,reviews,1770.0,1505.191351482066,1000.0,636.5596335888001
3,course,course_rating,536.0,384.24466298931605,162.0,81.11933678748
3,course,course_rating_int,63.2,43.013356020992,100.0,98.27364349670401
4,course,course_code,538.0,358.889334645306,153.0,66.998058613008
4,course,course_title,594.0,471.054247139766,231.0,123.668368169568
4,course,num_ratings,9.71,9.00511785984,77.8,73.30969959632
4,course,useful,486.0,335.43566468565604,143.0,55.48549071972
4,course,easy,492.0,335.2892215749961,143.0,55.41592684296
4,course,liked,483.0,335.377507852236,151.0,55.4605326876
4,course,num_reviews,9.51,9.00511785984,156.0,73.30969959632
4,course,reviews,1730.0,1505.191351482066,1000.0,636.5596335888001
4,course,course_rating,545.0,384.24466298931605,170.0,81.11933678748
4,course,course_rating_int,66.0,43.013356020992,98.3,98.27364349670401
5,course,course_rating,567.0,384.24466298931605,169.0,81.11933678748
5,course,liked,483.0,335.377507852236,158.0,55.4605326876
5,course,easy,491.0,335.2892215749961,153.0,55.41592684296
5,course,useful,502.0,335.43566468565604,200.0,55.48549071972
5,course,course_title,611.0,471.054247139766,241.0,123.668368169568
5,course,course_rating_int,65.5,43.013356020992,167.0,98.27364349670401
5,course,course_code,532.0,358.889334645306,147.0,66.998058613008
5,course,num_reviews,8.76,9.00511785984,76.5,73.30969959632
5,course,reviews,1800.0,1505.191351482066,1010.0,636.5596335888001
5,course,num_ratings,9.99,9.00511785984,79.5,73.30969959632
6,course,course_code,509.0,353.251311056286,148.0,65.972063914968
6,course,course_unit,977.0,332.485818101646,136.0,55.480486043928
6,course,course_num,965.0,330.29442657729595,139.0,54.373305257328006
7,course,course_code,485.0,353.251311056286,235.0,65.972063914968
7,course,course_title,592.0,463.685882585316,221.0,121.768134318048
7,course,num_ratings,9.58,8.877018560640002,78.5,72.1763990972
7,course,useful,507.0,330.190725235776,146.0,54.320911090608
7,course,easy,476.0,330.054792396216,141.0,54.252232250448
7,course,liked,480.0,330.14132696160596,141.0,54.295953058488
7,course,num_reviews,9.67,8.877018560640002,80.0,72.1763990972
7,course,reviews,1730.0,1484.946853803006,1060.0,627.801262924368
7,course,course_rating,512.0,381.116842481346,162.0,80.05087213312801
7,course,course_rating_int,55.3,42.35068791603201,78.4,95.24389697560001
7,course,course_unit,969.0,332.485818101646,135.0,55.480486043928
7,course,course_num,981.0,330.29442657729595,152.0,54.373305257328006
8,course,num_reviews,21.8,8.877018560640002,79.4,72.1763990972
9,course,num_reviews,8.74,8.877018560640002,84.5,72.1763990972
10,course,course_rating,406.0,263.044866985296,114.0,55.830506644128
10,course,liked,326.0,227.58321229389603,101.0,37.913825713727995
10,course,easy,331.0,227.63646433413604,93.2,37.940730826368004
10,course,useful,337.0,227.65293042552602,93.3,37.949050170408
10,course,course_title,423.0,318.500560732596,149.0,83.848995326928
10,course,course_rating_int,29.6,29.467054802432003,70.2,65.719836154
10,course,course_unit,678.0,229.23472622607602,92.0,38.748238220208
10,course,course_code,340.0,243.493310342706,97.8,45.952259136887996
10,course,course_num,704.0,227.78185641768601,100.0,38.014188864168
10,course,num_reviews,6.82,6.386504288639999,43.7,50.142702697999994
10,course,reviews,1050.0,1001.414534356716,665.0,421.592060428608
10,course,num_ratings,8.56,6.386504288639999,50.0,50.142702697999994
11,course,course_code,345.0,243.493310342706,198.0,45.952259136887996
11,course,course_title,422.0,318.500560732596,120.0,83.848995326928
11,course,num_ratings,6.59,6.386504288639999,32.8,50.142702697999994
11,course,useful,353.0,227.65293042552602,78.5,37.949050170408
11,course,easy,330.0,227.63646433413604,81.7,37.940730826368004
11,course,liked,334.0,227.58321229389603,93.4,37.913825713727995
11,course,num_reviews,6.93,6.386504288639999,32.8,50.142702697999994
11,course,reviews,1060.0,1001.414534356716,691.0,421.592060428608
11,course,course_rating,379.0,263.044866985296,88.7,55.830506644128
11,course,course_rating_int,28.6,29.467054802432003,32.2,65.719836154
11,course,course_unit,690.0,229.23472622607602,83.8,38.748238220208
11,course,course_num,679.0,227.78185641768601,82.0,38.014188864168
12,course,easy,6.78,6.386504288639999,31.9,50.142702697999994
12,course,useful,6.73,6.386504288639999,74.4,50.142702697999994
12,course,liked,6.36,6.386504288639999,31.9,50.142702697999994
13,course,course_rating,768.0,263.044866985296,87.9,55.830506644128
13,course,liked,6.79,6.386504288639999,32.1,50.142702697999994
13,course,easy,6.92,6.386504288639999,31.5,50.142702697999994
13,course,useful,6.88,6.386504288639999,30.5,50.142702697999994
13,course,course_title,609.0,318.500560732596,121.0,83.848995326928
13,course,course_rating_int,29.1,29.467054802432003,49.6,65.719836154
13,course,course_unit,672.0,229.23472622607602,82.4,38.748238220208
13,course,course_num,852.0,227.78185641768601,114.0,38.014188864168
13,course,course_code,542.0,243.493310342706,81.5,45.952259136887996
13,course,num_reviews,6.87,6.386504288639999,31.1,50.142702697999994
13,course,reviews,1240.0,1001.414534356716,635.0,421.592060428608
13,course,num_ratings,7.06,6.386504288639999,32.7,50.142702697999994
14,course,course_code,564.0,243.493310342706,91.0,45.952259136887996
14,course,course_title,625.0,318.500560732596,230.0,83.848995326928
14,course,num_ratings,7.17,6.386504288639999,31.7,50.142702697999994
14,course,useful,6.79,6.386504288639999,31.3,50.142702697999994
14,course,easy,6.82,6.386504288639999,30.0,50.142702697999994
14,course,liked,6.74,6.386504288639999,31.0,50.142702697999994
14,course,num_reviews,7.54,6.386504288639999,30.2,50.142702697999994
14,course,reviews,1300.0,1001.414534356716,631.0,421.592060428608
14,course,course_rating,528.0,263.044866985296,87.1,55.830506644128
14,course,course_rating_int,30.1,29.467054802432003,63.1,65.719836154
14,course,course_num,849.0,227.78185641768601,82.4,38.014188864168
15,course,course_rating,536.0,263.044866985296,91.7,55.830506644128
15,course,liked,12.4,6.386504288639999,38.2,50.142702697999994
15,course,easy,6.46,6.386504288639999,50.3,50.142702697999994
15,course,useful,6.48,6.386504288639999,47.6,50.142702697999994
15,course,course_title,576.0,318.500560732596,146.0,83.848995326928
15,course,course_rating_int,28.9,29.467054802432003,91.8,65.719836154
15,course,course_num,847.0,227.78185641768601,78.1,38.014188864168
15,course,course_code,498.0,243.493310342706,86.2,45.952259136887996
15,course,num_reviews,6.92,6.386504288639999,31.8,50.142702697999994
15,course,reviews,1210.0,1001.414534356716,645.0,421.592060428608
15,course,num_ratings,6.64,6.386504288639999,32.3,50.142702697999994
16,course,course_code,510.0,243.493310342706,89.8,45.952259136887996
16,course,num_ratings,7.39,6.386504288639999,88.3,50.142702697999994
16,course,useful,7.0,6.386504288639999,31.3,50.142702697999994
16,course,easy,6.52,6.386504288639999,31.2,50.142702697999994
16,course,liked,6.26,6.386504288639999,30.6,50.142702697999994
16,course,num_reviews,6.43,6.386504288639999,32.1,50.142702697999994
16,course,course_rating_int,29.3,29.467054802432003,29.7,65.719836154
16,course,course_num,831.0,227.78185641768601,87.9,38.014188864168
17,course,course_code,541.0,243.493310342706,105.0,45.952259136887996
17,course,num_ratings,6.57,6.386504288639999,32.5,50.142702697999994
