cell_idx,df_name,df_col,cpu->gpu,cost-cpu->gpu,gpu->cpu,cost-gpu->cpu
0,popul_df,tier,2.84,1.15121971072,376.0,3.8168154857600003
0,popul_df,rank,0.803,1.15121971072,3.01,3.8168154857600003
0,popul_df,name,6.51,12.178721644768,4.13,2.824342900304
0,vlgr_df,Name,5.41,11.525517135008,3.85,2.763787469104
0,vlgr_df,Species,5.31,11.450777429408001,3.54,2.731454131984
0,vlgr_df,Gender,5.75,11.424618532448001,3.49,2.718237585424
0,vlgr_df,Personality,5.75,11.497956868568,3.5,2.755291117744
0,vlgr_df,Hobby,5.66,11.675930792528002,3.65,2.845210836304
0,vlgr_df,Birthday,5.09,11.559617125688002,3.73,2.7864444060639997
0,vlgr_df,Catchphrase,5.32,11.766552685568001,3.64,2.8841524467040003
0,vlgr_df,Favorite Song,5.56,12.533101791128,3.94,3.251147623504
0,vlgr_df,Style 1,5.61,11.553544524608,5.05,2.783376279184
0,vlgr_df,Style 2,5.66,11.578769175248,3.79,2.796120806224
0,vlgr_df,Color 1,5.67,11.460587015768002,3.73,2.736410336944
0,vlgr_df,Color 2,5.7,11.451244552568001,3.94,2.731690141744
0,vlgr_df,Wallpaper,6.26,13.500046732328,3.79,3.750544275664
0,vlgr_df,Flooring,6.16,13.848520609688,5.71,3.942892230064
0,vlgr_df,Furniture List,8.4,21.329498017088,4.41,7.722588536464
0,vlgr_df,Filename,5.43,11.432559626168,3.76,2.722249751344
0,vlgr_df,Unique Entry ID,5.4,13.624301492888002,3.86,3.8296075452640004
1,vlgr_df,Name,5.37,11.525517135008,3.73,2.763787469104
1,vlgr_df,Species,5.64,11.450777429408001,4.82,2.731454131984
1,vlgr_df,Gender,5.3,11.424618532448001,3.27,2.718237585424
1,vlgr_df,Personality,5.62,11.497956868568,3.46,2.755291117744
1,vlgr_df,Hobby,5.28,11.675930792528002,4.03,2.845210836304
1,vlgr_df,Birthday,5.11,11.559617125688002,3.84,2.7864444060639997
1,vlgr_df,Catchphrase,5.55,11.766552685568001,3.63,2.8841524467040003
1,vlgr_df,Favorite Song,5.59,12.533101791128,5.07,3.251147623504
1,vlgr_df,Style 1,5.77,11.553544524608,3.21,2.783376279184
1,vlgr_df,Style 2,5.9,11.578769175248,3.34,2.796120806224
1,vlgr_df,Color 1,5.39,11.460587015768002,3.78,2.736410336944
1,vlgr_df,Color 2,5.54,11.451244552568001,3.46,2.731690141744
1,vlgr_df,Wallpaper,5.86,13.500046732328,3.88,3.750544275664
1,vlgr_df,Flooring,5.57,13.848520609688,5.24,3.942892230064
1,vlgr_df,Furniture List,7.2,21.329498017088,4.63,7.722588536464
1,vlgr_df,Filename,5.58,11.432559626168,3.57,2.722249751344
1,vlgr_df,Unique Entry ID,5.73,13.624301492888002,4.12,3.8296075452640004
2,popul_df,tier,0.741,1.15121971072,2.67,3.8168154857600003
2,popul_df,rank,0.8230000000000001,1.15121971072,2.51,3.8168154857600003
2,popul_df,name,5.81,12.178721644768,3.67,2.824342900304
3,vlgr_df,Name,5.29,11.525517135008,3.63,2.763787469104
3,vlgr_df,Species,5.39,11.450777429408001,3.73,2.731454131984
3,vlgr_df,Gender,5.38,11.424618532448001,3.54,2.718237585424
3,vlgr_df,Personality,5.37,11.497956868568,3.48,2.755291117744
