ground_truth_schedule,ground_truth_total_cost,cost_model_schedule,cost_model_total_cost,actual_time_for_cost_model_schedule,predicted_schedule,predicted_total_cost,actual_time_for_predicted_schedule,predicted_cost_model_schedule,predicted_cost_model_total_cost,actual_time_for_predicted_cost_model_schedule
gpu,176326.25999999998,gpu,58219.20975295181,176777.15999999997,gpu,177130.6965,176326.25999999998,gpu,58982.151252951786,176777.15999999997
gpu,176326.25999999998,gpu,58219.20975295181,176777.15999999997,gpu,177130.6965,176326.25999999998,gpu,58982.151252951786,176777.15999999997
gpu,176326.25999999998,gpu,58219.20975295181,176777.15999999997,gpu,177130.6965,176326.25999999998,gpu,58982.151252951786,176777.15999999997
cpu,176326.25999999998,cpu,58219.20975295181,176777.15999999997,cpu,177130.6965,176326.25999999998,cpu,58982.151252951786,176777.15999999997
cpu,176326.25999999998,cpu,58219.20975295181,176777.15999999997,cpu,177130.6965,176326.25999999998,cpu,58982.151252951786,176777.15999999997
cpu,176326.25999999998,cpu,58219.20975295181,176777.15999999997,cpu,177130.6965,176326.25999999998,cpu,58982.151252951786,176777.15999999997
cpu,176326.25999999998,cpu,58219.20975295181,176777.15999999997,cpu,177130.6965,176326.25999999998,cpu,58982.151252951786,176777.15999999997
cpu,176326.25999999998,cpu,58219.20975295181,176777.15999999997,cpu,177130.6965,176326.25999999998,cpu,58982.151252951786,176777.15999999997
gpu,176326.25999999998,gpu,58219.20975295181,176777.15999999997,gpu,177130.6965,176326.25999999998,gpu,58982.151252951786,176777.15999999997
gpu,176326.25999999998,gpu,58219.20975295181,176777.15999999997,gpu,177130.6965,176326.25999999998,gpu,58982.151252951786,176777.15999999997
gpu,176326.25999999998,gpu,58219.20975295181,176777.15999999997,gpu,177130.6965,176326.25999999998,gpu,58982.151252951786,176777.15999999997
gpu,176326.25999999998,gpu,58219.20975295181,176777.15999999997,gpu,177130.6965,176326.25999999998,gpu,58982.151252951786,176777.15999999997
cpu,176326.25999999998,cpu,58219.20975295181,176777.15999999997,cpu,177130.6965,176326.25999999998,cpu,58982.151252951786,176777.15999999997
cpu,176326.25999999998,cpu,58219.20975295181,176777.15999999997,cpu,177130.6965,176326.25999999998,cpu,58982.151252951786,176777.15999999997
cpu,176326.25999999998,cpu,58219.20975295181,176777.15999999997,cpu,177130.6965,176326.25999999998,cpu,58982.151252951786,176777.15999999997
cpu,176326.25999999998,gpu,58219.20975295181,176777.15999999997,cpu,177130.6965,176326.25999999998,gpu,58982.151252951786,176777.15999999997
