cell_idx,df_name,df_col,cpu->gpu,cost-cpu->gpu,gpu->cpu,cost-gpu->cpu
0,train,text,92.0,37.8396090253024,81.2,13.2654555575552
0,train,username,36.0,10.5660651165262,25.3,5.0005766699192
0,train,hashtags,48.8,6.739252052858199,11.2,4.7404868341064
0,train,created_at,2.1,0.7579337199039999,5.22,2.0706789833216
0,train,user followers count,1.58,1.05550259488,8.97,2.9798592859664
0,train,replycount,1.58,1.05550259488,3.2,2.9798592859664
0,train,retweetcount,1.3,1.05550259488,3.66,2.9798592859664
0,train,likecount,1.36,1.05550259488,5.07,2.9798592859664
0,train,quotecount,1.14,1.05550259488,4.9,2.9798592859664
0,train,language,15.8,9.320735792508401,7.38,4.3713498687344
0,train,quotedtweet,38.6,4.6734816243112,9.45,4.2431682478832
0,train,inReplyToTweetId,3.68,1.889348975744,6.04,2.5625474702096
0,train,inReplyToUser,32.8,10.9579791121504,10.2,5.795261653498399
0,train,mentionedUsers,84.4,37.8396090253024,74.9,13.2654555575552
1,train,text,58.8,37.8396090253024,77.8,13.2654555575552
1,train,username,27.2,10.5660651165262,62.8,5.0005766699192
1,train,hashtags,40.7,6.739252052858199,8.86,4.7404868341064
1,train,created_at,1.25,0.7579337199039999,4.16,2.0706789833216
1,train,user followers count,1.63,1.05550259488,3.62,2.9798592859664
1,train,replycount,1.69,1.05550259488,3.75,2.9798592859664
1,train,retweetcount,1.14,1.05550259488,3.33,2.9798592859664
1,train,likecount,1.72,1.05550259488,3.33,2.9798592859664
1,train,quotecount,0.918,1.05550259488,5.15,2.9798592859664
1,train,language,16.8,9.320735792508401,5.87,4.3713498687344
1,train,quotedtweet,43.2,4.6734816243112,6.59,4.2431682478832
1,train,inReplyToTweetId,3.3,1.889348975744,4.82,2.5625474702096
1,train,inReplyToUser,30.7,10.9579791121504,12.3,5.795261653498399
1,train,mentionedUsers,80.3,37.8396090253024,66.1,13.2654555575552
3,train,likecount,1.38,1.05550259488,3.98,2.9798592859664
4,train,likecount,1.53,1.05550259488,3.51,2.9798592859664
5,train,text,57.2,37.8396090253024,64.8,13.2654555575552
6,train,text,59.6,37.8396090253024,54.9,13.2654555575552
6,train,clean_text,42.1,12.718837233623201,31.7,6.9506238326024
7,train,clean_text,40.4,12.718837233623201,36.7,6.9506238326024
10,train,likecount,1.64,1.05550259488,4.21,2.9798592859664
13,train,text,58.1,37.8396090253024,51.7,13.2654555575552
14,train,text,72.2,37.8396090253024,49.3,13.2654555575552
15,train,text,56.9,37.8396090253024,59.3,13.2654555575552
16,train,text,51.2,37.8396090253024,80.1,13.2654555575552
