ground_truth_schedule,ground_truth_total_cost,cost_model_schedule,cost_model_total_cost,actual_time_for_cost_model_schedule,predicted_schedule,predicted_total_cost,actual_time_for_predicted_schedule,predicted_cost_model_schedule,predicted_cost_model_total_cost,actual_time_for_predicted_cost_model_schedule
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,cpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,cpu,5129.730560921367,5345.339779999999
gpu,4741.50225,cpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,cpu,5129.730560921367,5345.339779999999
gpu,4741.50225,cpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,cpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
gpu,4741.50225,gpu,4348.202598421368,5345.339779999999,gpu,5523.3631975,4741.50225,gpu,5129.730560921367,5345.339779999999
cpu,4741.50225,cpu,4348.202598421368,5345.339779999999,cpu,5523.3631975,4741.50225,cpu,5129.730560921367,5345.339779999999
cpu,4741.50225,cpu,4348.202598421368,5345.339779999999,cpu,5523.3631975,4741.50225,cpu,5129.730560921367,5345.339779999999
cpu,4741.50225,cpu,4348.202598421368,5345.339779999999,cpu,5523.3631975,4741.50225,cpu,5129.730560921367,5345.339779999999
cpu,4741.50225,cpu,4348.202598421368,5345.339779999999,cpu,5523.3631975,4741.50225,cpu,5129.730560921367,5345.339779999999
cpu,4741.50225,cpu,4348.202598421368,5345.339779999999,cpu,5523.3631975,4741.50225,cpu,5129.730560921367,5345.339779999999
cpu,4741.50225,cpu,4348.202598421368,5345.339779999999,cpu,5523.3631975,4741.50225,cpu,5129.730560921367,5345.339779999999
cpu,4741.50225,cpu,4348.202598421368,5345.339779999999,cpu,5523.3631975,4741.50225,cpu,5129.730560921367,5345.339779999999
cpu,4741.50225,cpu,4348.202598421368,5345.339779999999,cpu,5523.3631975,4741.50225,cpu,5129.730560921367,5345.339779999999
cpu,4741.50225,cpu,4348.202598421368,5345.339779999999,cpu,5523.3631975,4741.50225,cpu,5129.730560921367,5345.339779999999
