benchmark_name,run_id,stage,source,elapsed_seconds
what-course-are-you-going-to-take,1774752114-7746a4f2,cell_exec_info,cache,0.000287
what-course-are-you-going-to-take,1774752114-7746a4f2,cudf_profile_info,cache,0.003793
what-course-are-you-going-to-take,1774752194-70882db6,cell_exec_info,cache,0.000284
what-course-are-you-going-to-take,1774752194-70882db6,cudf_profile_info,cache,0.003704
what-course-are-you-going-to-take,1774754181-48eea823,cell_exec_info,cache,0.000322
what-course-are-you-going-to-take,1774754181-48eea823,cudf_profile_info,cache,0.004200
what-course-are-you-going-to-take,1774754560-089a7347,cell_exec_info,cache,0.000296
what-course-are-you-going-to-take,1774754560-089a7347,cudf_profile_info,cache,0.003931
what-course-are-you-going-to-take,1774754852-46b1eecf,cell_exec_info,cache,0.000296
what-course-are-you-going-to-take,1774754852-46b1eecf,cudf_profile_info,cache,0.004171
what-course-are-you-going-to-take,1774755810-59011aa6,cell_exec_info,cache,0.000276
what-course-are-you-going-to-take,1774755810-59011aa6,cudf_profile_info,cache,0.003588
what-course-are-you-going-to-take,1774755868-392555b6,cell_exec_info,cache,0.000288
what-course-are-you-going-to-take,1774755868-392555b6,cudf_profile_info,cache,0.003902
what-course-are-you-going-to-take,1774756825-4eae273d,cell_exec_info,cache,0.000281
what-course-are-you-going-to-take,1774756825-4eae273d,cudf_profile_info,cache,0.003847
what-course-are-you-going-to-take,1774757067-48ddd37a,cell_exec_info,cache,0.000301
what-course-are-you-going-to-take,1774757067-48ddd37a,cudf_profile_info,cache,0.004271
what-course-are-you-going-to-take,1774757628-e2564fc2,cell_exec_info,cache,0.000283
what-course-are-you-going-to-take,1774757628-e2564fc2,cudf_profile_info,cache,0.003869
what-course-are-you-going-to-take,1774757757-70b43394,cell_exec_info,cache,0.000267
what-course-are-you-going-to-take,1774757757-70b43394,cudf_profile_info,cache,0.003713
what-course-are-you-going-to-take,1774758624-49e3a11b,cell_exec_info,cache,0.000290
what-course-are-you-going-to-take,1774758624-49e3a11b,cudf_profile_info,cache,0.003964
what-course-are-you-going-to-take,1774759557-d9b8bf86,cell_exec_info,cache,0.000288
what-course-are-you-going-to-take,1774759557-d9b8bf86,cudf_profile_info,cache,0.004071
