benchmark_name,run_id,cell_index,try_number,category,prompt_tokens,response_tokens,total_tokens
what-course-are-you-going-to-take,1774754852-46b1eecf,0,0,manager_decision,557,79,636
what-course-are-you-going-to-take,1774754852-46b1eecf,0,0,new_code_call,651,2848,3499
what-course-are-you-going-to-take,1774754852-46b1eecf,1,0,manager_decision,474,26,500
what-course-are-you-going-to-take,1774754852-46b1eecf,2,0,manager_decision,474,29,503
what-course-are-you-going-to-take,1774754852-46b1eecf,3,0,manager_decision,472,33,505
what-course-are-you-going-to-take,1774754852-46b1eecf,4,0,manager_decision,458,36,494
what-course-are-you-going-to-take,1774754852-46b1eecf,5,0,manager_decision,462,50,512
what-course-are-you-going-to-take,1774754852-46b1eecf,5,0,new_code_call,556,349,905
what-course-are-you-going-to-take,1774754852-46b1eecf,6,0,manager_decision,520,34,554
what-course-are-you-going-to-take,1774754852-46b1eecf,6,0,new_code_call,614,3636,4250
what-course-are-you-going-to-take,1774756825-4eae273d,6,0,manager_decision,520,35,555
what-course-are-you-going-to-take,1774756825-4eae273d,6,0,new_code_call,614,3381,3995
what-course-are-you-going-to-take,1774756825-4eae273d,6,1,manager_decision,669,40,709
what-course-are-you-going-to-take,1774756825-4eae273d,6,1,new_code_call,614,2108,2722
what-course-are-you-going-to-take,1774756825-4eae273d,6,2,manager_decision,661,40,701
what-course-are-you-going-to-take,1774756825-4eae273d,6,2,optimizer_call,614,1663,2277
what-course-are-you-going-to-take,1774756825-4eae273d,7,0,manager_decision,464,35,499
what-course-are-you-going-to-take,1774758624-49e3a11b,8,0,manager_decision,508,53,561
what-course-are-you-going-to-take,1774758624-49e3a11b,8,0,new_code_call,602,1375,1977
what-course-are-you-going-to-take,1774758624-49e3a11b,8,1,manager_decision,649,40,689
what-course-are-you-going-to-take,1774758624-49e3a11b,8,1,optimizer_call,614,480,1094
what-course-are-you-going-to-take,1774758624-49e3a11b,9,0,manager_decision,702,59,761
what-course-are-you-going-to-take,1774758624-49e3a11b,9,0,new_code_call,796,2772,3568
what-course-are-you-going-to-take,1774758624-49e3a11b,9,1,manager_decision,1267,52,1319
what-course-are-you-going-to-take,1774758624-49e3a11b,9,1,repair_call,1235,2973,4208
what-course-are-you-going-to-take,1774758624-49e3a11b,9,2,manager_decision,1789,35,1824
what-course-are-you-going-to-take,1774758624-49e3a11b,9,2,repair_call,1757,9854,11611
what-course-are-you-going-to-take,1774758624-49e3a11b,9,3,manager_decision,1774,45,1819
what-course-are-you-going-to-take,1774758624-49e3a11b,9,3,repair_call,1742,5484,7226
what-course-are-you-going-to-take,1774758624-49e3a11b,9,4,manager_decision,1753,39,1792
what-course-are-you-going-to-take,1774758624-49e3a11b,9,4,new_code_call,796,3163,3959
what-course-are-you-going-to-take,1774758624-49e3a11b,10,0,manager_decision,501,50,551
what-course-are-you-going-to-take,1774758624-49e3a11b,10,0,new_code_call,595,553,1148
what-course-are-you-going-to-take,1774758624-49e3a11b,10,1,manager_decision,623,47,670
what-course-are-you-going-to-take,1774758624-49e3a11b,10,1,optimizer_call,595,615,1210
what-course-are-you-going-to-take,1774758624-49e3a11b,11,0,manager_decision,460,63,523
what-course-are-you-going-to-take,1774758624-49e3a11b,11,0,new_code_call,554,315,869
what-course-are-you-going-to-take,1774758624-49e3a11b,12,0,manager_decision,554,39,593
what-course-are-you-going-to-take,1774758624-49e3a11b,12,0,new_code_call,648,1140,1788
what-course-are-you-going-to-take,1774758624-49e3a11b,12,1,manager_decision,2598,57,2655
what-course-are-you-going-to-take,1774758624-49e3a11b,12,1,repair_call,2566,980,3546
what-course-are-you-going-to-take,1774758624-49e3a11b,12,2,manager_decision,731,33,764
what-course-are-you-going-to-take,1774758624-49e3a11b,12,2,optimizer_call,650,1354,2004
what-course-are-you-going-to-take,1774758624-49e3a11b,12,3,manager_decision,731,38,769
what-course-are-you-going-to-take,1774758624-49e3a11b,12,3,optimizer_call,650,870,1520
what-course-are-you-going-to-take,1774758624-49e3a11b,12,4,manager_decision,1494,45,1539
what-course-are-you-going-to-take,1774758624-49e3a11b,12,4,new_code_call,648,797,1445
what-course-are-you-going-to-take,1774758624-49e3a11b,13,0,manager_decision,466,38,504
what-course-are-you-going-to-take,1774758624-49e3a11b,13,0,new_code_call,560,710,1270
what-course-are-you-going-to-take,1774758624-49e3a11b,14,0,manager_decision,464,57,521
what-course-are-you-going-to-take,1774758624-49e3a11b,14,0,new_code_call,558,283,841
what-course-are-you-going-to-take,1774758624-49e3a11b,15,0,manager_decision,475,53,528
what-course-are-you-going-to-take,1774758624-49e3a11b,15,0,new_code_call,569,255,824
what-course-are-you-going-to-take,1774758624-49e3a11b,16,0,manager_decision,460,52,512
what-course-are-you-going-to-take,1774758624-49e3a11b,16,0,new_code_call,554,248,802
what-course-are-you-going-to-take,1774758624-49e3a11b,17,0,manager_decision,458,28,486
what-course-are-you-going-to-take,1774758624-49e3a11b,18,0,manager_decision,485,33,518
what-course-are-you-going-to-take,1774758624-49e3a11b,18,0,new_code_call,579,1875,2454
what-course-are-you-going-to-take,1774758624-49e3a11b,19,0,manager_decision,477,25,502
what-course-are-you-going-to-take,1774758624-49e3a11b,20,0,manager_decision,533,53,586
what-course-are-you-going-to-take,1774758624-49e3a11b,20,0,new_code_call,627,571,1198
what-course-are-you-going-to-take,1774758624-49e3a11b,20,1,manager_decision,641,62,703
what-course-are-you-going-to-take,1774758624-49e3a11b,20,1,optimizer_call,580,558,1138
what-course-are-you-going-to-take,1774758624-49e3a11b,20,2,manager_decision,639,48,687
what-course-are-you-going-to-take,1774759557-d9b8bf86,21,0,manager_decision,460,49,509
what-course-are-you-going-to-take,1774759557-d9b8bf86,22,0,manager_decision,462,62,524
what-course-are-you-going-to-take,1774759557-d9b8bf86,22,0,new_code_call,556,1785,2341
what-course-are-you-going-to-take,1774759557-d9b8bf86,22,1,manager_decision,566,49,615
what-course-are-you-going-to-take,1774759557-d9b8bf86,22,1,optimizer_call,577,366,943
what-course-are-you-going-to-take,1774759557-d9b8bf86,23,0,manager_decision,460,58,518
what-course-are-you-going-to-take,1774759557-d9b8bf86,23,0,new_code_call,554,445,999
what-course-are-you-going-to-take,1774759557-d9b8bf86,24,0,manager_decision,526,63,589
what-course-are-you-going-to-take,1774759557-d9b8bf86,24,0,new_code_call,620,703,1323
what-course-are-you-going-to-take,1774759557-d9b8bf86,24,1,manager_decision,669,47,716
what-course-are-you-going-to-take,1774759557-d9b8bf86,24,1,new_code_call,620,820,1440
what-course-are-you-going-to-take,1774759557-d9b8bf86,24,2,manager_decision,672,35,707
what-course-are-you-going-to-take,1774759557-d9b8bf86,24,2,optimizer_call,619,481,1100
what-course-are-you-going-to-take,1774759557-d9b8bf86,25,0,manager_decision,812,28,840
what-course-are-you-going-to-take,1774759557-d9b8bf86,25,0,new_code_call,906,3581,4487
what-course-are-you-going-to-take,1774759557-d9b8bf86,25,1,manager_decision,2027,37,2064
what-course-are-you-going-to-take,1774759557-d9b8bf86,25,1,repair_call,1995,7710,9705
what-course-are-you-going-to-take,1774759557-d9b8bf86,25,2,manager_decision,2052,51,2103
what-course-are-you-going-to-take,1774759557-d9b8bf86,25,2,repair_call,2020,17044,19064
what-course-are-you-going-to-take,1774759557-d9b8bf86,25,3,manager_decision,2069,44,2113
what-course-are-you-going-to-take,1774759557-d9b8bf86,25,3,repair_call,2037,5991,8028
what-course-are-you-going-to-take,1774759557-d9b8bf86,25,4,manager_decision,1320,57,1377
what-course-are-you-going-to-take,1774759557-d9b8bf86,26,0,manager_decision,537,47,584
what-course-are-you-going-to-take,1774759557-d9b8bf86,26,0,new_code_call,631,1535,2166
what-course-are-you-going-to-take,1774759557-d9b8bf86,26,1,manager_decision,1673,53,1726
what-course-are-you-going-to-take,1774759557-d9b8bf86,26,1,new_code_call,631,3055,3686
what-course-are-you-going-to-take,1774759557-d9b8bf86,26,2,manager_decision,1696,33,1729
what-course-are-you-going-to-take,1774759557-d9b8bf86,26,2,repair_call,1664,3641,5305
what-course-are-you-going-to-take,1774759557-d9b8bf86,26,3,manager_decision,1424,39,1463
what-course-are-you-going-to-take,1774759557-d9b8bf86,26,3,repair_call,1392,3963,5355
what-course-are-you-going-to-take,1774759557-d9b8bf86,26,4,manager_decision,1405,55,1460
what-course-are-you-going-to-take,1774759557-d9b8bf86,26,4,new_code_call,631,6006,6637
what-course-are-you-going-to-take,1774759557-d9b8bf86,27,0,manager_decision,460,40,500
what-course-are-you-going-to-take,1774759557-d9b8bf86,27,0,new_code_call,554,322,876
what-course-are-you-going-to-take,1774759557-d9b8bf86,28,0,manager_decision,470,39,509
what-course-are-you-going-to-take,1774759557-d9b8bf86,28,0,new_code_call,564,583,1147
what-course-are-you-going-to-take,1774759557-d9b8bf86,28,1,manager_decision,2505,45,2550
what-course-are-you-going-to-take,1774759557-d9b8bf86,28,1,repair_call,2473,9126,11599
what-course-are-you-going-to-take,1774759557-d9b8bf86,28,2,manager_decision,574,50,624
what-course-are-you-going-to-take,1774759557-d9b8bf86,28,2,new_code_call,564,1211,1775
what-course-are-you-going-to-take,1774759557-d9b8bf86,28,3,manager_decision,2540,56,2596
what-course-are-you-going-to-take,1774759557-d9b8bf86,28,3,repair_call,2508,6460,8968
what-course-are-you-going-to-take,1774759557-d9b8bf86,28,4,manager_decision,581,40,621
what-course-are-you-going-to-take,1774759557-d9b8bf86,29,0,manager_decision,462,34,496
what-course-are-you-going-to-take,1774759557-d9b8bf86,29,0,new_code_call,556,1084,1640
what-course-are-you-going-to-take,1774759557-d9b8bf86,29,1,manager_decision,545,27,572
what-course-are-you-going-to-take,1774759557-d9b8bf86,29,1,optimizer_call,556,1650,2206
what-course-are-you-going-to-take,1774759557-d9b8bf86,29,2,manager_decision,545,35,580
what-course-are-you-going-to-take,1774759557-d9b8bf86,29,2,optimizer_call,556,4445,5001
what-course-are-you-going-to-take,1774759557-d9b8bf86,30,0,manager_decision,466,24,490
what-course-are-you-going-to-take,1774759557-d9b8bf86,30,0,new_code_call,560,1359,1919
what-course-are-you-going-to-take,1774759557-d9b8bf86,30,1,manager_decision,552,37,589
what-course-are-you-going-to-take,1774759557-d9b8bf86,30,1,optimizer_call,559,401,960
what-course-are-you-going-to-take,1774759557-d9b8bf86,30,2,manager_decision,563,42,605
what-course-are-you-going-to-take,1774759557-d9b8bf86,30,2,optimizer_call,565,1488,2053
what-course-are-you-going-to-take,1774759557-d9b8bf86,31,0,manager_decision,516,56,572
what-course-are-you-going-to-take,1774759557-d9b8bf86,31,0,new_code_call,610,1868,2478
what-course-are-you-going-to-take,1774759557-d9b8bf86,31,1,manager_decision,692,41,733
what-course-are-you-going-to-take,1774759557-d9b8bf86,31,1,optimizer_call,649,1311,1960
what-course-are-you-going-to-take,1774759557-d9b8bf86,31,2,manager_decision,677,48,725
what-course-are-you-going-to-take,1774759557-d9b8bf86,31,2,optimizer_call,634,1010,1644
what-course-are-you-going-to-take,1774759557-d9b8bf86,31,3,manager_decision,664,40,704
what-course-are-you-going-to-take,1774759557-d9b8bf86,31,3,optimizer_call,621,575,1196
what-course-are-you-going-to-take,1774759557-d9b8bf86,32,0,manager_decision,470,36,506
what-course-are-you-going-to-take,1774759557-d9b8bf86,32,0,new_code_call,564,1048,1612
what-course-are-you-going-to-take,1774759557-d9b8bf86,32,1,manager_decision,587,58,645
what-course-are-you-going-to-take,1774759557-d9b8bf86,32,1,optimizer_call,590,811,1401
what-course-are-you-going-to-take,1774759557-d9b8bf86,32,2,manager_decision,571,39,610
what-course-are-you-going-to-take,1774759557-d9b8bf86,32,2,optimizer_call,574,802,1376
what-course-are-you-going-to-take,1774759557-d9b8bf86,33,0,manager_decision,515,42,557
what-course-are-you-going-to-take,1774759557-d9b8bf86,33,0,new_code_call,609,1423,2032
what-course-are-you-going-to-take,1774759557-d9b8bf86,33,1,manager_decision,677,39,716
what-course-are-you-going-to-take,1774759557-d9b8bf86,33,1,optimizer_call,635,1026,1661
what-course-are-you-going-to-take,1774759557-d9b8bf86,33,2,manager_decision,680,39,719
what-course-are-you-going-to-take,1774759557-d9b8bf86,33,2,optimizer_call,638,805,1443
what-course-are-you-going-to-take,1774759557-d9b8bf86,33,3,manager_decision,662,45,707
what-course-are-you-going-to-take,1774759557-d9b8bf86,33,3,optimizer_call,620,1125,1745
what-course-are-you-going-to-take,1774759557-d9b8bf86,34,0,manager_decision,467,31,498
