benchmark_name,run_id,cell_index,try_number,category,elapsed_seconds
what-course-are-you-going-to-take,1774754852-46b1eecf,0,,original_execution,24.992330
what-course-are-you-going-to-take,1774754852-46b1eecf,0,0,agent_call,20.605793
what-course-are-you-going-to-take,1774754852-46b1eecf,1,,original_execution,24.044155
what-course-are-you-going-to-take,1774754852-46b1eecf,1,0,agent_call,0.943034
what-course-are-you-going-to-take,1774754852-46b1eecf,2,,original_execution,24.046014
what-course-are-you-going-to-take,1774754852-46b1eecf,2,0,agent_call,1.497419
what-course-are-you-going-to-take,1774754852-46b1eecf,3,,original_execution,24.044592
what-course-are-you-going-to-take,1774754852-46b1eecf,3,0,agent_call,1.246656
what-course-are-you-going-to-take,1774754852-46b1eecf,4,,original_execution,24.049102
what-course-are-you-going-to-take,1774754852-46b1eecf,4,0,agent_call,1.357929
what-course-are-you-going-to-take,1774754852-46b1eecf,5,,original_execution,22.039525
what-course-are-you-going-to-take,1774754852-46b1eecf,5,0,agent_call,4.714247
what-course-are-you-going-to-take,1774756825-4eae273d,6,,original_execution,17.380231
what-course-are-you-going-to-take,1774756825-4eae273d,6,0,agent_call,29.747072
what-course-are-you-going-to-take,1774756825-4eae273d,6,0,rewrite_execution,17.316154
what-course-are-you-going-to-take,1774756825-4eae273d,6,0,cudf_profiling,5.552517
what-course-are-you-going-to-take,1774756825-4eae273d,6,0,total,67.812480
what-course-are-you-going-to-take,1774756825-4eae273d,6,1,agent_call,16.920358
what-course-are-you-going-to-take,1774756825-4eae273d,6,1,rewrite_execution,17.151086
what-course-are-you-going-to-take,1774756825-4eae273d,6,1,cudf_profiling,5.729381
what-course-are-you-going-to-take,1774756825-4eae273d,6,1,total,54.557583
what-course-are-you-going-to-take,1774756825-4eae273d,6,2,agent_call,16.190146
what-course-are-you-going-to-take,1774756825-4eae273d,7,,original_execution,18.919542
what-course-are-you-going-to-take,1774756825-4eae273d,7,0,agent_call,1.168217
what-course-are-you-going-to-take,1774758624-49e3a11b,8,,original_execution,15.436744
what-course-are-you-going-to-take,1774758624-49e3a11b,8,0,agent_call,13.404693
what-course-are-you-going-to-take,1774758624-49e3a11b,8,0,rewrite_execution,13.471496
what-course-are-you-going-to-take,1774758624-49e3a11b,8,0,cudf_profiling,6.179250
what-course-are-you-going-to-take,1774758624-49e3a11b,8,0,total,46.610326
what-course-are-you-going-to-take,1774758624-49e3a11b,8,1,agent_call,5.049088
what-course-are-you-going-to-take,1774758624-49e3a11b,9,,original_execution,15.926272
what-course-are-you-going-to-take,1774758624-49e3a11b,9,0,agent_call,18.185947
what-course-are-you-going-to-take,1774758624-49e3a11b,9,0,total,29.460393
what-course-are-you-going-to-take,1774758624-49e3a11b,9,1,agent_call,19.710197
what-course-are-you-going-to-take,1774758624-49e3a11b,9,1,total,33.098938
what-course-are-you-going-to-take,1774758624-49e3a11b,9,2,agent_call,55.197253
what-course-are-you-going-to-take,1774758624-49e3a11b,9,2,total,68.777141
what-course-are-you-going-to-take,1774758624-49e3a11b,9,3,agent_call,32.608427
what-course-are-you-going-to-take,1774758624-49e3a11b,9,3,total,45.624950
what-course-are-you-going-to-take,1774758624-49e3a11b,9,4,agent_call,19.783078
what-course-are-you-going-to-take,1774758624-49e3a11b,9,4,rewrite_execution,13.157771
what-course-are-you-going-to-take,1774758624-49e3a11b,9,4,cudf_profiling,6.227197
what-course-are-you-going-to-take,1774758624-49e3a11b,9,4,total,52.263507
what-course-are-you-going-to-take,1774758624-49e3a11b,10,,original_execution,15.454776
what-course-are-you-going-to-take,1774758624-49e3a11b,10,0,agent_call,6.869689
what-course-are-you-going-to-take,1774758624-49e3a11b,10,0,rewrite_execution,13.294671
what-course-are-you-going-to-take,1774758624-49e3a11b,10,0,cudf_profiling,6.259087
what-course-are-you-going-to-take,1774758624-49e3a11b,10,0,total,38.430730
what-course-are-you-going-to-take,1774758624-49e3a11b,10,1,agent_call,8.016428
what-course-are-you-going-to-take,1774758624-49e3a11b,11,,original_execution,14.274618
what-course-are-you-going-to-take,1774758624-49e3a11b,11,0,agent_call,3.889299
