df_col,cpu->gpu,cost-cpu->gpu,gpu->cpu,cost-gpu->cpu
course_code,2.69,2.1066669306314,20.4,10.51126063555
course_title,2.5,2.4391298191718,13.5,17.45387726081
num_ratings,1.17,0.6340650979856,129.0,2.9111269673632
useful,2.27,2.0371489798904,12.4,9.10089187172
easy,2.38,2.0367149145620003,11.5,9.09236967851
liked,2.17,2.0369765998796003,17.0,9.09783429095
num_reviews,1.04,0.6340650979856,7.7,2.9111269673632
reviews,8.07,5.5043683256738,40.4,80.28763915365
course_rating,2.28,2.1818215000388,11.8,12.24126585718
course_rating_int,2.88,1.2546596037568,5.74,3.93025895244
course_code,368.0,299.47233625102643,1520.0,1121.25855544088
course_title,436.0,399.21120281314643,1650.0,3204.0435430188804
num_ratings,51.6,9.285300660742399,137.0,139.02399020896004
useful,351.0,278.6169510287264,1440.0,698.14098710148
easy,324.0,278.4867314302064,1390.0,695.58432913848
liked,334.0,278.56523702548645,1390.0,697.22371287048
num_reviews,8.8,9.285300660742399,137.0,139.02399020896004
reviews,1570.0,1318.7827547637467,4370.0,22054.165171680484
course_rating,377.0,322.01870707324645,1550.0,1640.2531827394803
course_rating_int,13.1,14.0260096214272,152.0,135.92531397632
course_code,362.0,299.47233625102643,1440.0,1121.25855544088
course_title,431.0,399.21120281314643,1630.0,3204.0435430188804
num_ratings,9.09,9.285300660742399,136.0,139.02399020896004
useful,326.0,278.6169510287264,1390.0,698.14098710148
easy,364.0,278.4867314302064,1380.0,695.58432913848
liked,313.0,278.56523702548645,1370.0,697.22371287048
num_reviews,8.74,9.285300660742399,135.0,139.02399020896004
reviews,1560.0,1318.7827547637467,4380.0,22054.165171680484
course_rating,349.0,322.01870707324645,1440.0,1640.2531827394803
course_rating_int,13.0,14.0260096214272,149.0,135.92531397632
course_code,349.0,299.47233625102643,1430.0,1121.25855544088
course_title,413.0,399.21120281314643,1640.0,3204.0435430188804
num_ratings,8.82,9.285300660742399,136.0,139.02399020896004
useful,306.0,278.6169510287264,1380.0,698.14098710148
easy,309.0,278.4867314302064,1400.0,695.58432913848
liked,304.0,278.56523702548645,1390.0,697.22371287048
num_reviews,8.57,9.285300660742399,136.0,139.02399020896004
reviews,1530.0,1318.7827547637467,4430.0,22054.165171680484
course_rating,347.0,322.01870707324645,1440.0,1640.2531827394803
course_rating_int,13.0,14.0260096214272,154.0,135.92531397632
course_code,345.0,299.47233625102643,1450.0,1121.25855544088
