ground_truth_schedule,ground_truth_total_cost,cost_model_schedule,cost_model_total_cost,actual_time_for_cost_model_schedule,predicted_schedule,predicted_total_cost,actual_time_for_predicted_schedule,predicted_cost_model_schedule,predicted_cost_model_total_cost,actual_time_for_predicted_cost_model_schedule
gpu,5090.14696,gpu,5067.790387924351,5090.146959999999,gpu,1899.8870599999993,5090.146959999999,gpu,1877.5304879243515,5090.146959999999
gpu,5090.14696,gpu,5067.790387924351,5090.146959999999,gpu,1899.8870599999993,5090.146959999999,gpu,1877.5304879243515,5090.146959999999
gpu,5090.14696,gpu,5067.790387924351,5090.146959999999,gpu,1899.8870599999993,5090.146959999999,gpu,1877.5304879243515,5090.146959999999
gpu,5090.14696,gpu,5067.790387924351,5090.146959999999,gpu,1899.8870599999993,5090.146959999999,gpu,1877.5304879243515,5090.146959999999
gpu,5090.14696,gpu,5067.790387924351,5090.146959999999,gpu,1899.8870599999993,5090.146959999999,gpu,1877.5304879243515,5090.146959999999
gpu,5090.14696,gpu,5067.790387924351,5090.146959999999,gpu,1899.8870599999993,5090.146959999999,gpu,1877.5304879243515,5090.146959999999
gpu,5090.14696,gpu,5067.790387924351,5090.146959999999,gpu,1899.8870599999993,5090.146959999999,gpu,1877.5304879243515,5090.146959999999
gpu,5090.14696,gpu,5067.790387924351,5090.146959999999,gpu,1899.8870599999993,5090.146959999999,gpu,1877.5304879243515,5090.146959999999
gpu,5090.14696,gpu,5067.790387924351,5090.146959999999,gpu,1899.8870599999993,5090.146959999999,gpu,1877.5304879243515,5090.146959999999
gpu,5090.14696,gpu,5067.790387924351,5090.146959999999,gpu,1899.8870599999993,5090.146959999999,gpu,1877.5304879243515,5090.146959999999
gpu,5090.14696,gpu,5067.790387924351,5090.146959999999,gpu,1899.8870599999993,5090.146959999999,gpu,1877.5304879243515,5090.146959999999
gpu,5090.14696,gpu,5067.790387924351,5090.146959999999,gpu,1899.8870599999993,5090.146959999999,gpu,1877.5304879243515,5090.146959999999
gpu,5090.14696,gpu,5067.790387924351,5090.146959999999,gpu,1899.8870599999993,5090.146959999999,gpu,1877.5304879243515,5090.146959999999
gpu,5090.14696,gpu,5067.790387924351,5090.146959999999,gpu,1899.8870599999993,5090.146959999999,gpu,1877.5304879243515,5090.146959999999
gpu,5090.14696,gpu,5067.790387924351,5090.146959999999,gpu,1899.8870599999993,5090.146959999999,gpu,1877.5304879243515,5090.146959999999
gpu,5090.14696,gpu,5067.790387924351,5090.146959999999,gpu,1899.8870599999993,5090.146959999999,gpu,1877.5304879243515,5090.146959999999
gpu,5090.14696,gpu,5067.790387924351,5090.146959999999,gpu,1899.8870599999993,5090.146959999999,gpu,1877.5304879243515,5090.146959999999
gpu,5090.14696,gpu,5067.790387924351,5090.146959999999,gpu,1899.8870599999993,5090.146959999999,gpu,1877.5304879243515,5090.146959999999
gpu,5090.14696,gpu,5067.790387924351,5090.146959999999,gpu,1899.8870599999993,5090.146959999999,gpu,1877.5304879243515,5090.146959999999
gpu,5090.14696,gpu,5067.790387924351,5090.146959999999,gpu,1899.8870599999993,5090.146959999999,gpu,1877.5304879243515,5090.146959999999
gpu,5090.14696,gpu,5067.790387924351,5090.146959999999,gpu,1899.8870599999993,5090.146959999999,gpu,1877.5304879243515,5090.146959999999
gpu,5090.14696,gpu,5067.790387924351,5090.146959999999,gpu,1899.8870599999993,5090.146959999999,gpu,1877.5304879243515,5090.146959999999
gpu,5090.14696,gpu,5067.790387924351,5090.146959999999,gpu,1899.8870599999993,5090.146959999999,gpu,1877.5304879243515,5090.146959999999
gpu,5090.14696,gpu,5067.790387924351,5090.146959999999,gpu,1899.8870599999993,5090.146959999999,gpu,1877.5304879243515,5090.146959999999
cpu,5090.14696,cpu,5067.790387924351,5090.146959999999,cpu,1899.8870599999993,5090.146959999999,cpu,1877.5304879243515,5090.146959999999
cpu,5090.14696,cpu,5067.790387924351,5090.146959999999,cpu,1899.8870599999993,5090.146959999999,cpu,1877.5304879243515,5090.146959999999
gpu,5090.14696,gpu,5067.790387924351,5090.146959999999,gpu,1899.8870599999993,5090.146959999999,gpu,1877.5304879243515,5090.146959999999
gpu,5090.14696,gpu,5067.790387924351,5090.146959999999,gpu,1899.8870599999993,5090.146959999999,gpu,1877.5304879243515,5090.146959999999
