ground_truth_schedule,ground_truth_total_cost,cost_model_schedule,cost_model_total_cost,actual_time_for_cost_model_schedule,predicted_schedule,predicted_total_cost,actual_time_for_predicted_schedule,predicted_cost_model_schedule,predicted_cost_model_total_cost,actual_time_for_predicted_cost_model_schedule
gpu,14020.143590000001,gpu,13928.430473477818,14020.143590000001,gpu,13958.389037000003,14020.143590000001,gpu,13866.67592047782,14020.143590000001
cpu,14020.143590000001,cpu,13928.430473477818,14020.143590000001,cpu,13958.389037000003,14020.143590000001,cpu,13866.67592047782,14020.143590000001
gpu,14020.143590000001,gpu,13928.430473477818,14020.143590000001,gpu,13958.389037000003,14020.143590000001,gpu,13866.67592047782,14020.143590000001
cpu,14020.143590000001,cpu,13928.430473477818,14020.143590000001,cpu,13958.389037000003,14020.143590000001,cpu,13866.67592047782,14020.143590000001
cpu,14020.143590000001,cpu,13928.430473477818,14020.143590000001,cpu,13958.389037000003,14020.143590000001,cpu,13866.67592047782,14020.143590000001
gpu,14020.143590000001,gpu,13928.430473477818,14020.143590000001,gpu,13958.389037000003,14020.143590000001,gpu,13866.67592047782,14020.143590000001
cpu,14020.143590000001,cpu,13928.430473477818,14020.143590000001,cpu,13958.389037000003,14020.143590000001,cpu,13866.67592047782,14020.143590000001
cpu,14020.143590000001,cpu,13928.430473477818,14020.143590000001,cpu,13958.389037000003,14020.143590000001,cpu,13866.67592047782,14020.143590000001
cpu,14020.143590000001,cpu,13928.430473477818,14020.143590000001,cpu,13958.389037000003,14020.143590000001,cpu,13866.67592047782,14020.143590000001
cpu,14020.143590000001,cpu,13928.430473477818,14020.143590000001,cpu,13958.389037000003,14020.143590000001,cpu,13866.67592047782,14020.143590000001
cpu,14020.143590000001,cpu,13928.430473477818,14020.143590000001,cpu,13958.389037000003,14020.143590000001,cpu,13866.67592047782,14020.143590000001
gpu,14020.143590000001,gpu,13928.430473477818,14020.143590000001,gpu,13958.389037000003,14020.143590000001,gpu,13866.67592047782,14020.143590000001
cpu,14020.143590000001,cpu,13928.430473477818,14020.143590000001,cpu,13958.389037000003,14020.143590000001,cpu,13866.67592047782,14020.143590000001
cpu,14020.143590000001,cpu,13928.430473477818,14020.143590000001,cpu,13958.389037000003,14020.143590000001,cpu,13866.67592047782,14020.143590000001
cpu,14020.143590000001,cpu,13928.430473477818,14020.143590000001,cpu,13958.389037000003,14020.143590000001,cpu,13866.67592047782,14020.143590000001
cpu,14020.143590000001,cpu,13928.430473477818,14020.143590000001,cpu,13958.389037000003,14020.143590000001,cpu,13866.67592047782,14020.143590000001
cpu,14020.143590000001,cpu,13928.430473477818,14020.143590000001,cpu,13958.389037000003,14020.143590000001,cpu,13866.67592047782,14020.143590000001
cpu,14020.143590000001,cpu,13928.430473477818,14020.143590000001,cpu,13958.389037000003,14020.143590000001,cpu,13866.67592047782,14020.143590000001
cpu,14020.143590000001,cpu,13928.430473477818,14020.143590000001,cpu,13958.389037000003,14020.143590000001,cpu,13866.67592047782,14020.143590000001
cpu,14020.143590000001,cpu,13928.430473477818,14020.143590000001,cpu,13958.389037000003,14020.143590000001,cpu,13866.67592047782,14020.143590000001
cpu,14020.143590000001,cpu,13928.430473477818,14020.143590000001,cpu,13958.389037000003,14020.143590000001,cpu,13866.67592047782,14020.143590000001
gpu,14020.143590000001,gpu,13928.430473477818,14020.143590000001,gpu,13958.389037000003,14020.143590000001,gpu,13866.67592047782,14020.143590000001
cpu,14020.143590000001,cpu,13928.430473477818,14020.143590000001,cpu,13958.389037000003,14020.143590000001,cpu,13866.67592047782,14020.143590000001
gpu,14020.143590000001,gpu,13928.430473477818,14020.143590000001,gpu,13958.389037000003,14020.143590000001,gpu,13866.67592047782,14020.143590000001
cpu,14020.143590000001,cpu,13928.430473477818,14020.143590000001,cpu,13958.389037000003,14020.143590000001,cpu,13866.67592047782,14020.143590000001
cpu,14020.143590000001,cpu,13928.430473477818,14020.143590000001,cpu,13958.389037000003,14020.143590000001,cpu,13866.67592047782,14020.143590000001
cpu,14020.143590000001,cpu,13928.430473477818,14020.143590000001,cpu,13958.389037000003,14020.143590000001,cpu,13866.67592047782,14020.143590000001
cpu,14020.143590000001,cpu,13928.430473477818,14020.143590000001,cpu,13958.389037000003,14020.143590000001,cpu,13866.67592047782,14020.143590000001
