benchmark_name,run_id,cell_index,try_number,category,prompt_tokens,response_tokens,total_tokens
eda-speedtests,1774764779-43fdc962,0,0,manager_decision,978,59,1037
eda-speedtests,1774764779-43fdc962,0,0,new_code_call,1072,5592,6664
eda-speedtests,1774764779-43fdc962,0,1,manager_decision,3443,39,3482
eda-speedtests,1774764779-43fdc962,0,1,repair_call,3411,2986,6397
eda-speedtests,1774764779-43fdc962,0,2,manager_decision,1581,61,1642
eda-speedtests,1774764779-43fdc962,0,2,optimizer_call,1081,4314,5395
eda-speedtests,1774764779-43fdc962,0,3,manager_decision,3541,38,3579
eda-speedtests,1774764779-43fdc962,0,3,repair_call,3509,3042,6551
eda-speedtests,1774764779-43fdc962,0,4,manager_decision,3578,45,3623
eda-speedtests,1774764779-43fdc962,0,4,repair_call,3546,2212,5758
eda-speedtests,1774764779-43fdc962,1,0,manager_decision,529,35,564
eda-speedtests,1774764779-43fdc962,1,0,new_code_call,623,2144,2767
eda-speedtests,1774764779-43fdc962,1,1,manager_decision,2656,45,2701
eda-speedtests,1774764779-43fdc962,1,1,repair_call,2624,2537,5161
eda-speedtests,1774764779-43fdc962,1,2,manager_decision,685,32,717
eda-speedtests,1774764779-43fdc962,2,0,manager_decision,531,61,592
eda-speedtests,1774764779-43fdc962,2,0,new_code_call,625,920,1545
eda-speedtests,1774764779-43fdc962,2,1,manager_decision,2668,46,2714
eda-speedtests,1774764779-43fdc962,2,1,new_code_call,625,1419,2044
eda-speedtests,1774764779-43fdc962,2,2,manager_decision,2574,31,2605
eda-speedtests,1774764779-43fdc962,2,2,repair_call,2542,2211,4753
eda-speedtests,1774764779-43fdc962,2,3,manager_decision,679,40,719
eda-speedtests,1774764779-43fdc962,2,3,optimizer_call,640,1115,1755
eda-speedtests,1774764779-43fdc962,3,0,manager_decision,530,59,589
eda-speedtests,1774764779-43fdc962,3,0,new_code_call,624,1287,1911
eda-speedtests,1774764779-43fdc962,4,0,manager_decision,525,47,572
eda-speedtests,1774764779-43fdc962,5,0,manager_decision,469,35,504
eda-speedtests,1774764779-43fdc962,6,0,manager_decision,545,46,591
eda-speedtests,1774764779-43fdc962,6,0,new_code_call,639,722,1361
eda-speedtests,1774764779-43fdc962,6,1,manager_decision,712,36,748
eda-speedtests,1774764779-43fdc962,6,1,optimizer_call,654,2029,2683
eda-speedtests,1774764779-43fdc962,7,0,manager_decision,541,39,580
eda-speedtests,1774764779-43fdc962,7,0,new_code_call,635,720,1355
eda-speedtests,1774764779-43fdc962,7,1,manager_decision,712,32,744
eda-speedtests,1774764779-43fdc962,7,1,new_code_call,635,503,1138
eda-speedtests,1774764779-43fdc962,7,2,manager_decision,711,38,749
eda-speedtests,1774764779-43fdc962,7,2,new_code_call,635,586,1221
eda-speedtests,1774764779-43fdc962,7,3,manager_decision,711,47,758
eda-speedtests,1774764779-43fdc962,7,3,new_code_call,635,2005,2640
eda-speedtests,1774764779-43fdc962,7,4,manager_decision,712,46,758
eda-speedtests,1774764779-43fdc962,7,4,new_code_call,635,530,1165
eda-speedtests,1774764779-43fdc962,8,0,manager_decision,862,40,902
eda-speedtests,1774764779-43fdc962,8,0,new_code_call,956,3334,4290
eda-speedtests,1774764779-43fdc962,8,1,manager_decision,1390,32,1422
eda-speedtests,1774764779-43fdc962,8,1,optimizer_call,1017,6561,7578
eda-speedtests,1774764779-43fdc962,8,2,manager_decision,1454,47,1501
eda-speedtests,1774764779-43fdc962,8,2,optimizer_call,1081,3532,4613
eda-speedtests,1774764779-43fdc962,8,3,manager_decision,1423,59,1482
eda-speedtests,1774764779-43fdc962,8,3,optimizer_call,1050,6615,7665
eda-speedtests,1774764779-43fdc962,8,4,manager_decision,1366,63,1429
eda-speedtests,1774764779-43fdc962,9,0,manager_decision,630,43,673
eda-speedtests,1774764779-43fdc962,9,0,new_code_call,724,1365,2089
eda-speedtests,1774764779-43fdc962,9,1,manager_decision,762,42,804
eda-speedtests,1774764779-43fdc962,9,1,optimizer_call,622,777,1399
eda-speedtests,1774764779-43fdc962,9,2,manager_decision,791,35,826
eda-speedtests,1774764779-43fdc962,9,2,new_code_call,724,1163,1887
eda-speedtests,1774764779-43fdc962,9,3,manager_decision,866,55,921
eda-speedtests,1774764779-43fdc962,9,3,repair_call,834,1183,2017
eda-speedtests,1774764779-43fdc962,9,4,manager_decision,768,44,812
eda-speedtests,1774764779-43fdc962,10,0,manager_decision,692,59,751
eda-speedtests,1774764779-43fdc962,10,0,new_code_call,786,1120,1906
eda-speedtests,1774764779-43fdc962,10,1,manager_decision,836,51,887
eda-speedtests,1774764779-43fdc962,10,1,repair_call,804,764,1568
eda-speedtests,1774764779-43fdc962,10,2,manager_decision,815,71,886
eda-speedtests,1774764779-43fdc962,10,2,optimizer_call,613,603,1216
eda-speedtests,1774764779-43fdc962,10,3,manager_decision,851,36,887
eda-speedtests,1774764779-43fdc962,10,3,new_code_call,786,1912,2698
eda-speedtests,1774764779-43fdc962,10,4,manager_decision,938,53,991
eda-speedtests,1774764779-43fdc962,10,4,new_code_call,786,796,1582
eda-speedtests,1774764779-43fdc962,11,0,manager_decision,556,37,593
eda-speedtests,1774764779-43fdc962,11,0,new_code_call,650,830,1480
eda-speedtests,1774764779-43fdc962,11,1,manager_decision,712,41,753
eda-speedtests,1774764779-43fdc962,11,1,repair_call,680,650,1330
eda-speedtests,1774764779-43fdc962,11,2,manager_decision,709,59,768
eda-speedtests,1774764779-43fdc962,11,2,new_code_call,650,798,1448
eda-speedtests,1774764779-43fdc962,11,3,manager_decision,695,35,730
eda-speedtests,1774764779-43fdc962,11,3,optimizer_call,629,528,1157
eda-speedtests,1774764779-43fdc962,11,4,manager_decision,735,41,776
eda-speedtests,1774764779-43fdc962,12,0,manager_decision,556,60,616
eda-speedtests,1774764779-43fdc962,12,0,new_code_call,650,1109,1759
eda-speedtests,1774764779-43fdc962,12,1,manager_decision,679,42,721
eda-speedtests,1774764779-43fdc962,12,1,optimizer_call,613,679,1292
eda-speedtests,1774764779-43fdc962,12,2,manager_decision,730,34,764
eda-speedtests,1774764779-43fdc962,12,2,new_code_call,650,2242,2892
eda-speedtests,1774764779-43fdc962,12,3,manager_decision,674,72,746
eda-speedtests,1774764779-43fdc962,12,3,optimizer_call,608,668,1276
eda-speedtests,1774764779-43fdc962,12,4,manager_decision,719,52,771
eda-speedtests,1774764779-43fdc962,13,0,manager_decision,511,55,566
eda-speedtests,1774764779-43fdc962,13,0,new_code_call,605,2674,3279
eda-speedtests,1774764779-43fdc962,13,1,manager_decision,650,47,697
eda-speedtests,1774764779-43fdc962,13,1,new_code_call,605,3176,3781
eda-speedtests,1774764779-43fdc962,13,2,manager_decision,617,49,666
eda-speedtests,1774764779-43fdc962,13,2,new_code_call,605,1891,2496
eda-speedtests,1774764779-43fdc962,14,0,manager_decision,592,47,639
eda-speedtests,1774764779-43fdc962,14,0,new_code_call,686,2621,3307
eda-speedtests,1774764779-43fdc962,14,1,manager_decision,739,52,791
eda-speedtests,1774764779-43fdc962,14,1,optimizer_call,637,1322,1959
eda-speedtests,1774764779-43fdc962,14,2,manager_decision,740,40,780
eda-speedtests,1774764779-43fdc962,14,2,optimizer_call,638,1871,2509
eda-speedtests,1774764779-43fdc962,15,0,manager_decision,493,34,527
eda-speedtests,1774764779-43fdc962,15,0,new_code_call,587,627,1214
eda-speedtests,1774764779-43fdc962,15,1,manager_decision,5750,55,5805
eda-speedtests,1774764779-43fdc962,15,1,repair_call,5718,957,6675
eda-speedtests,1774764779-43fdc962,15,2,manager_decision,616,45,661
eda-speedtests,1774764779-43fdc962,15,2,optimizer_call,608,1721,2329
eda-speedtests,1774764779-43fdc962,16,0,manager_decision,488,66,554
eda-speedtests,1774764779-43fdc962,16,0,new_code_call,582,1159,1741
eda-speedtests,1774764779-43fdc962,17,0,manager_decision,702,74,776
eda-speedtests,1774764779-43fdc962,17,0,new_code_call,796,2064,2860
eda-speedtests,1774764779-43fdc962,17,1,manager_decision,3196,28,3224
eda-speedtests,1774764779-43fdc962,17,1,repair_call,3164,3752,6916
eda-speedtests,1774764779-43fdc962,17,2,manager_decision,1121,35,1156
eda-speedtests,1774764779-43fdc962,17,2,optimizer_call,902,4138,5040
eda-speedtests,1774764779-43fdc962,17,3,manager_decision,1153,58,1211
eda-speedtests,1774764779-43fdc962,18,0,manager_decision,505,39,544
eda-speedtests,1774764779-43fdc962,18,0,new_code_call,599,400,999
eda-speedtests,1774764779-43fdc962,19,0,manager_decision,549,52,601
eda-speedtests,1774764779-43fdc962,19,0,new_code_call,643,557,1200
eda-speedtests,1774764779-43fdc962,19,1,manager_decision,670,41,711
eda-speedtests,1774764779-43fdc962,19,1,optimizer_call,604,1863,2467
eda-speedtests,1774764779-43fdc962,20,0,manager_decision,551,29,580
eda-speedtests,1774764779-43fdc962,20,0,new_code_call,645,303,948
eda-speedtests,1774764779-43fdc962,21,0,manager_decision,553,36,589
eda-speedtests,1774764779-43fdc962,21,0,new_code_call,647,1631,2278
eda-speedtests,1774764779-43fdc962,21,1,manager_decision,724,46,770
eda-speedtests,1774764779-43fdc962,21,1,optimizer_call,654,1191,1845
eda-speedtests,1774764779-43fdc962,21,2,manager_decision,701,35,736
eda-speedtests,1774764779-43fdc962,21,2,optimizer_call,631,636,1267
eda-speedtests,1774764779-43fdc962,22,0,manager_decision,551,37,588
eda-speedtests,1774764779-43fdc962,22,0,new_code_call,645,1044,1689
eda-speedtests,1774764779-43fdc962,22,1,manager_decision,675,43,718
eda-speedtests,1774764779-43fdc962,22,1,optimizer_call,607,399,1006
eda-speedtests,1774764779-43fdc962,23,0,manager_decision,505,52,557
eda-speedtests,1774764779-43fdc962,23,0,new_code_call,599,394,993
eda-speedtests,1774764779-43fdc962,24,0,manager_decision,486,71,557
eda-speedtests,1774764779-43fdc962,24,0,new_code_call,580,2826,3406
eda-speedtests,1774764779-43fdc962,24,1,manager_decision,1925,44,1969
eda-speedtests,1774764779-43fdc962,24,1,repair_call,1893,987,2880
eda-speedtests,1774764779-43fdc962,24,2,manager_decision,610,37,647
eda-speedtests,1774764779-43fdc962,24,2,new_code_call,580,1406,1986
eda-speedtests,1774764779-43fdc962,24,3,manager_decision,5830,30,5860
eda-speedtests,1774764779-43fdc962,24,3,repair_call,5798,1242,7040
eda-speedtests,1774764779-43fdc962,24,4,manager_decision,1953,45,1998
eda-speedtests,1774764779-43fdc962,24,4,repair_call,1921,3245,5166
eda-speedtests,1774764779-43fdc962,25,0,manager_decision,480,23,503
eda-speedtests,1774764779-43fdc962,25,0,new_code_call,574,1541,2115
eda-speedtests,1774764779-43fdc962,25,1,manager_decision,5769,33,5802
eda-speedtests,1774764779-43fdc962,25,1,repair_call,5737,3176,8913
eda-speedtests,1774764779-43fdc962,25,2,manager_decision,597,48,645
eda-speedtests,1774764779-43fdc962,25,2,new_code_call,574,1824,2398
eda-speedtests,1774764779-43fdc962,25,3,manager_decision,5802,42,5844
eda-speedtests,1774764779-43fdc962,25,3,repair_call,5770,2781,8551
eda-speedtests,1774764779-43fdc962,25,4,manager_decision,613,30,643
