benchmark_name,run_id,cell_index,try_number,category,elapsed_seconds
eda-speedtests,1774764779-43fdc962,0,,original_execution,8.996740
eda-speedtests,1774764779-43fdc962,0,0,agent_call,33.819258
eda-speedtests,1774764779-43fdc962,0,0,total,41.953909
eda-speedtests,1774764779-43fdc962,0,1,agent_call,23.484028
eda-speedtests,1774764779-43fdc962,0,1,rewrite_execution,7.408431
eda-speedtests,1774764779-43fdc962,0,1,cudf_profiling,6.674499
eda-speedtests,1774764779-43fdc962,0,1,total,44.670145
eda-speedtests,1774764779-43fdc962,0,2,agent_call,30.017900
eda-speedtests,1774764779-43fdc962,0,2,total,37.826891
eda-speedtests,1774764779-43fdc962,0,3,agent_call,21.974150
eda-speedtests,1774764779-43fdc962,0,3,total,29.880707
eda-speedtests,1774764779-43fdc962,0,4,agent_call,16.822251
eda-speedtests,1774764779-43fdc962,0,4,rewrite_execution,8.206344
eda-speedtests,1774764779-43fdc962,0,4,cudf_profiling,6.518214
eda-speedtests,1774764779-43fdc962,0,4,total,39.036331
eda-speedtests,1774764779-43fdc962,1,,original_execution,7.362176
eda-speedtests,1774764779-43fdc962,1,0,agent_call,19.089046
eda-speedtests,1774764779-43fdc962,1,0,total,27.775899
eda-speedtests,1774764779-43fdc962,1,1,agent_call,24.158234
eda-speedtests,1774764779-43fdc962,1,1,rewrite_execution,7.395476
eda-speedtests,1774764779-43fdc962,1,1,cudf_profiling,5.799867
eda-speedtests,1774764779-43fdc962,1,1,total,45.022193
eda-speedtests,1774764779-43fdc962,1,2,agent_call,0.859532
eda-speedtests,1774764779-43fdc962,2,,original_execution,7.954656
eda-speedtests,1774764779-43fdc962,2,0,agent_call,12.703795
eda-speedtests,1774764779-43fdc962,2,0,total,20.668173
eda-speedtests,1774764779-43fdc962,2,1,agent_call,12.830580
eda-speedtests,1774764779-43fdc962,2,1,total,20.514826
eda-speedtests,1774764779-43fdc962,2,2,agent_call,18.061541
eda-speedtests,1774764779-43fdc962,2,2,rewrite_execution,7.937269
eda-speedtests,1774764779-43fdc962,2,2,cudf_profiling,5.301530
eda-speedtests,1774764779-43fdc962,2,2,total,38.751842
eda-speedtests,1774764779-43fdc962,2,3,agent_call,12.925463
eda-speedtests,1774764779-43fdc962,3,,original_execution,7.784439
eda-speedtests,1774764779-43fdc962,3,0,agent_call,13.193160
eda-speedtests,1774764779-43fdc962,4,,original_execution,8.004166
eda-speedtests,1774764779-43fdc962,4,0,agent_call,1.373439
eda-speedtests,1774764779-43fdc962,5,,original_execution,7.911156
eda-speedtests,1774764779-43fdc962,5,0,agent_call,0.860581
eda-speedtests,1774764779-43fdc962,6,,original_execution,7.549985
eda-speedtests,1774764779-43fdc962,6,0,agent_call,9.531117
eda-speedtests,1774764779-43fdc962,6,0,rewrite_execution,7.476378
eda-speedtests,1774764779-43fdc962,6,0,cudf_profiling,5.906873
eda-speedtests,1774764779-43fdc962,6,0,total,30.517631
eda-speedtests,1774764779-43fdc962,6,1,agent_call,16.496806
eda-speedtests,1774764779-43fdc962,7,,original_execution,7.990744
eda-speedtests,1774764779-43fdc962,7,0,agent_call,12.239828
eda-speedtests,1774764779-43fdc962,7,0,rewrite_execution,7.451117
eda-speedtests,1774764779-43fdc962,7,0,cudf_profiling,5.618802
eda-speedtests,1774764779-43fdc962,7,0,total,32.892557
eda-speedtests,1774764779-43fdc962,7,1,agent_call,4.969067
eda-speedtests,1774764779-43fdc962,7,1,rewrite_execution,7.936643
eda-speedtests,1774764779-43fdc962,7,1,cudf_profiling,5.516915
eda-speedtests,1774764779-43fdc962,7,1,total,26.195909
eda-speedtests,1774764779-43fdc962,7,2,agent_call,6.759073
eda-speedtests,1774764779-43fdc962,7,2,rewrite_execution,7.315240
eda-speedtests,1774764779-43fdc962,7,2,cudf_profiling,5.174812
eda-speedtests,1774764779-43fdc962,7,2,total,26.631589
eda-speedtests,1774764779-43fdc962,7,3,agent_call,21.013410
eda-speedtests,1774764779-43fdc962,7,3,rewrite_execution,7.815995
eda-speedtests,1774764779-43fdc962,7,3,cudf_profiling,5.340676
eda-speedtests,1774764779-43fdc962,7,3,total,41.780505
eda-speedtests,1774764779-43fdc962,7,4,agent_call,8.634776
eda-speedtests,1774764779-43fdc962,7,4,total,16.340798
eda-speedtests,1774764779-43fdc962,8,,original_execution,7.903350
eda-speedtests,1774764779-43fdc962,8,0,agent_call,22.392540
eda-speedtests,1774764779-43fdc962,8,0,rewrite_execution,7.859225
eda-speedtests,1774764779-43fdc962,8,0,cudf_profiling,5.577088
eda-speedtests,1774764779-43fdc962,8,0,total,43.363133
eda-speedtests,1774764779-43fdc962,8,1,agent_call,44.652439
eda-speedtests,1774764779-43fdc962,8,1,rewrite_execution,7.505072
eda-speedtests,1774764779-43fdc962,8,1,cudf_profiling,5.479916
eda-speedtests,1774764779-43fdc962,8,1,total,65.100508
eda-speedtests,1774764779-43fdc962,8,2,agent_call,22.199248
eda-speedtests,1774764779-43fdc962,8,2,rewrite_execution,8.018951
eda-speedtests,1774764779-43fdc962,8,2,cudf_profiling,5.556381
eda-speedtests,1774764779-43fdc962,8,2,total,43.781480
eda-speedtests,1774764779-43fdc962,8,3,agent_call,39.515842
eda-speedtests,1774764779-43fdc962,8,3,rewrite_execution,8.060506
eda-speedtests,1774764779-43fdc962,8,3,cudf_profiling,5.398407
eda-speedtests,1774764779-43fdc962,8,3,total,61.109412
eda-speedtests,1774764779-43fdc962,8,4,agent_call,1.833685
eda-speedtests,1774764779-43fdc962,9,,original_execution,7.828183
eda-speedtests,1774764779-43fdc962,9,0,agent_call,11.653299
eda-speedtests,1774764779-43fdc962,9,0,rewrite_execution,8.216059
eda-speedtests,1774764779-43fdc962,9,0,cudf_profiling,5.545651
eda-speedtests,1774764779-43fdc962,9,0,total,33.191984
eda-speedtests,1774764779-43fdc962,9,1,agent_call,6.828391
eda-speedtests,1774764779-43fdc962,9,1,rewrite_execution,7.993207
eda-speedtests,1774764779-43fdc962,9,1,cudf_profiling,4.956408
eda-speedtests,1774764779-43fdc962,9,1,total,27.280132
eda-speedtests,1774764779-43fdc962,9,2,agent_call,13.085976
eda-speedtests,1774764779-43fdc962,9,2,total,20.067833
