benchmark_name,run_id,cell_index,try_number,category,prompt_tokens,response_tokens,total_tokens
billionaires-statistics-2023,1774817839-71a141a2,0,0,manager_decision,544,43,587
billionaires-statistics-2023,1774817839-71a141a2,0,0,new_code_call,638,478,1116
billionaires-statistics-2023,1774817839-71a141a2,1,0,manager_decision,474,19,493
billionaires-statistics-2023,1774817839-71a141a2,2,0,manager_decision,472,33,505
billionaires-statistics-2023,1774817839-71a141a2,3,0,manager_decision,501,47,548
billionaires-statistics-2023,1774817839-71a141a2,3,0,new_code_call,595,2633,3228
billionaires-statistics-2023,1774817839-71a141a2,3,1,manager_decision,2195,28,2223
billionaires-statistics-2023,1774817839-71a141a2,3,1,repair_call,2163,3963,6126
billionaires-statistics-2023,1774817839-71a141a2,3,2,manager_decision,644,43,687
billionaires-statistics-2023,1774817839-71a141a2,3,2,optimizer_call,619,2764,3383
billionaires-statistics-2023,1774817839-71a141a2,4,0,manager_decision,476,29,505
billionaires-statistics-2023,1774817839-71a141a2,5,0,manager_decision,482,33,515
billionaires-statistics-2023,1774817839-71a141a2,5,0,new_code_call,576,1264,1840
billionaires-statistics-2023,1774817839-71a141a2,5,1,manager_decision,592,36,628
billionaires-statistics-2023,1774817839-71a141a2,5,1,optimizer_call,587,2592,3179
billionaires-statistics-2023,1774817839-71a141a2,5,2,manager_decision,591,51,642
billionaires-statistics-2023,1774817839-71a141a2,5,2,optimizer_call,586,815,1401
billionaires-statistics-2023,1774817839-71a141a2,5,3,manager_decision,591,45,636
billionaires-statistics-2023,1774817839-71a141a2,5,3,new_code_call,576,1069,1645
billionaires-statistics-2023,1774817839-71a141a2,5,4,manager_decision,637,33,670
billionaires-statistics-2023,1774817839-71a141a2,6,0,manager_decision,485,44,529
billionaires-statistics-2023,1774817839-71a141a2,6,0,new_code_call,579,391,970
billionaires-statistics-2023,1774817839-71a141a2,7,0,manager_decision,504,43,547
billionaires-statistics-2023,1774817839-71a141a2,7,0,new_code_call,598,1474,2072
billionaires-statistics-2023,1774817839-71a141a2,7,1,manager_decision,624,70,694
billionaires-statistics-2023,1774817839-71a141a2,7,1,optimizer_call,597,1142,1739
billionaires-statistics-2023,1774817839-71a141a2,7,2,manager_decision,610,48,658
billionaires-statistics-2023,1774817839-71a141a2,7,2,new_code_call,598,10111,10709
billionaires-statistics-2023,1774817839-71a141a2,7,3,manager_decision,658,30,688
billionaires-statistics-2023,1774817839-71a141a2,7,3,new_code_call,598,1657,2255
billionaires-statistics-2023,1774817839-71a141a2,7,4,manager_decision,609,49,658
billionaires-statistics-2023,1774817839-71a141a2,8,0,manager_decision,524,26,550
billionaires-statistics-2023,1774817839-71a141a2,8,0,new_code_call,618,2081,2699
billionaires-statistics-2023,1774817839-71a141a2,8,1,manager_decision,1723,34,1757
billionaires-statistics-2023,1774817839-71a141a2,8,1,new_code_call,618,1443,2061
billionaires-statistics-2023,1774817839-71a141a2,8,2,manager_decision,1696,32,1728
billionaires-statistics-2023,1774817839-71a141a2,8,2,new_code_call,618,1482,2100
billionaires-statistics-2023,1774817839-71a141a2,8,3,manager_decision,689,54,743
billionaires-statistics-2023,1774817839-71a141a2,8,3,optimizer_call,643,2565,3208
billionaires-statistics-2023,1774817839-71a141a2,8,4,manager_decision,1765,43,1808
billionaires-statistics-2023,1774817839-71a141a2,8,4,new_code_call,618,3575,4193
billionaires-statistics-2023,1774817839-71a141a2,9,0,manager_decision,521,59,580
billionaires-statistics-2023,1774817839-71a141a2,9,0,new_code_call,615,2678,3293
billionaires-statistics-2023,1774817839-71a141a2,9,1,manager_decision,726,43,769
billionaires-statistics-2023,1774817839-71a141a2,9,1,new_code_call,615,3000,3615
billionaires-statistics-2023,1774817839-71a141a2,9,2,manager_decision,710,54,764
billionaires-statistics-2023,1774817839-71a141a2,9,2,new_code_call,615,4400,5015
billionaires-statistics-2023,1774817839-71a141a2,9,3,manager_decision,711,58,769
billionaires-statistics-2023,1774817839-71a141a2,9,3,new_code_call,615,3145,3760
billionaires-statistics-2023,1774817839-71a141a2,9,4,manager_decision,840,74,914
billionaires-statistics-2023,1774817839-71a141a2,9,4,new_code_call,615,4104,4719
billionaires-statistics-2023,1774817839-71a141a2,10,0,manager_decision,474,37,511
billionaires-statistics-2023,1774817839-71a141a2,11,0,manager_decision,496,34,530
billionaires-statistics-2023,1774817839-71a141a2,11,0,new_code_call,590,778,1368
billionaires-statistics-2023,1774817839-71a141a2,11,1,manager_decision,4363,28,4391
billionaires-statistics-2023,1774817839-71a141a2,11,1,repair_call,4331,2021,6352
billionaires-statistics-2023,1774817839-71a141a2,11,2,manager_decision,631,46,677
billionaires-statistics-2023,1774817839-71a141a2,11,2,repair_call,599,3670,4269
billionaires-statistics-2023,1774817839-71a141a2,11,3,manager_decision,626,40,666
billionaires-statistics-2023,1774817839-71a141a2,11,3,optimizer_call,606,3687,4293
