ground_truth_schedule,ground_truth_total_cost,cost_model_schedule,cost_model_total_cost,actual_time_for_cost_model_schedule,predicted_schedule,predicted_total_cost,actual_time_for_predicted_schedule,predicted_cost_model_schedule,predicted_cost_model_total_cost,actual_time_for_predicted_cost_model_schedule
gpu,6942.107999999999,gpu,6904.327303529247,6942.108,gpu,6906.689899999999,6942.108,gpu,6868.909203529249,6942.108
gpu,6942.107999999999,gpu,6904.327303529247,6942.108,gpu,6906.689899999999,6942.108,gpu,6868.909203529249,6942.108
gpu,6942.107999999999,gpu,6904.327303529247,6942.108,gpu,6906.689899999999,6942.108,gpu,6868.909203529249,6942.108
gpu,6942.107999999999,gpu,6904.327303529247,6942.108,gpu,6906.689899999999,6942.108,gpu,6868.909203529249,6942.108
gpu,6942.107999999999,gpu,6904.327303529247,6942.108,gpu,6906.689899999999,6942.108,gpu,6868.909203529249,6942.108
gpu,6942.107999999999,gpu,6904.327303529247,6942.108,gpu,6906.689899999999,6942.108,gpu,6868.909203529249,6942.108
gpu,6942.107999999999,gpu,6904.327303529247,6942.108,gpu,6906.689899999999,6942.108,gpu,6868.909203529249,6942.108
cpu,6942.107999999999,cpu,6904.327303529247,6942.108,cpu,6906.689899999999,6942.108,cpu,6868.909203529249,6942.108
gpu,6942.107999999999,gpu,6904.327303529247,6942.108,gpu,6906.689899999999,6942.108,gpu,6868.909203529249,6942.108
gpu,6942.107999999999,gpu,6904.327303529247,6942.108,gpu,6906.689899999999,6942.108,gpu,6868.909203529249,6942.108
gpu,6942.107999999999,gpu,6904.327303529247,6942.108,gpu,6906.689899999999,6942.108,gpu,6868.909203529249,6942.108
gpu,6942.107999999999,gpu,6904.327303529247,6942.108,gpu,6906.689899999999,6942.108,gpu,6868.909203529249,6942.108
gpu,6942.107999999999,gpu,6904.327303529247,6942.108,gpu,6906.689899999999,6942.108,gpu,6868.909203529249,6942.108
gpu,6942.107999999999,gpu,6904.327303529247,6942.108,gpu,6906.689899999999,6942.108,gpu,6868.909203529249,6942.108
gpu,6942.107999999999,gpu,6904.327303529247,6942.108,gpu,6906.689899999999,6942.108,gpu,6868.909203529249,6942.108
gpu,6942.107999999999,gpu,6904.327303529247,6942.108,gpu,6906.689899999999,6942.108,gpu,6868.909203529249,6942.108
gpu,6942.107999999999,gpu,6904.327303529247,6942.108,gpu,6906.689899999999,6942.108,gpu,6868.909203529249,6942.108
gpu,6942.107999999999,gpu,6904.327303529247,6942.108,gpu,6906.689899999999,6942.108,gpu,6868.909203529249,6942.108
gpu,6942.107999999999,gpu,6904.327303529247,6942.108,gpu,6906.689899999999,6942.108,gpu,6868.909203529249,6942.108
gpu,6942.107999999999,gpu,6904.327303529247,6942.108,gpu,6906.689899999999,6942.108,gpu,6868.909203529249,6942.108
gpu,6942.107999999999,gpu,6904.327303529247,6942.108,gpu,6906.689899999999,6942.108,gpu,6868.909203529249,6942.108
gpu,6942.107999999999,gpu,6904.327303529247,6942.108,gpu,6906.689899999999,6942.108,gpu,6868.909203529249,6942.108
gpu,6942.107999999999,gpu,6904.327303529247,6942.108,gpu,6906.689899999999,6942.108,gpu,6868.909203529249,6942.108
cpu,6942.107999999999,cpu,6904.327303529247,6942.108,cpu,6906.689899999999,6942.108,cpu,6868.909203529249,6942.108
cpu,6942.107999999999,cpu,6904.327303529247,6942.108,cpu,6906.689899999999,6942.108,cpu,6868.909203529249,6942.108
gpu,6942.107999999999,gpu,6904.327303529247,6942.108,gpu,6906.689899999999,6942.108,gpu,6868.909203529249,6942.108
