cell_idx,df_name,df_col,cpu->gpu,cost-cpu->gpu,gpu->cpu,cost-gpu->cpu
0,df,show_id,6.27,3.4136537231725,5.8,2.31438759092
0,df,type,3.45,3.451368079303,3.54,2.333442428918
0,df,title,4.3,4.1170477775005,4.67,2.649701407562
0,df,director,2.93,3.3872729427115,3.76,2.4724875790220002
0,df,cast,4.65,8.971882135538499,5.81,5.024732525126
0,df,country,2.35,3.6275844523735,3.88,2.4871614858499997
0,df,date_added,2.21,3.918596342014,3.08,2.573641362158
0,df,release_year,0.8130000000000001,0.92814550192,127.0,1.852346888108
0,df,rating,2.9,3.3903617946070006,3.54,2.306313107006
0,df,duration,3.37,3.524542922317,3.31,2.374033157516
0,df,listed_in,2.44,4.880870051614,3.63,3.055685396714
0,df,description,5.96,11.643382843736498,4.92,5.920442666522
0,df_cell6,show_id,521.0,341.291380008706,181.0,59.355790843688006
0,df_cell6,type,494.0,345.06281562175604,145.0,61.261274643488
0,df_cell6,title,605.0,411.630785441506,304.0,92.88717250788801
0,df_cell6,director,1220.0,338.65330196260606,195.0,75.15087383705601
0,df_cell6,cast,1350.0,897.1142212453059,595.0,330.375368447456
0,df_cell6,country,665.0,362.684452928806,184.0,76.61826451985601
0,df_cell6,date_added,528.0,391.785641892856,189.0,85.26625215065602
0,df_cell6,release_year,9.43,8.91733593664,78.0,72.53308881080001
0,df_cell6,rating,515.0,338.96218715215605,151.0,58.533426635456
0,df_cell6,duration,595.0,352.38029992315603,164.0,65.30543168645602
0,df_cell6,listed_in,678.0,488.01301285285604,254.0,133.485571423088
0,df_cell6,description,1210.0,1164.264292065106,787.0,419.961298403888
1,df_cell6,title,601.0,411.630785441506,292.0,92.88717250788801
1,df_cell6,description,1210.0,1164.264292065106,711.0,419.961298403888
1,df_cell6,rating,500.0,338.96218715215605,149.0,58.533426635456
1,df_cell6,cast,1180.0,897.1142212453059,590.0,330.375368447456
1,df_cell6,release_year,9.47,8.91733593664,79.7,72.53308881080001
