benchmark_name,run_id,cell_index,try_number,category,prompt_tokens,response_tokens,total_tokens
<<<<<<< HEAD
netflix-data-visualization,1774818786-96148b4e,0,0,manager_decision,572,49,621
netflix-data-visualization,1774818786-96148b4e,0,0,new_code_call,666,1634,2300
netflix-data-visualization,1774818786-96148b4e,0,1,manager_decision,2562,40,2602
netflix-data-visualization,1774818786-96148b4e,0,1,repair_call,2530,3943,6473
netflix-data-visualization,1774818786-96148b4e,0,2,manager_decision,1785,42,1827
netflix-data-visualization,1774818786-96148b4e,0,2,repair_call,1753,12552,14305
netflix-data-visualization,1774818786-96148b4e,0,3,manager_decision,2578,42,2620
netflix-data-visualization,1774818786-96148b4e,0,3,repair_call,2546,2144,4690
netflix-data-visualization,1774818786-96148b4e,0,4,manager_decision,1810,41,1851
netflix-data-visualization,1774818786-96148b4e,0,4,new_code_call,666,2974,3640
netflix-data-visualization,1774818786-96148b4e,1,0,manager_decision,558,46,604
netflix-data-visualization,1774818786-96148b4e,1,0,new_code_call,652,1037,1689
netflix-data-visualization,1774818786-96148b4e,1,1,manager_decision,794,53,847
netflix-data-visualization,1774818786-96148b4e,1,1,optimizer_call,714,3744,4458
netflix-data-visualization,1774818786-96148b4e,1,2,manager_decision,5408,48,5456
netflix-data-visualization,1774818786-96148b4e,1,2,repair_call,5376,4463,9839
netflix-data-visualization,1774818786-96148b4e,1,3,manager_decision,799,44,843
netflix-data-visualization,1774818786-96148b4e,1,3,optimizer_call,719,1351,2070
netflix-data-visualization,1774818786-96148b4e,1,4,manager_decision,819,42,861
netflix-data-visualization,1774818786-96148b4e,2,0,manager_decision,605,58,663
netflix-data-visualization,1774818786-96148b4e,2,0,new_code_call,699,1449,2148
netflix-data-visualization,1774818786-96148b4e,2,1,manager_decision,817,31,848
netflix-data-visualization,1774818786-96148b4e,2,1,optimizer_call,689,1131,1820
netflix-data-visualization,1774818786-96148b4e,3,0,manager_decision,510,51,561
netflix-data-visualization,1774818786-96148b4e,4,0,manager_decision,465,24,489
netflix-data-visualization,1774818786-96148b4e,5,0,manager_decision,624,37,661
netflix-data-visualization,1774818786-96148b4e,5,0,new_code_call,718,4592,5310
netflix-data-visualization,1774818786-96148b4e,5,1,manager_decision,2799,64,2863
netflix-data-visualization,1774818786-96148b4e,5,1,repair_call,2767,1685,4452
netflix-data-visualization,1774818786-96148b4e,5,2,manager_decision,3259,41,3300
netflix-data-visualization,1774818786-96148b4e,5,2,repair_call,3227,3842,7069
netflix-data-visualization,1774818786-96148b4e,5,3,manager_decision,3272,42,3314
netflix-data-visualization,1774822605-0d999c87,0,0,manager_decision,572,54,626
netflix-data-visualization,1774822605-0d999c87,0,0,new_code_call,666,1553,2219
netflix-data-visualization,1774822605-0d999c87,1,0,manager_decision,558,26,584
netflix-data-visualization,1774822605-0d999c87,1,0,new_code_call,652,3089,3741
netflix-data-visualization,1774822605-0d999c87,1,1,manager_decision,1586,31,1617
netflix-data-visualization,1774822605-0d999c87,1,1,repair_call,1554,1063,2617
netflix-data-visualization,1774822605-0d999c87,1,2,manager_decision,839,54,893
netflix-data-visualization,1774822605-0d999c87,1,2,optimizer_call,759,3366,4125
netflix-data-visualization,1774822605-0d999c87,1,3,manager_decision,833,68,901
netflix-data-visualization,1774822605-0d999c87,2,0,manager_decision,605,38,643
netflix-data-visualization,1774822605-0d999c87,2,0,new_code_call,699,1468,2167
netflix-data-visualization,1774822605-0d999c87,2,1,manager_decision,823,36,859
netflix-data-visualization,1774822605-0d999c87,2,1,optimizer_call,695,537,1232
netflix-data-visualization,1774822605-0d999c87,3,0,manager_decision,510,49,559
netflix-data-visualization,1774822605-0d999c87,4,0,manager_decision,465,40,505
netflix-data-visualization,1774822605-0d999c87,5,0,manager_decision,624,47,671
netflix-data-visualization,1774822605-0d999c87,5,0,new_code_call,718,3042,3760
netflix-data-visualization,1774822605-0d999c87,5,1,manager_decision,2786,46,2832
netflix-data-visualization,1774822605-0d999c87,5,1,repair_call,2754,2962,5716
netflix-data-visualization,1774822605-0d999c87,5,2,manager_decision,3307,39,3346
netflix-data-visualization,1774822605-0d999c87,5,2,repair_call,3275,7776,11051
netflix-data-visualization,1774822605-0d999c87,5,3,manager_decision,1708,30,1738
netflix-data-visualization,1774822605-0d999c87,5,3,repair_call,1676,1943,3619
netflix-data-visualization,1774822605-0d999c87,5,4,manager_decision,1701,32,1733
netflix-data-visualization,1774822605-0d999c87,5,4,new_code_call,718,3071,3789
netflix-data-visualization,1774822605-0d999c87,6,0,manager_decision,588,30,618
netflix-data-visualization,1774822605-0d999c87,6,0,new_code_call,682,2195,2877
netflix-data-visualization,1774822605-0d999c87,6,1,manager_decision,2650,42,2692
netflix-data-visualization,1774822605-0d999c87,6,1,repair_call,2618,3592,6210
netflix-data-visualization,1774822605-0d999c87,6,2,manager_decision,2517,39,2556
netflix-data-visualization,1774822605-0d999c87,6,2,repair_call,9353,203,9556
netflix-data-visualization,1774822605-0d999c87,6,3,manager_decision,859,44,903
netflix-data-visualization,1774822605-0d999c87,6,3,new_code_call,682,2571,3253
netflix-data-visualization,1774822605-0d999c87,6,4,manager_decision,2609,51,2660
netflix-data-visualization,1774822605-0d999c87,6,4,new_code_call,682,2470,3152
netflix-data-visualization,1774822605-0d999c87,7,0,manager_decision,630,40,670
netflix-data-visualization,1774822605-0d999c87,7,0,new_code_call,724,1448,2172
netflix-data-visualization,1774822605-0d999c87,7,1,manager_decision,850,36,886
netflix-data-visualization,1774822605-0d999c87,7,1,optimizer_call,701,2579,3280
netflix-data-visualization,1774822605-0d999c87,7,2,manager_decision,1721,40,1761
netflix-data-visualization,1774822605-0d999c87,7,2,repair_call,1689,1243,2932
netflix-data-visualization,1774822605-0d999c87,7,3,manager_decision,944,56,1000
netflix-data-visualization,1774822605-0d999c87,8,0,manager_decision,820,52,872
netflix-data-visualization,1774822605-0d999c87,8,0,new_code_call,914,3976,4890
netflix-data-visualization,1774822605-0d999c87,8,1,manager_decision,3918,38,3956
netflix-data-visualization,1774822605-0d999c87,8,1,repair_call,3886,24372,28258
netflix-data-visualization,1774822605-0d999c87,8,2,manager_decision,3857,39,3896
netflix-data-visualization,1774822605-0d999c87,8,2,repair_call,3825,5671,9496
=======
netflix-data-visualization,1774767261-04aa07bf,0,0,manager_decision,573,64,637
netflix-data-visualization,1774767261-04aa07bf,0,0,new_code_call,667,915,1582
netflix-data-visualization,1774767261-04aa07bf,0,1,manager_decision,2548,66,2614
netflix-data-visualization,1774767261-04aa07bf,0,1,repair_call,2516,4210,6726
netflix-data-visualization,1774767261-04aa07bf,0,2,manager_decision,828,38,866
netflix-data-visualization,1774767261-04aa07bf,0,2,new_code_call,667,1895,2562
netflix-data-visualization,1774767261-04aa07bf,0,3,manager_decision,952,46,998
netflix-data-visualization,1774767261-04aa07bf,0,3,repair_call,920,2065,2985
netflix-data-visualization,1774767261-04aa07bf,0,4,manager_decision,2680,42,2722
netflix-data-visualization,1774767261-04aa07bf,0,4,new_code_call,667,2673,3340
netflix-data-visualization,1774767261-04aa07bf,1,0,manager_decision,559,47,606
netflix-data-visualization,1774767261-04aa07bf,1,0,new_code_call,653,1573,2226
netflix-data-visualization,1774767261-04aa07bf,1,1,manager_decision,794,27,821
netflix-data-visualization,1774767261-04aa07bf,1,1,optimizer_call,712,3749,4461
netflix-data-visualization,1774767261-04aa07bf,1,2,manager_decision,1014,37,1051
netflix-data-visualization,1774767261-04aa07bf,1,2,repair_call,982,1785,2767
netflix-data-visualization,1774767261-04aa07bf,1,3,manager_decision,986,34,1020
netflix-data-visualization,1774767261-04aa07bf,1,3,repair_call,954,3166,4120
netflix-data-visualization,1774767261-04aa07bf,1,4,manager_decision,844,46,890
netflix-data-visualization,1774767261-04aa07bf,1,4,optimizer_call,762,2697,3459
netflix-data-visualization,1774767261-04aa07bf,2,0,manager_decision,605,51,656
netflix-data-visualization,1774767261-04aa07bf,2,0,new_code_call,699,1940,2639
netflix-data-visualization,1774767261-04aa07bf,2,1,manager_decision,818,31,849
netflix-data-visualization,1774767261-04aa07bf,2,1,optimizer_call,690,4154,4844
netflix-data-visualization,1774767261-04aa07bf,2,2,manager_decision,814,37,851
netflix-data-visualization,1774767261-04aa07bf,2,2,optimizer_call,686,2016,2702
netflix-data-visualization,1774767261-04aa07bf,2,3,manager_decision,841,46,887
netflix-data-visualization,1774767261-04aa07bf,2,3,optimizer_call,713,2021,2734
netflix-data-visualization,1774767261-04aa07bf,2,4,manager_decision,875,40,915
netflix-data-visualization,1774767261-04aa07bf,3,0,manager_decision,510,60,570
netflix-data-visualization,1774767261-04aa07bf,3,0,new_code_call,604,557,1161
netflix-data-visualization,1774767261-04aa07bf,3,1,manager_decision,596,46,642
netflix-data-visualization,1774767261-04aa07bf,3,1,repair_call,564,950,1514
netflix-data-visualization,1774767261-04aa07bf,3,2,manager_decision,636,42,678
netflix-data-visualization,1774767261-04aa07bf,3,2,optimizer_call,604,1422,2026
netflix-data-visualization,1774767261-04aa07bf,3,3,manager_decision,5562,44,5606
netflix-data-visualization,1774767261-04aa07bf,3,3,new_code_call,604,702,1306
netflix-data-visualization,1774767261-04aa07bf,3,4,manager_decision,656,50,706
netflix-data-visualization,1774767261-04aa07bf,3,4,new_code_call,604,428,1032
netflix-data-visualization,1774767261-04aa07bf,4,0,manager_decision,465,30,495
netflix-data-visualization,1774767261-04aa07bf,5,0,manager_decision,624,37,661
netflix-data-visualization,1774767261-04aa07bf,5,0,new_code_call,718,1780,2498
netflix-data-visualization,1774767261-04aa07bf,5,1,manager_decision,2788,51,2839
netflix-data-visualization,1774767261-04aa07bf,5,1,repair_call,2756,2237,4993
netflix-data-visualization,1774767261-04aa07bf,5,2,manager_decision,3320,29,3349
netflix-data-visualization,1774767261-04aa07bf,5,2,repair_call,3288,13726,17014
netflix-data-visualization,1774767261-04aa07bf,5,3,manager_decision,982,50,1032
netflix-data-visualization,1774767261-04aa07bf,5,3,optimizer_call,835,4269,5104
netflix-data-visualization,1774767261-04aa07bf,5,4,manager_decision,1211,35,1246
netflix-data-visualization,1774767261-04aa07bf,5,4,new_code_call,718,4906,5624
netflix-data-visualization,1774767261-04aa07bf,6,0,manager_decision,588,38,626
netflix-data-visualization,1774767261-04aa07bf,6,0,new_code_call,682,2394,3076
netflix-data-visualization,1774767261-04aa07bf,6,1,manager_decision,2616,60,2676
netflix-data-visualization,1774767261-04aa07bf,6,1,repair_call,2584,6340,8924
netflix-data-visualization,1774767261-04aa07bf,6,2,manager_decision,2480,33,2513
netflix-data-visualization,1774767261-04aa07bf,6,2,repair_call,2448,8306,10754
netflix-data-visualization,1774767261-04aa07bf,6,3,manager_decision,2490,55,2545
netflix-data-visualization,1774767261-04aa07bf,6,3,repair_call,2458,9992,12450
netflix-data-visualization,1774767261-04aa07bf,6,4,manager_decision,867,47,914
netflix-data-visualization,1774767261-04aa07bf,7,0,manager_decision,630,50,680
netflix-data-visualization,1774767261-04aa07bf,7,0,new_code_call,724,1747,2471
netflix-data-visualization,1774767261-04aa07bf,7,1,manager_decision,918,51,969
netflix-data-visualization,1774767261-04aa07bf,7,1,optimizer_call,769,7589,8358
netflix-data-visualization,1774767261-04aa07bf,7,2,manager_decision,872,69,941
netflix-data-visualization,1774767261-04aa07bf,7,2,optimizer_call,723,10746,11469
netflix-data-visualization,1774767261-04aa07bf,7,3,manager_decision,854,52,906
netflix-data-visualization,1774767261-04aa07bf,7,3,optimizer_call,705,2169,2874
netflix-data-visualization,1774767261-04aa07bf,7,4,manager_decision,838,59,897
netflix-data-visualization,1774767261-04aa07bf,8,0,manager_decision,820,65,885
netflix-data-visualization,1774767261-04aa07bf,8,0,new_code_call,914,1699,2613
netflix-data-visualization,1774767261-04aa07bf,8,1,manager_decision,3779,44,3823
netflix-data-visualization,1774767261-04aa07bf,8,1,repair_call,3747,14045,17792
netflix-data-visualization,1774767261-04aa07bf,8,2,manager_decision,1338,42,1380
netflix-data-visualization,1774767261-04aa07bf,8,2,repair_call,1306,1376,2682
netflix-data-visualization,1774767261-04aa07bf,8,3,manager_decision,1605,43,1648
netflix-data-visualization,1774767261-04aa07bf,8,3,repair_call,1573,2097,3670
netflix-data-visualization,1774767261-04aa07bf,8,4,manager_decision,3819,39,3858
netflix-data-visualization,1774767261-04aa07bf,8,4,repair_call,3787,2880,6667
netflix-data-visualization,1774767261-04aa07bf,9,0,manager_decision,543,25,568
netflix-data-visualization,1774767261-04aa07bf,9,0,new_code_call,637,1180,1817
netflix-data-visualization,1774767261-04aa07bf,9,1,manager_decision,686,41,727
netflix-data-visualization,1774767261-04aa07bf,9,1,optimizer_call,624,3579,4203
netflix-data-visualization,1774767261-04aa07bf,9,2,manager_decision,746,59,805
netflix-data-visualization,1774767261-04aa07bf,9,2,optimizer_call,683,3486,4169
netflix-data-visualization,1774767261-04aa07bf,9,3,manager_decision,690,54,744
netflix-data-visualization,1774767261-04aa07bf,9,3,optimizer_call,628,2349,2977
netflix-data-visualization,1774767261-04aa07bf,9,4,manager_decision,747,57,804
netflix-data-visualization,1774767261-04aa07bf,9,4,new_code_call,637,2278,2915
netflix-data-visualization,1774767261-04aa07bf,10,0,manager_decision,857,87,944
netflix-data-visualization,1774767261-04aa07bf,10,0,new_code_call,951,1409,2360
netflix-data-visualization,1774767261-04aa07bf,10,1,manager_decision,1219,46,1265
netflix-data-visualization,1774767261-04aa07bf,10,1,optimizer_call,841,4327,5168
netflix-data-visualization,1774767261-04aa07bf,10,2,manager_decision,1592,46,1638
netflix-data-visualization,1774767261-04aa07bf,10,2,optimizer_call,1214,5083,6297
netflix-data-visualization,1774767261-04aa07bf,10,3,manager_decision,1499,42,1541
netflix-data-visualization,1774767261-04aa07bf,10,3,repair_call,1467,14387,15854
netflix-data-visualization,1774767261-04aa07bf,10,4,manager_decision,1353,59,1412
netflix-data-visualization,1774767261-04aa07bf,11,0,manager_decision,593,35,628
netflix-data-visualization,1774767261-04aa07bf,11,0,new_code_call,687,806,1493
netflix-data-visualization,1774767261-04aa07bf,11,1,manager_decision,835,36,871
netflix-data-visualization,1774767261-04aa07bf,11,1,optimizer_call,726,3531,4257
netflix-data-visualization,1774767261-04aa07bf,11,2,manager_decision,6011,29,6040
netflix-data-visualization,1774767261-04aa07bf,11,2,repair_call,5979,2900,8879
netflix-data-visualization,1774767261-04aa07bf,11,3,manager_decision,824,50,874
netflix-data-visualization,1774767261-04aa07bf,11,3,optimizer_call,715,1498,2213
netflix-data-visualization,1774767261-04aa07bf,11,4,manager_decision,960,60,1020
netflix-data-visualization,1774767261-04aa07bf,11,4,new_code_call,687,2312,2999
netflix-data-visualization,1774767261-04aa07bf,12,0,manager_decision,731,48,779
netflix-data-visualization,1774767261-04aa07bf,12,0,new_code_call,825,5938,6763
netflix-data-visualization,1774767261-04aa07bf,12,1,manager_decision,1053,47,1100
netflix-data-visualization,1774767261-04aa07bf,12,1,optimizer_call,803,3265,4068
netflix-data-visualization,1774767261-04aa07bf,12,2,manager_decision,1046,54,1100
netflix-data-visualization,1774767261-04aa07bf,12,2,optimizer_call,796,2243,3039
netflix-data-visualization,1774767261-04aa07bf,12,3,manager_decision,1078,45,1123
netflix-data-visualization,1774767261-04aa07bf,12,3,optimizer_call,828,4615,5443
netflix-data-visualization,1774767261-04aa07bf,12,4,manager_decision,992,47,1039
netflix-data-visualization,1774767261-04aa07bf,13,0,manager_decision,692,62,754
netflix-data-visualization,1774767261-04aa07bf,13,0,new_code_call,786,3642,4428
netflix-data-visualization,1774767261-04aa07bf,13,1,manager_decision,1010,81,1091
netflix-data-visualization,1774767261-04aa07bf,13,1,optimizer_call,802,3772,4574
netflix-data-visualization,1774767261-04aa07bf,13,2,manager_decision,3027,42,3069
netflix-data-visualization,1774767261-04aa07bf,13,2,repair_call,2995,5974,8969
netflix-data-visualization,1774767261-04aa07bf,13,3,manager_decision,3218,40,3258
netflix-data-visualization,1774767261-04aa07bf,13,3,repair_call,3186,3987,7173
netflix-data-visualization,1774767261-04aa07bf,13,4,manager_decision,926,42,968
netflix-data-visualization,1774767261-04aa07bf,13,4,repair_call,894,12924,13818
netflix-data-visualization,1774767261-04aa07bf,14,0,manager_decision,576,29,605
netflix-data-visualization,1774767261-04aa07bf,14,0,new_code_call,670,1190,1860
netflix-data-visualization,1774767261-04aa07bf,14,1,manager_decision,3498,48,3546
netflix-data-visualization,1774767261-04aa07bf,14,1,new_code_call,670,970,1640
netflix-data-visualization,1774767261-04aa07bf,14,2,manager_decision,3497,42,3539
netflix-data-visualization,1774767261-04aa07bf,14,2,repair_call,3465,6186,9651
netflix-data-visualization,1774767261-04aa07bf,14,3,manager_decision,3538,34,3572
netflix-data-visualization,1774767261-04aa07bf,14,3,new_code_call,670,1459,2129
netflix-data-visualization,1774767261-04aa07bf,14,4,manager_decision,743,54,797
netflix-data-visualization,1774767261-04aa07bf,14,4,new_code_call,670,1054,1724
netflix-data-visualization,1774816027-31d6e032,0,0,manager_decision,573,45,618
netflix-data-visualization,1774816027-31d6e032,0,0,new_code_call,667,1452,2119
netflix-data-visualization,1774816027-31d6e032,0,1,manager_decision,2590,43,2633
netflix-data-visualization,1774816027-31d6e032,0,1,repair_call,2558,5853,8411
netflix-data-visualization,1774816027-31d6e032,0,2,manager_decision,875,67,942
netflix-data-visualization,1774816027-31d6e032,0,2,optimizer_call,778,2574,3352
netflix-data-visualization,1774816027-31d6e032,0,3,manager_decision,789,39,828
netflix-data-visualization,1774816027-31d6e032,0,3,new_code_call,667,744,1411
netflix-data-visualization,1774816027-31d6e032,1,0,manager_decision,559,46,605
netflix-data-visualization,1774816027-31d6e032,1,0,new_code_call,653,920,1573
netflix-data-visualization,1774816027-31d6e032,1,1,manager_decision,851,53,904
netflix-data-visualization,1774816027-31d6e032,1,1,optimizer_call,769,2551,3320
netflix-data-visualization,1774816027-31d6e032,1,2,manager_decision,818,80,898
netflix-data-visualization,1774816027-31d6e032,1,2,optimizer_call,736,1156,1892
netflix-data-visualization,1774816027-31d6e032,1,3,manager_decision,904,60,964
netflix-data-visualization,1774816027-31d6e032,1,3,repair_call,872,1354,2226
netflix-data-visualization,1774816027-31d6e032,1,4,manager_decision,861,48,909
netflix-data-visualization,1774816027-31d6e032,2,0,manager_decision,606,44,650
netflix-data-visualization,1774816027-31d6e032,2,0,new_code_call,700,1883,2583
netflix-data-visualization,1774816027-31d6e032,2,1,manager_decision,825,50,875
netflix-data-visualization,1774816027-31d6e032,2,1,optimizer_call,695,2641,3336
netflix-data-visualization,1774816027-31d6e032,2,2,manager_decision,869,54,923
netflix-data-visualization,1774816027-31d6e032,2,2,optimizer_call,738,2362,3100
netflix-data-visualization,1774816027-31d6e032,2,3,manager_decision,845,26,871
netflix-data-visualization,1774816027-31d6e032,2,3,optimizer_call,715,4058,4773
netflix-data-visualization,1774816027-31d6e032,2,4,manager_decision,2698,51,2749
netflix-data-visualization,1774816027-31d6e032,2,4,new_code_call,700,1060,1760
netflix-data-visualization,1774816027-31d6e032,3,0,manager_decision,510,37,547
netflix-data-visualization,1774816027-31d6e032,4,0,manager_decision,465,29,494
netflix-data-visualization,1774816027-31d6e032,5,0,manager_decision,624,54,678
netflix-data-visualization,1774816027-31d6e032,5,0,new_code_call,718,4922,5640
netflix-data-visualization,1774816027-31d6e032,5,1,manager_decision,3251,26,3277
netflix-data-visualization,1774816027-31d6e032,5,1,repair_call,3219,9268,12487
netflix-data-visualization,1774816027-31d6e032,5,2,manager_decision,3186,47,3233
netflix-data-visualization,1774816027-31d6e032,5,2,repair_call,3154,12544,15698
netflix-data-visualization,1774816027-31d6e032,5,3,manager_decision,3236,61,3297
netflix-data-visualization,1774816027-31d6e032,5,3,repair_call,3204,15481,18685
netflix-data-visualization,1774816027-31d6e032,5,4,manager_decision,3275,44,3319
netflix-data-visualization,1774816027-31d6e032,5,4,new_code_call,718,3402,4120
netflix-data-visualization,1774816027-31d6e032,6,0,manager_decision,588,36,624
netflix-data-visualization,1774816027-31d6e032,6,0,new_code_call,682,1791,2473
>>>>>>> d495373679d540b73ce8d85cdfe7b6c0e2ebc9a2
netflix-data-visualization,1774834105-e9f8eb68,0,0,manager_decision,572,60,632
