cell_idx,df_name,df_col,cpu->gpu,cost-cpu->gpu,gpu->cpu,cost-gpu->cpu
0,df,S No.,34.5,33.23556761856,543.0,287.6737322024
0,df,Year,32.3,33.23556761856,299.0,287.6737322024
0,df,State,2200.0,1393.802415924624,583.0,176.24862995875202
0,df,Industry,2460.0,1519.866110921724,733.0,239.94117391435202
0,df,Count,33.8,33.23556761856,304.0,287.6737322024
1,df,State,2150.0,1393.802415924624,575.0,176.24862995875202
1,df,Count,33.1,33.23556761856,363.0,287.6737322024
1,df,Year,32.8,33.23556761856,298.0,287.6737322024
1,df,Industry,2460.0,1519.866110921724,730.0,239.94117391435202
2,df,Industry,2400.0,1519.866110921724,728.0,239.94117391435202
