benchmark_name,run_id,cell_index,try_number,category,prompt_tokens,response_tokens,total_tokens
environmental-vs-ai-startups-india-eda,1774776796-a1124916,0,0,manager_decision,568,61,629
environmental-vs-ai-startups-india-eda,1774776796-a1124916,0,0,new_code_call,662,1562,2224
environmental-vs-ai-startups-india-eda,1774776796-a1124916,0,1,manager_decision,861,51,912
environmental-vs-ai-startups-india-eda,1774776796-a1124916,0,1,new_code_call,662,1004,1666
environmental-vs-ai-startups-india-eda,1774776796-a1124916,0,2,manager_decision,2706,29,2735
environmental-vs-ai-startups-india-eda,1774776796-a1124916,0,2,repair_call,2674,5320,7994
environmental-vs-ai-startups-india-eda,1774776796-a1124916,0,3,manager_decision,2721,54,2775
environmental-vs-ai-startups-india-eda,1774776796-a1124916,0,3,repair_call,2689,2633,5322
environmental-vs-ai-startups-india-eda,1774776796-a1124916,0,4,manager_decision,795,47,842
environmental-vs-ai-startups-india-eda,1774776796-a1124916,1,0,manager_decision,541,48,589
environmental-vs-ai-startups-india-eda,1774776796-a1124916,1,0,new_code_call,635,332,967
environmental-vs-ai-startups-india-eda,1774776796-a1124916,2,0,manager_decision,818,37,855
environmental-vs-ai-startups-india-eda,1774776796-a1124916,2,0,new_code_call,912,2092,3004
environmental-vs-ai-startups-india-eda,1774776796-a1124916,2,1,manager_decision,1235,70,1305
environmental-vs-ai-startups-india-eda,1774776796-a1124916,2,1,optimizer_call,888,4352,5240
environmental-vs-ai-startups-india-eda,1774776796-a1124916,2,2,manager_decision,1224,69,1293
environmental-vs-ai-startups-india-eda,1774776796-a1124916,2,2,optimizer_call,877,1645,2522
environmental-vs-ai-startups-india-eda,1774776796-a1124916,2,3,manager_decision,1232,57,1289
