benchmark_name,run_id,cell_index,try_number,category,prompt_tokens,response_tokens,total_tokens
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,0,0,manager_decision,615,64,679
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,0,0,new_code_call,709,1981,2690
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,0,1,manager_decision,2670,39,2709
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,0,1,new_code_call,709,3082,3791
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,0,2,manager_decision,2654,33,2687
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,0,2,repair_call,2622,3028,5650
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,0,3,manager_decision,894,39,933
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,0,3,optimizer_call,755,2276,3031
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,0,4,manager_decision,1262,41,1303
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,0,4,new_code_call,709,2190,2899
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,1,0,manager_decision,478,30,508
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,2,0,manager_decision,478,44,522
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,3,0,manager_decision,467,32,499
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,4,0,manager_decision,484,59,543
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,5,0,manager_decision,491,56,547
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,5,0,new_code_call,585,876,1461
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,5,1,manager_decision,581,57,638
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,5,1,optimizer_call,568,602,1170
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,6,0,manager_decision,546,33,579
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,6,0,new_code_call,640,962,1602
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,6,1,manager_decision,708,54,762
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,6,1,optimizer_call,639,1533,2172
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,7,0,manager_decision,546,50,596
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,7,0,new_code_call,640,755,1395
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,7,1,manager_decision,696,29,725
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,7,1,optimizer_call,624,708,1332
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,8,0,manager_decision,504,38,542
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,8,0,new_code_call,598,1057,1655
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,8,1,manager_decision,651,44,695
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,8,1,optimizer_call,620,1029,1649
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,8,2,manager_decision,638,34,672
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,8,2,optimizer_call,608,755,1363
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,8,3,manager_decision,2661,43,2704
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,8,3,repair_call,2629,1592,4221
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,8,4,manager_decision,690,35,725
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,9,0,manager_decision,477,35,512
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,10,0,manager_decision,474,44,518
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,10,0,new_code_call,568,318,886
