benchmark_name,run_id,cell_index,try_number,category,elapsed_seconds
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,0,,original_execution,10.790839
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,0,0,agent_call,15.839690
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,0,0,total,26.184165
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,0,1,agent_call,28.621830
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,0,1,total,38.805748
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,0,2,agent_call,22.311638
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,0,2,rewrite_execution,10.328350
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,0,2,cudf_profiling,6.640615
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,0,2,total,48.733471
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,0,3,agent_call,22.699841
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,0,3,total,32.749064
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,0,4,agent_call,16.926784
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,0,4,total,27.216311
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,1,,original_execution,10.850160
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,1,0,agent_call,0.864176
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,2,,original_execution,10.647984
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,2,0,agent_call,1.128277
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,3,,original_execution,11.026848
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,3,0,agent_call,1.376161
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,4,,original_execution,10.638902
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,4,0,agent_call,2.092195
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,5,,original_execution,10.737102
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,5,0,agent_call,7.594120
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,5,0,rewrite_execution,9.600068
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,5,0,cudf_profiling,5.175547
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,5,0,total,32.183553
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,5,1,agent_call,10.034378
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,6,,original_execution,11.988689
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,6,0,agent_call,12.953149
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,6,0,rewrite_execution,11.640272
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,6,0,cudf_profiling,5.514899
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,6,0,total,40.829201
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,6,1,agent_call,10.131140
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,7,,original_execution,11.136769
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,7,0,agent_call,11.920452
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,7,0,rewrite_execution,9.964284
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,7,0,cudf_profiling,5.442758
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,7,0,total,36.905391
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,7,1,agent_call,9.775940
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,8,,original_execution,13.021472
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,8,0,agent_call,12.045651
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,8,0,rewrite_execution,22.078181
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,8,0,cudf_profiling,16.026608
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,8,0,total,71.355450
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,8,1,agent_call,10.830133
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,8,1,rewrite_execution,11.503279
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,8,1,cudf_profiling,5.516619
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,8,1,total,38.669631
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,8,2,agent_call,8.118927
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,8,2,total,19.671921
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,8,3,agent_call,13.316810
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,8,3,rewrite_execution,11.666175
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,8,3,cudf_profiling,5.446156
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,8,3,total,41.443659
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,8,4,agent_call,1.318022
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,9,,original_execution,10.742777
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,9,0,agent_call,1.272369
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,10,,original_execution,10.728257
feedback3-eda-hf-custom-trainer-sift,1774821806-3bc1351c,10,0,agent_call,3.925007
