cell_idx,df_name,df_col,cpu->gpu,cost-cpu->gpu,gpu->cpu,cost-gpu->cpu
0,df,Duration (in seconds),69.5,13.8165837907714,16.4,7.4675949092192
0,df,Q2,29.9,20.5211207596984,14.0,7.7198539411952005
0,df,Q3,28.3,20.1549779488114,13.7,7.534863591063201
0,df,Q4,30.7,21.6230292599014,17.1,8.276583264303202
0,df,Q5,27.8,19.8235190325544,13.1,7.3673969656112
0,df,Q6_1,65.8,15.8557865895934,12.1,7.489526116167201
0,df,Q6_2,72.6,12.9269243763934,7.6,7.0754764934672005
0,df,Q6_3,69.6,15.6012628577884,9.04,7.813921531287201
0,df,Q6_4,76.3,13.5508491031264,10.8,7.207211241255201
0,df,Q6_5,73.8,12.4707786106534,10.4,7.070697295827201
0,df,Q6_6,67.6,12.9397702632934,11.1,7.1225309393672
0,df,Q6_7,62.6,14.2606777789834,13.2,7.2121261445072005
0,df,Q6_8,67.7,13.4747897745994,7.43,7.309208759283201
0,df,Q6_9,68.1,14.1389921958034,7.55,7.7841843015272
0,df,Q6_10,72.0,18.2943796902154,11.2,9.152173573659201
0,df,Q6_11,89.7,12.1179721659844,9.78,7.0316907827432
0,df,Q6_12,71.2,14.1040747395934,10.7,7.198939099167201
0,df,Q7_1,59.9,15.5588480748604,17.4,7.759597984779201
0,df,Q7_2,51.4,21.7279567997164,11.3,9.8641501168952
0,df,Q7_3,64.6,14.824693960446401,7.76,7.910992345575201
0,df,Q7_4,53.0,21.5882402625604,14.0,9.9179072399792
0,df,Q7_5,54.6,21.314109036114402,15.4,9.804628455423199
0,df,Q7_6,73.9,12.8229194048194,9.87,7.2371077776032005
0,df,Q7_7,66.1,12.7994815002664,10.4,7.0892653636952
0,df,Q8,34.2,33.875763171333396,17.8,9.9809690478512
0,df,Q9,50.9,16.076478926535398,10.6,7.208367689079201
0,df,Q10_1,65.2,14.379525588966402,8.22,7.9458332863952
0,df,Q10_2,69.4,14.9943764483164,7.9,8.1216605575952
0,df,Q10_3,81.1,12.7203975492784,7.03,7.053881600427201
0,df,Q11,32.4,21.7986325338244,12.9,8.4942727666832
0,df,Q12_1,40.4,18.8706344984704,20.4,7.6919811885392
0,df,Q12_2,82.5,13.505701649712401,7.98,7.058578194651201
0,df,Q12_3,54.8,15.263439388476401,9.01,7.201901021655201
0,df,Q12_4,60.5,13.271906508132401,7.78,7.0540350067712
0,df,Q12_5,76.3,12.5822692308664,6.66,7.0489961983952005
0,df,Q12_6,60.0,13.605292307424401,7.81,7.112140609683201
0,df,Q12_7,62.8,13.425765198957402,7.52,7.1227728493712
0,df,Q12_8,63.9,13.5439823926744,12.4,7.237520794683201
0,df,Q12_9,65.6,12.6847677302494,7.2,7.071133913883201
0,df,Q12_10,64.4,12.5896731329524,6.52,7.0571621360912005
0,df,Q12_11,64.1,13.0015589792824,7.14,7.1180526541712
0,df,Q12_12,67.2,12.2215567267144,6.78,7.0403641414232006
0,df,Q12_13,75.5,12.2193495697834,9.98,7.0354138367072006
0,df,Q12_14,71.5,12.117843707115401,16.6,7.031625880059201
0,df,Q12_15,64.9,12.588014845734401,7.3,7.071222417543201
0,df,Q13_1,63.7,14.1729520495354,8.29,7.349088508479201
0,df,Q13_2,79.5,13.6367180180134,7.92,7.234960088787201
0,df,Q13_3,60.5,14.1812668417834,8.42,7.422764855307201
0,df,Q13_4,59.5,18.4096423299454,12.4,8.7389794863392
0,df,Q13_5,59.4,14.5400174286634,12.0,7.355767584687201
