ground_truth_schedule,ground_truth_total_cost,cost_model_schedule,cost_model_total_cost,actual_time_for_cost_model_schedule,predicted_schedule,predicted_total_cost,actual_time_for_predicted_schedule,predicted_cost_model_schedule,predicted_cost_model_total_cost,actual_time_for_predicted_cost_model_schedule
gpu,821.04,gpu,821.04,821.0399999999998,gpu,828.7447500000001,821.0399999999998,gpu,828.7447500000001,821.0399999999998
gpu,821.04,gpu,821.04,821.0399999999998,gpu,828.7447500000001,821.0399999999998,gpu,828.7447500000001,821.0399999999998
gpu,821.04,gpu,821.04,821.0399999999998,gpu,828.7447500000001,821.0399999999998,gpu,828.7447500000001,821.0399999999998
gpu,821.04,gpu,821.04,821.0399999999998,gpu,828.7447500000001,821.0399999999998,gpu,828.7447500000001,821.0399999999998
gpu,821.04,gpu,821.04,821.0399999999998,gpu,828.7447500000001,821.0399999999998,gpu,828.7447500000001,821.0399999999998
gpu,821.04,gpu,821.04,821.0399999999998,gpu,828.7447500000001,821.0399999999998,gpu,828.7447500000001,821.0399999999998
gpu,821.04,gpu,821.04,821.0399999999998,gpu,828.7447500000001,821.0399999999998,gpu,828.7447500000001,821.0399999999998
gpu,821.04,gpu,821.04,821.0399999999998,gpu,828.7447500000001,821.0399999999998,gpu,828.7447500000001,821.0399999999998
gpu,821.04,gpu,821.04,821.0399999999998,gpu,828.7447500000001,821.0399999999998,gpu,828.7447500000001,821.0399999999998
gpu,821.04,gpu,821.04,821.0399999999998,gpu,828.7447500000001,821.0399999999998,gpu,828.7447500000001,821.0399999999998
gpu,821.04,gpu,821.04,821.0399999999998,gpu,828.7447500000001,821.0399999999998,gpu,828.7447500000001,821.0399999999998
gpu,821.04,gpu,821.04,821.0399999999998,gpu,828.7447500000001,821.0399999999998,gpu,828.7447500000001,821.0399999999998
gpu,821.04,gpu,821.04,821.0399999999998,gpu,828.7447500000001,821.0399999999998,gpu,828.7447500000001,821.0399999999998
gpu,821.04,gpu,821.04,821.0399999999998,gpu,828.7447500000001,821.0399999999998,gpu,828.7447500000001,821.0399999999998
