benchmark_name,run_id,cell_index,try_number,category,elapsed_seconds
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,0,,original_execution,11.551016
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,0,0,agent_call,13.330606
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,1,,original_execution,12.890203
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,1,0,agent_call,0.834944
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,2,,original_execution,14.084952
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,2,0,agent_call,26.621802
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,2,1,agent_call,84.189284
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,2,1,rewrite_execution,12.383891
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,2,1,cudf_profiling,6.791233
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,2,2,agent_call,23.885058
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,2,3,agent_call,18.419500
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,2,4,agent_call,46.058893
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,3,,original_execution,14.386302
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,3,0,agent_call,23.521320
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,3,1,agent_call,6.348816
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,3,2,agent_call,13.815668
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,3,3,agent_call,15.538926
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,3,3,rewrite_execution,12.924658
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,3,3,cudf_profiling,6.403221
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,3,4,agent_call,13.315801
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,4,,original_execution,14.140767
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,4,0,agent_call,28.671550
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,4,1,agent_call,57.571527
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,4,1,rewrite_execution,12.377958
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,4,1,cudf_profiling,8.021446
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,4,2,agent_call,16.978440
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,4,2,rewrite_execution,12.554662
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,4,2,cudf_profiling,5.844374
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,4,3,agent_call,14.938194
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,4,3,rewrite_execution,13.332397
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,4,3,cudf_profiling,6.055797
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,4,4,agent_call,8.480322
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,4,4,rewrite_execution,12.273302
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,4,4,cudf_profiling,6.111773
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,5,,original_execution,14.037301
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,5,0,agent_call,25.555443
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,5,1,agent_call,25.184468
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,5,2,agent_call,34.354204
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,5,3,agent_call,29.263189
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,5,4,agent_call,1.039479
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,6,,original_execution,14.255562
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,6,0,agent_call,24.949038
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,6,1,agent_call,37.486893
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,6,1,rewrite_execution,12.327179
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,6,1,cudf_profiling,5.978220
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,6,2,agent_call,19.869709
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,7,,original_execution,13.783122
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,7,0,agent_call,8.386030
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,8,,original_execution,14.344550
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,8,0,agent_call,13.585981
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,8,1,agent_call,59.817256
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,8,1,rewrite_execution,12.686275
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,8,1,cudf_profiling,5.883466
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,8,2,agent_call,21.932106
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,8,3,agent_call,69.972204
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,8,4,agent_call,15.076408
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,9,,original_execution,16.026357
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,9,0,agent_call,1.016597
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,10,,original_execution,13.906689
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,10,0,agent_call,23.384929
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,10,0,rewrite_execution,12.140249
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,10,0,cudf_profiling,6.124038
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,10,1,agent_call,27.320145
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,10,2,agent_call,64.354141
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,10,2,rewrite_execution,12.217318
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,10,2,cudf_profiling,5.959047
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,10,3,agent_call,27.574517
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,11,,original_execution,13.913380
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,11,0,agent_call,1.099998
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,12,,original_execution,14.232268
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,12,0,agent_call,13.513713
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,12,0,rewrite_execution,12.253928
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,12,0,cudf_profiling,5.919267
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,12,1,agent_call,9.745323
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,13,,original_execution,13.988996
creating-player-stats-using-tracking-data,1774820621-7d3d1ca8,13,0,agent_call,4.459277
