ground_truth_schedule,ground_truth_total_cost,cost_model_schedule,cost_model_total_cost,actual_time_for_cost_model_schedule,predicted_schedule,predicted_total_cost,actual_time_for_predicted_schedule,predicted_cost_model_schedule,predicted_cost_model_total_cost,actual_time_for_predicted_cost_model_schedule
cpu,5864.073,cpu,5868.094535842842,5864.392999999998,cpu,5858.752349999999,5864.392999999998,cpu,5862.4538858428405,5864.392999999998
cpu,5864.073,cpu,5868.094535842842,5864.392999999998,cpu,5858.752349999999,5864.392999999998,cpu,5862.4538858428405,5864.392999999998
cpu,5864.073,cpu,5868.094535842842,5864.392999999998,cpu,5858.752349999999,5864.392999999998,cpu,5862.4538858428405,5864.392999999998
cpu,5864.073,cpu,5868.094535842842,5864.392999999998,cpu,5858.752349999999,5864.392999999998,cpu,5862.4538858428405,5864.392999999998
cpu,5864.073,cpu,5868.094535842842,5864.392999999998,cpu,5858.752349999999,5864.392999999998,cpu,5862.4538858428405,5864.392999999998
cpu,5864.073,cpu,5868.094535842842,5864.392999999998,cpu,5858.752349999999,5864.392999999998,cpu,5862.4538858428405,5864.392999999998
cpu,5864.073,cpu,5868.094535842842,5864.392999999998,cpu,5858.752349999999,5864.392999999998,cpu,5862.4538858428405,5864.392999999998
cpu,5864.073,cpu,5868.094535842842,5864.392999999998,cpu,5858.752349999999,5864.392999999998,cpu,5862.4538858428405,5864.392999999998
cpu,5864.073,cpu,5868.094535842842,5864.392999999998,cpu,5858.752349999999,5864.392999999998,cpu,5862.4538858428405,5864.392999999998
cpu,5864.073,cpu,5868.094535842842,5864.392999999998,cpu,5858.752349999999,5864.392999999998,cpu,5862.4538858428405,5864.392999999998
cpu,5864.073,cpu,5868.094535842842,5864.392999999998,cpu,5858.752349999999,5864.392999999998,cpu,5862.4538858428405,5864.392999999998
gpu,5864.073,gpu,5868.094535842842,5864.392999999998,gpu,5858.752349999999,5864.392999999998,gpu,5862.4538858428405,5864.392999999998
cpu,5864.073,cpu,5868.094535842842,5864.392999999998,cpu,5858.752349999999,5864.392999999998,cpu,5862.4538858428405,5864.392999999998
cpu,5864.073,cpu,5868.094535842842,5864.392999999998,cpu,5858.752349999999,5864.392999999998,cpu,5862.4538858428405,5864.392999999998
cpu,5864.073,cpu,5868.094535842842,5864.392999999998,cpu,5858.752349999999,5864.392999999998,cpu,5862.4538858428405,5864.392999999998
cpu,5864.073,cpu,5868.094535842842,5864.392999999998,cpu,5858.752349999999,5864.392999999998,cpu,5862.4538858428405,5864.392999999998
gpu,5864.073,cpu,5868.094535842842,5864.392999999998,cpu,5858.752349999999,5864.392999999998,cpu,5862.4538858428405,5864.392999999998
cpu,5864.073,cpu,5868.094535842842,5864.392999999998,cpu,5858.752349999999,5864.392999999998,cpu,5862.4538858428405,5864.392999999998
cpu,5864.073,cpu,5868.094535842842,5864.392999999998,cpu,5858.752349999999,5864.392999999998,cpu,5862.4538858428405,5864.392999999998
cpu,5864.073,cpu,5868.094535842842,5864.392999999998,cpu,5858.752349999999,5864.392999999998,cpu,5862.4538858428405,5864.392999999998
gpu,5864.073,gpu,5868.094535842842,5864.392999999998,gpu,5858.752349999999,5864.392999999998,gpu,5862.4538858428405,5864.392999999998
gpu,5864.073,gpu,5868.094535842842,5864.392999999998,gpu,5858.752349999999,5864.392999999998,gpu,5862.4538858428405,5864.392999999998
gpu,5864.073,gpu,5868.094535842842,5864.392999999998,gpu,5858.752349999999,5864.392999999998,gpu,5862.4538858428405,5864.392999999998
