benchmark_name,run_id,cell_index,try_number,category,prompt_tokens,response_tokens,total_tokens
comprehensive-data-exploration-with-python,1774801934-d1708826,0,0,manager_decision,550,56,606
comprehensive-data-exploration-with-python,1774801934-d1708826,0,0,new_code_call,644,2112,2756
comprehensive-data-exploration-with-python,1774801934-d1708826,0,1,manager_decision,2662,49,2711
comprehensive-data-exploration-with-python,1774801934-d1708826,0,1,repair_call,2630,3969,6599
comprehensive-data-exploration-with-python,1774801934-d1708826,0,2,manager_decision,731,46,777
comprehensive-data-exploration-with-python,1774801934-d1708826,0,2,optimizer_call,655,1543,2198
comprehensive-data-exploration-with-python,1774801934-d1708826,1,0,manager_decision,466,24,490
comprehensive-data-exploration-with-python,1774801934-d1708826,2,0,manager_decision,513,50,563
comprehensive-data-exploration-with-python,1774801934-d1708826,2,0,new_code_call,607,402,1009
comprehensive-data-exploration-with-python,1774801934-d1708826,3,0,manager_decision,528,50,578
comprehensive-data-exploration-with-python,1774801934-d1708826,3,0,new_code_call,622,679,1301
comprehensive-data-exploration-with-python,1774801934-d1708826,4,0,manager_decision,504,40,544
comprehensive-data-exploration-with-python,1774801934-d1708826,4,0,new_code_call,598,430,1028
comprehensive-data-exploration-with-python,1774801934-d1708826,4,1,manager_decision,599,47,646
comprehensive-data-exploration-with-python,1774801934-d1708826,4,1,optimizer_call,569,412,981
comprehensive-data-exploration-with-python,1774801934-d1708826,5,0,manager_decision,507,38,545
comprehensive-data-exploration-with-python,1774801934-d1708826,5,0,new_code_call,601,417,1018
comprehensive-data-exploration-with-python,1774801934-d1708826,5,1,manager_decision,614,34,648
comprehensive-data-exploration-with-python,1774801934-d1708826,6,0,manager_decision,502,29,531
comprehensive-data-exploration-with-python,1774801934-d1708826,6,0,new_code_call,596,540,1136
comprehensive-data-exploration-with-python,1774801934-d1708826,6,1,manager_decision,596,38,634
comprehensive-data-exploration-with-python,1774801934-d1708826,7,0,manager_decision,495,44,539
comprehensive-data-exploration-with-python,1774801934-d1708826,7,0,new_code_call,589,409,998
comprehensive-data-exploration-with-python,1774801934-d1708826,7,1,manager_decision,615,45,660
comprehensive-data-exploration-with-python,1774801934-d1708826,7,1,optimizer_call,591,230,821
comprehensive-data-exploration-with-python,1774801934-d1708826,8,0,manager_decision,494,49,543
comprehensive-data-exploration-with-python,1774801934-d1708826,8,0,new_code_call,588,919,1507
comprehensive-data-exploration-with-python,1774801934-d1708826,8,1,manager_decision,616,45,661
comprehensive-data-exploration-with-python,1774801934-d1708826,8,1,repair_call,584,1474,2058
comprehensive-data-exploration-with-python,1774801934-d1708826,8,2,manager_decision,609,37,646
comprehensive-data-exploration-with-python,1774801934-d1708826,8,2,optimizer_call,592,537,1129
comprehensive-data-exploration-with-python,1774801934-d1708826,8,3,manager_decision,657,43,700
comprehensive-data-exploration-with-python,1774801934-d1708826,8,3,repair_call,625,1285,1910
comprehensive-data-exploration-with-python,1774801934-d1708826,8,4,manager_decision,608,45,653
