cell_idx,df_name,df_col,cpu->gpu,cost-cpu->gpu,gpu->cpu,cost-gpu->cpu
0,data,Ship Mode,1030.0,678.1492475871296,298.0,120.31751545838081
0,data,Segment,993.0,640.9354139225695,294.0,101.51556191822081
0,data,Country,996.0,679.8009950808896,273.0,121.15204596974081
0,data,City,1030.0,645.5412482801696,291.0,103.8426181518208
0,data,State,1030.0,637.6655518025696,320.0,99.8634935982208
0,data,Postal Code,16.4,15.499602055423999,370.0,130.76592718975996
0,data,Region,1230.0,603.7935172246496,262.0,82.74995388110081
0,data,Category,1190.0,677.9577270915295,263.0,120.2207514567808
0,data,Sub-Category,1030.0,625.5698646975295,291.0,93.7522568727808
0,data,Sales,101.0,76.6098515635712,137.0,173.75095995648
0,data,Quantity,16.5,15.499602055423999,135.0,130.76592718975996
0,data,Discount,105.0,76.6098515635712,139.0,173.75095995648
0,data,Profit,105.0,76.6098515635712,137.0,173.75095995648
1,data,Ship Mode,1330.0,678.1492475871296,267.0,120.31751545838081
1,data,Segment,1390.0,640.9354139225695,281.0,101.51556191822081
1,data,Country,1030.0,679.8009950808896,264.0,121.15204596974081
1,data,City,1020.0,645.5412482801696,280.0,103.8426181518208
1,data,State,1170.0,637.6655518025696,296.0,99.8634935982208
1,data,Postal Code,16.2,15.499602055423999,334.0,130.76592718975996
1,data,Region,926.0,603.7935172246496,261.0,82.74995388110081
1,data,Category,980.0,677.9577270915295,263.0,120.2207514567808
1,data,Sub-Category,958.0,625.5698646975295,298.0,93.7522568727808
1,data,Sales,101.0,76.6098515635712,136.0,173.75095995648
1,data,Quantity,15.8,15.499602055423999,133.0,130.76592718975996
1,data,Discount,106.0,76.6098515635712,133.0,173.75095995648
1,data,Profit,101.0,76.6098515635712,137.0,173.75095995648
2,data,Ship Mode,986.0,678.1492475871296,267.0,120.31751545838081
2,data,Segment,1030.0,640.9354139225695,273.0,101.51556191822081
2,data,Country,995.0,679.8009950808896,264.0,121.15204596974081
2,data,City,1100.0,645.5412482801696,281.0,103.8426181518208
2,data,State,1300.0,637.6655518025696,290.0,99.8634935982208
2,data,Postal Code,16.4,15.499602055423999,223.0,130.76592718975996
2,data,Region,1060.0,603.7935172246496,253.0,82.74995388110081
2,data,Category,1020.0,677.9577270915295,264.0,120.2207514567808
2,data,Sub-Category,940.0,625.5698646975295,297.0,93.7522568727808
2,data,Sales,99.9,76.6098515635712,137.0,173.75095995648
2,data,Quantity,15.3,15.499602055423999,136.0,130.76592718975996
2,data,Discount,99.0,76.6098515635712,135.0,173.75095995648
2,data,Profit,98.3,76.6098515635712,135.0,173.75095995648
3,data,Ship Mode,948.0,678.1492475871296,290.0,120.31751545838081
3,data,Segment,927.0,640.9354139225695,273.0,101.51556191822081
3,data,Country,958.0,679.8009950808896,325.0,121.15204596974081
3,data,City,944.0,645.5412482801696,278.0,103.8426181518208
3,data,State,976.0,637.6655518025696,321.0,99.8634935982208
3,data,Postal Code,15.4,15.499602055423999,140.0,130.76592718975996
3,data,Region,926.0,603.7935172246496,268.0,82.74995388110081
3,data,Category,940.0,677.9577270915295,278.0,120.2207514567808
3,data,Sub-Category,951.0,625.5698646975295,307.0,93.7522568727808
3,data,Sales,99.7,76.6098515635712,248.0,173.75095995648
3,data,Quantity,15.1,15.499602055423999,132.0,130.76592718975996
3,data,Discount,97.0,76.6098515635712,134.0,173.75095995648
3,data,Profit,96.6,76.6098515635712,136.0,173.75095995648
4,data,Ship Mode,963.0,678.1492475871296,312.0,120.31751545838081
4,data,Segment,933.0,640.9354139225695,273.0,101.51556191822081
4,data,Country,958.0,679.8009950808896,432.0,121.15204596974081
4,data,City,959.0,645.5412482801696,318.0,103.8426181518208
4,data,State,977.0,637.6655518025696,310.0,99.8634935982208
4,data,Postal Code,15.2,15.499602055423999,140.0,130.76592718975996
4,data,Region,884.0,603.7935172246496,272.0,82.74995388110081
4,data,Category,935.0,677.9577270915295,308.0,120.2207514567808
4,data,Sub-Category,929.0,625.5698646975295,301.0,93.7522568727808
4,data,Sales,97.9,76.6098515635712,234.0,173.75095995648
4,data,Quantity,15.7,15.499602055423999,138.0,130.76592718975996
4,data,Discount,99.1,76.6098515635712,134.0,173.75095995648
4,data,Profit,96.6,76.6098515635712,135.0,173.75095995648
5,data,Sub-Category,956.0,625.5698646975295,293.0,93.7522568727808
5,data,City,998.0,645.5412482801696,286.0,103.8426181518208
5,data,Quantity,15.4,15.499602055423999,135.0,130.76592718975996
5,data,Ship Mode,948.0,678.1492475871296,264.0,120.31751545838081
5,data,Category,988.0,677.9577270915295,263.0,120.2207514567808
5,data,Postal Code,15.3,15.499602055423999,135.0,130.76592718975996
5,data,Discount,106.0,76.6098515635712,139.0,173.75095995648
5,data,Profit,99.7,76.6098515635712,225.0,173.75095995648
5,data,Segment,1000.0,640.9354139225695,275.0,101.51556191822081
5,data,Region,880.0,603.7935172246496,270.0,82.74995388110081
5,data,Sales,98.0,76.6098515635712,140.0,173.75095995648
5,data,Country,951.0,679.8009950808896,286.0,121.15204596974081
5,data,State,961.0,637.6655518025696,290.0,99.8634935982208
6,data,Ship Mode,936.0,678.1492475871296,467.0,120.31751545838081
6,data,Segment,925.0,640.9354139225695,280.0,101.51556191822081
6,data,Country,967.0,679.8009950808896,263.0,121.15204596974081
6,data,City,949.0,645.5412482801696,285.0,103.8426181518208
6,data,State,1000.0,637.6655518025696,304.0,99.8634935982208
6,data,Region,950.0,603.7935172246496,300.0,82.74995388110081
6,data,Category,951.0,677.9577270915295,428.0,120.2207514567808
6,data,Sub-Category,946.0,625.5698646975295,296.0,93.7522568727808
6,data,Sales,97.4,76.6098515635712,141.0,173.75095995648
6,data,Quantity,15.8,15.499602055423999,135.0,130.76592718975996
6,data,Discount,99.2,76.6098515635712,137.0,173.75095995648
6,data,Profit,103.0,76.6098515635712,132.0,173.75095995648
7,data,Discount,98.0,76.6098515635712,138.0,173.75095995648
7,data,Sales,98.3,76.6098515635712,134.0,173.75095995648
7,data,Quantity,15.7,15.499602055423999,139.0,130.76592718975996
7,data,Profit,99.6,76.6098515635712,137.0,173.75095995648
8,data,Ship Mode,986.0,678.1492475871296,265.0,120.31751545838081
9,data,Segment,941.0,640.9354139225695,269.0,101.51556191822081
