ground_truth_schedule,ground_truth_total_cost,cost_model_schedule,cost_model_total_cost,actual_time_for_cost_model_schedule,predicted_schedule,predicted_total_cost,actual_time_for_predicted_schedule,predicted_cost_model_schedule,predicted_cost_model_total_cost,actual_time_for_predicted_cost_model_schedule
gpu,3852.35,gpu,3661.456078802138,3852.3500000000013,gpu,3630.332050000001,3852.3500000000013,gpu,3439.4381288021377,3852.3500000000013
gpu,3852.35,gpu,3661.456078802138,3852.3500000000013,gpu,3630.332050000001,3852.3500000000013,gpu,3439.4381288021377,3852.3500000000013
gpu,3852.35,gpu,3661.456078802138,3852.3500000000013,gpu,3630.332050000001,3852.3500000000013,gpu,3439.4381288021377,3852.3500000000013
gpu,3852.35,gpu,3661.456078802138,3852.3500000000013,gpu,3630.332050000001,3852.3500000000013,gpu,3439.4381288021377,3852.3500000000013
gpu,3852.35,gpu,3661.456078802138,3852.3500000000013,gpu,3630.332050000001,3852.3500000000013,gpu,3439.4381288021377,3852.3500000000013
cpu,3852.35,cpu,3661.456078802138,3852.3500000000013,cpu,3630.332050000001,3852.3500000000013,cpu,3439.4381288021377,3852.3500000000013
gpu,3852.35,gpu,3661.456078802138,3852.3500000000013,gpu,3630.332050000001,3852.3500000000013,gpu,3439.4381288021377,3852.3500000000013
gpu,3852.35,gpu,3661.456078802138,3852.3500000000013,gpu,3630.332050000001,3852.3500000000013,gpu,3439.4381288021377,3852.3500000000013
gpu,3852.35,gpu,3661.456078802138,3852.3500000000013,gpu,3630.332050000001,3852.3500000000013,gpu,3439.4381288021377,3852.3500000000013
gpu,3852.35,gpu,3661.456078802138,3852.3500000000013,gpu,3630.332050000001,3852.3500000000013,gpu,3439.4381288021377,3852.3500000000013
gpu,3852.35,gpu,3661.456078802138,3852.3500000000013,gpu,3630.332050000001,3852.3500000000013,gpu,3439.4381288021377,3852.3500000000013
gpu,3852.35,gpu,3661.456078802138,3852.3500000000013,gpu,3630.332050000001,3852.3500000000013,gpu,3439.4381288021377,3852.3500000000013
gpu,3852.35,gpu,3661.456078802138,3852.3500000000013,gpu,3630.332050000001,3852.3500000000013,gpu,3439.4381288021377,3852.3500000000013
gpu,3852.35,gpu,3661.456078802138,3852.3500000000013,gpu,3630.332050000001,3852.3500000000013,gpu,3439.4381288021377,3852.3500000000013
gpu,3852.35,gpu,3661.456078802138,3852.3500000000013,gpu,3630.332050000001,3852.3500000000013,gpu,3439.4381288021377,3852.3500000000013
gpu,3852.35,gpu,3661.456078802138,3852.3500000000013,gpu,3630.332050000001,3852.3500000000013,gpu,3439.4381288021377,3852.3500000000013
gpu,3852.35,gpu,3661.456078802138,3852.3500000000013,gpu,3630.332050000001,3852.3500000000013,gpu,3439.4381288021377,3852.3500000000013
gpu,3852.35,gpu,3661.456078802138,3852.3500000000013,gpu,3630.332050000001,3852.3500000000013,gpu,3439.4381288021377,3852.3500000000013
gpu,3852.35,gpu,3661.456078802138,3852.3500000000013,gpu,3630.332050000001,3852.3500000000013,gpu,3439.4381288021377,3852.3500000000013
gpu,3852.35,gpu,3661.456078802138,3852.3500000000013,gpu,3630.332050000001,3852.3500000000013,gpu,3439.4381288021377,3852.3500000000013
gpu,3852.35,gpu,3661.456078802138,3852.3500000000013,gpu,3630.332050000001,3852.3500000000013,gpu,3439.4381288021377,3852.3500000000013
gpu,3852.35,gpu,3661.456078802138,3852.3500000000013,gpu,3630.332050000001,3852.3500000000013,gpu,3439.4381288021377,3852.3500000000013
gpu,3852.35,gpu,3661.456078802138,3852.3500000000013,gpu,3630.332050000001,3852.3500000000013,gpu,3439.4381288021377,3852.3500000000013
gpu,3852.35,gpu,3661.456078802138,3852.3500000000013,gpu,3630.332050000001,3852.3500000000013,gpu,3439.4381288021377,3852.3500000000013
gpu,3852.35,gpu,3661.456078802138,3852.3500000000013,gpu,3630.332050000001,3852.3500000000013,gpu,3439.4381288021377,3852.3500000000013
gpu,3852.35,gpu,3661.456078802138,3852.3500000000013,gpu,3630.332050000001,3852.3500000000013,gpu,3439.4381288021377,3852.3500000000013
gpu,3852.35,gpu,3661.456078802138,3852.3500000000013,gpu,3630.332050000001,3852.3500000000013,gpu,3439.4381288021377,3852.3500000000013
gpu,3852.35,gpu,3661.456078802138,3852.3500000000013,gpu,3630.332050000001,3852.3500000000013,gpu,3439.4381288021377,3852.3500000000013
