cell_idx,df_name,df_col,cpu->gpu,cost-cpu->gpu,gpu->cpu,cost-gpu->cpu
0,df,url,173.0,129.8590357941224,70.2,51.90340311699521
0,df,name,118.0,92.74376511632241,48.5,32.974830340595204
0,df,sku,102.0,73.2530512653224,36.2,23.303740400195203
0,df,selling_price,3.46,2.395912403456,143.0,14.838527636
0,df,original_price,102.0,69.9703432584224,28.1,21.9435736715584
0,df,currency,98.5,70.2926582388224,28.2,21.808028546195203
0,df,availability,98.5,74.2503592119224,33.2,23.807621237795203
0,df,color,95.1,72.1436337603224,30.5,22.743217220195202
0,df,category,97.4,74.0214688635224,25.1,23.691976455395203
0,df,source,113.0,87.0682187223224,31.4,30.2837290521952
0,df,source_website,122.0,89.0418140733224,37.2,31.280870288195203
0,df,breadcrumbs,100.0,79.55804611742239,37.6,26.4892821357952
0,df,description,651.0,451.81549916882244,226.0,199.62132187659523
0,df,brand,96.7,73.2530512653224,35.8,23.303740400195203
0,df,images,1220.0,1157.4680939754223,599.0,571.0936038237951
0,df,country,100.0,70.2926582388224,23.6,21.808028546195203
0,df,language,96.5,69.3058605633224,23.0,21.3094579281952
0,df,average_rating,9.64,8.8233980553728,11.0,18.413991828
0,df,reviews_count,3.06,2.395912403456,10.2,14.838527636
0,df,crawled_at,110.0,92.9890047753224,38.2,33.275152760195205
1,df,url,166.0,129.8590357941224,89.5,51.90340311699521
1,df,name,124.0,92.74376511632241,37.3,32.974830340595204
1,df,sku,96.6,73.2530512653224,27.7,23.303740400195203
1,df,selling_price,3.14,2.395912403456,10.9,14.838527636
1,df,original_price,116.0,69.9703432584224,27.5,21.9435736715584
1,df,currency,97.6,70.2926582388224,24.9,21.808028546195203
1,df,availability,101.0,74.2503592119224,27.0,23.807621237795203
1,df,color,98.4,72.1436337603224,46.9,22.743217220195202
1,df,category,97.2,74.0214688635224,26.3,23.691976455395203
1,df,source,120.0,87.0682187223224,31.9,30.2837290521952
1,df,source_website,114.0,89.0418140733224,31.1,31.280870288195203
1,df,breadcrumbs,99.2,79.55804611742239,26.5,26.4892821357952
1,df,description,681.0,451.81549916882244,213.0,199.62132187659523
1,df,brand,96.6,73.2530512653224,30.6,23.303740400195203
1,df,images,1210.0,1157.4680939754223,631.0,571.0936038237951
1,df,country,96.2,70.2926582388224,23.5,21.808028546195203
1,df,language,108.0,69.3058605633224,23.3,21.3094579281952
1,df,average_rating,9.09,8.8233980553728,10.3,18.413991828
1,df,reviews_count,3.41,2.395912403456,10.4,14.838527636
1,df,crawled_at,116.0,92.9890047753224,36.3,33.275152760195205
2,df,url,155.0,129.8590357941224,49.1,51.90340311699521
2,df,name,114.0,92.74376511632241,35.6,32.974830340595204
2,df,sku,95.8,73.2530512653224,27.2,23.303740400195203
2,df,selling_price,2.87,2.395912403456,10.6,14.838527636
2,df,original_price,98.9,69.9703432584224,26.2,21.9435736715584
2,df,currency,96.6,70.2926582388224,36.1,21.808028546195203
2,df,availability,103.0,74.2503592119224,24.5,23.807621237795203
2,df,color,98.7,72.1436337603224,24.9,22.743217220195202
2,df,category,102.0,74.0214688635224,25.3,23.691976455395203
2,df,source,133.0,87.0682187223224,31.7,30.2837290521952
2,df,source_website,124.0,89.0418140733224,32.5,31.280870288195203
2,df,breadcrumbs,99.4,79.55804611742239,45.3,26.4892821357952
2,df,description,637.0,451.81549916882244,213.0,199.62132187659523
2,df,brand,104.0,73.2530512653224,23.8,23.303740400195203
2,df,images,1220.0,1157.4680939754223,609.0,571.0936038237951
2,df,country,104.0,70.2926582388224,23.8,21.808028546195203
2,df,language,94.6,69.3058605633224,24.5,21.3094579281952
2,df,average_rating,8.96,8.8233980553728,10.8,18.413991828
2,df,reviews_count,3.06,2.395912403456,28.0,14.838527636
2,df,crawled_at,111.0,92.9890047753224,36.4,33.275152760195205
3,df,url,158.0,129.8590357941224,48.7,51.90340311699521
3,df,name,123.0,92.74376511632241,36.4,32.974830340595204
3,df,sku,101.0,73.2530512653224,26.8,23.303740400195203
3,df,selling_price,2.89,2.395912403456,10.9,14.838527636
3,df,original_price,102.0,69.9703432584224,26.3,21.9435736715584
3,df,currency,116.0,70.2926582388224,37.3,21.808028546195203
3,df,availability,119.0,74.2503592119224,24.7,23.807621237795203
3,df,color,152.0,72.1436337603224,25.6,22.743217220195202
3,df,category,103.0,74.0214688635224,27.1,23.691976455395203
3,df,source,116.0,87.0682187223224,32.9,30.2837290521952
3,df,source_website,155.0,89.0418140733224,31.8,31.280870288195203
3,df,breadcrumbs,167.0,79.55804611742239,29.2,26.4892821357952
3,df,description,636.0,451.81549916882244,229.0,199.62132187659523
