benchmark_name,run_id,cell_index,try_number,category,prompt_tokens,response_tokens,total_tokens
adidas-retail-eda-data-visualization,1774832629-67338031,0,0,manager_decision,549,46,595
adidas-retail-eda-data-visualization,1774832629-67338031,0,0,new_code_call,643,2015,2658
adidas-retail-eda-data-visualization,1774832629-67338031,0,1,manager_decision,2637,40,2677
adidas-retail-eda-data-visualization,1774832629-67338031,0,1,repair_call,2605,3654,6259
adidas-retail-eda-data-visualization,1774832629-67338031,0,2,manager_decision,776,47,823
adidas-retail-eda-data-visualization,1774832629-67338031,1,0,manager_decision,482,38,520
adidas-retail-eda-data-visualization,1774832629-67338031,2,0,manager_decision,524,40,564
adidas-retail-eda-data-visualization,1774832629-67338031,3,0,manager_decision,464,25,489
adidas-retail-eda-data-visualization,1774832629-67338031,4,0,manager_decision,465,40,505
adidas-retail-eda-data-visualization,1774832629-67338031,5,0,manager_decision,484,30,514
adidas-retail-eda-data-visualization,1774832629-67338031,5,0,new_code_call,578,3868,4446
adidas-retail-eda-data-visualization,1774832629-67338031,6,0,manager_decision,494,24,518
adidas-retail-eda-data-visualization,1774832629-67338031,7,0,manager_decision,547,58,605
adidas-retail-eda-data-visualization,1774832629-67338031,7,0,new_code_call,641,1413,2054
adidas-retail-eda-data-visualization,1774832629-67338031,7,1,manager_decision,720,61,781
adidas-retail-eda-data-visualization,1774832629-67338031,7,1,repair_call,688,2482,3170
adidas-retail-eda-data-visualization,1774832629-67338031,7,2,manager_decision,703,27,730
adidas-retail-eda-data-visualization,1774832629-67338031,7,2,optimizer_call,629,879,1508
adidas-retail-eda-data-visualization,1774832629-67338031,7,3,manager_decision,681,34,715
adidas-retail-eda-data-visualization,1774832629-67338031,7,3,optimizer_call,607,1264,1871
adidas-retail-eda-data-visualization,1774832629-67338031,7,4,manager_decision,662,49,711
adidas-retail-eda-data-visualization,1774832629-67338031,8,0,manager_decision,476,51,527
adidas-retail-eda-data-visualization,1774832629-67338031,8,0,new_code_call,570,1415,1985
adidas-retail-eda-data-visualization,1774832629-67338031,8,1,manager_decision,592,39,631
adidas-retail-eda-data-visualization,1774832629-67338031,8,1,new_code_call,570,764,1334
adidas-retail-eda-data-visualization,1774832629-67338031,8,2,manager_decision,579,64,643
adidas-retail-eda-data-visualization,1774832629-67338031,8,2,new_code_call,570,616,1186
adidas-retail-eda-data-visualization,1774832629-67338031,8,3,manager_decision,559,42,601
adidas-retail-eda-data-visualization,1774832629-67338031,8,3,new_code_call,570,1079,1649
adidas-retail-eda-data-visualization,1774832629-67338031,8,4,manager_decision,611,42,653
adidas-retail-eda-data-visualization,1774832629-67338031,9,0,manager_decision,513,34,547
adidas-retail-eda-data-visualization,1774832629-67338031,10,0,manager_decision,564,42,606
adidas-retail-eda-data-visualization,1774832629-67338031,10,0,new_code_call,658,513,1171
adidas-retail-eda-data-visualization,1774832629-67338031,11,0,manager_decision,482,32,514
adidas-retail-eda-data-visualization,1774832629-67338031,12,0,manager_decision,547,44,591
adidas-retail-eda-data-visualization,1774832629-67338031,12,0,new_code_call,641,821,1462
adidas-retail-eda-data-visualization,1774832629-67338031,12,1,manager_decision,691,50,741
adidas-retail-eda-data-visualization,1774832629-67338031,13,0,manager_decision,482,53,535
adidas-retail-eda-data-visualization,1774832629-67338031,14,0,manager_decision,455,27,482
adidas-retail-eda-data-visualization,1774832629-67338031,15,0,manager_decision,485,28,513
adidas-retail-eda-data-visualization,1774832629-67338031,16,0,manager_decision,540,28,568
adidas-retail-eda-data-visualization,1774832629-67338031,16,0,new_code_call,634,1395,2029
adidas-retail-eda-data-visualization,1774832629-67338031,16,1,manager_decision,677,53,730
adidas-retail-eda-data-visualization,1774832629-67338031,16,1,optimizer_call,610,4329,4939
adidas-retail-eda-data-visualization,1774832629-67338031,17,0,manager_decision,544,43,587
adidas-retail-eda-data-visualization,1774832629-67338031,17,0,new_code_call,638,671,1309
adidas-retail-eda-data-visualization,1774832629-67338031,17,1,manager_decision,685,49,734
adidas-retail-eda-data-visualization,1774832629-67338031,17,1,optimizer_call,614,2444,3058
adidas-retail-eda-data-visualization,1774832629-67338031,17,2,manager_decision,698,52,750
adidas-retail-eda-data-visualization,1774832629-67338031,17,2,optimizer_call,627,2537,3164
adidas-retail-eda-data-visualization,1774832629-67338031,17,3,manager_decision,708,51,759
adidas-retail-eda-data-visualization,1774832629-67338031,17,3,optimizer_call,637,2335,2972
adidas-retail-eda-data-visualization,1774832629-67338031,17,4,manager_decision,705,30,735
adidas-retail-eda-data-visualization,1774832629-67338031,18,0,manager_decision,478,30,508
adidas-retail-eda-data-visualization,1774832629-67338031,18,0,new_code_call,572,320,892
adidas-retail-eda-data-visualization,1774832629-67338031,19,0,manager_decision,516,38,554
adidas-retail-eda-data-visualization,1774832629-67338031,19,0,new_code_call,610,242,852
adidas-retail-eda-data-visualization,1774832629-67338031,20,0,manager_decision,485,28,513
adidas-retail-eda-data-visualization,1774832629-67338031,21,0,manager_decision,488,48,536
adidas-retail-eda-data-visualization,1774832629-67338031,21,0,new_code_call,582,299,881
adidas-retail-eda-data-visualization,1774832629-67338031,22,0,manager_decision,535,50,585
adidas-retail-eda-data-visualization,1774832629-67338031,23,0,manager_decision,535,86,621
adidas-retail-eda-data-visualization,1774832629-67338031,23,0,new_code_call,629,1021,1650
adidas-retail-eda-data-visualization,1774832629-67338031,23,1,manager_decision,712,59,771
