cell_idx,df_name,df_col,cpu->gpu,cost-cpu->gpu,gpu->cpu,cost-gpu->cpu
0,df,S No.,29.6,27.83762075456,358.0,239.91784350199998
0,df,Year,26.8,27.83762075456,249.0,239.91784350199998
0,df,State,1840.0,1161.5025115352241,515.0,147.163566165952
0,df,Industry,2029.9999999999998,1266.5555906994741,610.0,200.24068612895198
0,df,Count,27.6,27.83762075456,257.0,239.91784350199998
1,df,Year,33.6,27.83762075456,249.0,239.91784350199998
2,df,Industry,2140.0,1266.5555906994741,599.0,200.24068612895198
3,df,Industry,2370.0,1266.5555906994741,598.0,200.24068612895198
4,df,State,1870.0,1161.5025115352241,473.0,147.163566165952
5,df,Industry,2190.0,1266.5555906994741,626.0,200.24068612895198
