benchmark_name,run_id,cell_index,try_number,category,prompt_tokens,response_tokens,total_tokens
imdb-dataset-eda-project,1774837595-2780a28d,0,0,manager_decision,646,43,689
imdb-dataset-eda-project,1774837595-2780a28d,0,0,new_code_call,740,528,1268
imdb-dataset-eda-project,1774837595-2780a28d,1,0,manager_decision,470,52,522
imdb-dataset-eda-project,1774837595-2780a28d,1,0,new_code_call,564,730,1294
imdb-dataset-eda-project,1774837595-2780a28d,1,1,manager_decision,558,43,601
imdb-dataset-eda-project,1774837595-2780a28d,2,0,manager_decision,512,32,544
imdb-dataset-eda-project,1774837595-2780a28d,2,0,new_code_call,606,423,1029
imdb-dataset-eda-project,1774837595-2780a28d,3,0,manager_decision,513,39,552
imdb-dataset-eda-project,1774837595-2780a28d,3,0,new_code_call,607,912,1519
imdb-dataset-eda-project,1774837595-2780a28d,4,0,manager_decision,524,29,553
imdb-dataset-eda-project,1774837595-2780a28d,4,0,new_code_call,618,1065,1683
imdb-dataset-eda-project,1774837595-2780a28d,4,1,manager_decision,2692,37,2729
imdb-dataset-eda-project,1774837595-2780a28d,4,1,repair_call,2660,1947,4607
imdb-dataset-eda-project,1774837595-2780a28d,4,2,manager_decision,2705,37,2742
imdb-dataset-eda-project,1774837595-2780a28d,4,2,repair_call,2673,1770,4443
imdb-dataset-eda-project,1774837595-2780a28d,4,3,manager_decision,3213,34,3247
imdb-dataset-eda-project,1774837595-2780a28d,4,3,repair_call,3181,6472,9653
imdb-dataset-eda-project,1774837595-2780a28d,4,4,manager_decision,3216,55,3271
imdb-dataset-eda-project,1774837595-2780a28d,4,4,new_code_call,618,2742,3360
imdb-dataset-eda-project,1774837595-2780a28d,5,0,manager_decision,492,35,527
imdb-dataset-eda-project,1774837595-2780a28d,5,0,new_code_call,586,363,949
imdb-dataset-eda-project,1774837595-2780a28d,6,0,manager_decision,555,65,620
imdb-dataset-eda-project,1774837595-2780a28d,6,0,new_code_call,649,795,1444
imdb-dataset-eda-project,1774837595-2780a28d,6,1,manager_decision,2713,37,2750
imdb-dataset-eda-project,1774837595-2780a28d,6,1,repair_call,2681,2606,5287
imdb-dataset-eda-project,1774837595-2780a28d,6,2,manager_decision,3201,39,3240
imdb-dataset-eda-project,1774837595-2780a28d,6,2,repair_call,3169,33616,36785
imdb-dataset-eda-project,1774837595-2780a28d,6,3,manager_decision,2722,55,2777
imdb-dataset-eda-project,1774837595-2780a28d,6,3,repair_call,2690,1866,4556
