benchmark_name,run_id,cell_index,try_number,category,elapsed_seconds
imdb-dataset-eda-project,1774837595-2780a28d,0,,original_execution,87.330576
imdb-dataset-eda-project,1774837595-2780a28d,0,0,agent_call,7.800274
imdb-dataset-eda-project,1774837595-2780a28d,1,,original_execution,126.337736
imdb-dataset-eda-project,1774837595-2780a28d,1,0,agent_call,7.511569
imdb-dataset-eda-project,1774837595-2780a28d,1,0,rewrite_execution,90.417703
imdb-dataset-eda-project,1774837595-2780a28d,1,0,cudf_profiling,7.242718
imdb-dataset-eda-project,1774837595-2780a28d,1,1,agent_call,1.069834
imdb-dataset-eda-project,1774837595-2780a28d,2,,original_execution,127.037407
imdb-dataset-eda-project,1774837595-2780a28d,2,0,agent_call,9.120717
imdb-dataset-eda-project,1774837595-2780a28d,3,,original_execution,126.536791
imdb-dataset-eda-project,1774837595-2780a28d,3,0,agent_call,14.823738
imdb-dataset-eda-project,1774837595-2780a28d,4,,original_execution,128.189542
imdb-dataset-eda-project,1774837595-2780a28d,4,0,agent_call,7.678473
imdb-dataset-eda-project,1774837595-2780a28d,4,1,agent_call,16.325804
imdb-dataset-eda-project,1774837595-2780a28d,4,2,agent_call,12.132972
imdb-dataset-eda-project,1774837595-2780a28d,4,2,total,104.152216
imdb-dataset-eda-project,1774837595-2780a28d,4,3,agent_call,64.043254
imdb-dataset-eda-project,1774837595-2780a28d,4,3,total,158.163603
imdb-dataset-eda-project,1774837595-2780a28d,4,4,agent_call,24.905468
imdb-dataset-eda-project,1774837595-2780a28d,4,4,total,119.094280
imdb-dataset-eda-project,1774837595-2780a28d,5,,original_execution,129.133627
imdb-dataset-eda-project,1774837595-2780a28d,5,0,agent_call,8.733763
imdb-dataset-eda-project,1774837595-2780a28d,6,,original_execution,129.507674
imdb-dataset-eda-project,1774837595-2780a28d,6,0,agent_call,14.255504
imdb-dataset-eda-project,1774837595-2780a28d,6,0,total,104.894330
imdb-dataset-eda-project,1774837595-2780a28d,6,1,agent_call,25.629799
imdb-dataset-eda-project,1774837595-2780a28d,6,1,total,118.422363
imdb-dataset-eda-project,1774837595-2780a28d,6,2,agent_call,307.190952
imdb-dataset-eda-project,1774837595-2780a28d,6,2,total,399.006730
imdb-dataset-eda-project,1774837595-2780a28d,6,3,agent_call,21.057155
