ground_truth_schedule,ground_truth_total_cost,cost_model_schedule,cost_model_total_cost,actual_time_for_cost_model_schedule,predicted_schedule,predicted_total_cost,actual_time_for_predicted_schedule,predicted_cost_model_schedule,predicted_cost_model_total_cost,actual_time_for_predicted_cost_model_schedule
cpu,958.924,cpu,957.143899930368,958.9239999999999,cpu,1023.00725,958.9239999999999,cpu,1021.227149930368,958.9239999999999
cpu,958.924,cpu,957.143899930368,958.9239999999999,cpu,1023.00725,958.9239999999999,cpu,1021.227149930368,958.9239999999999
cpu,958.924,cpu,957.143899930368,958.9239999999999,cpu,1023.00725,958.9239999999999,cpu,1021.227149930368,958.9239999999999
cpu,958.924,cpu,957.143899930368,958.9239999999999,cpu,1023.00725,958.9239999999999,cpu,1021.227149930368,958.9239999999999
cpu,958.924,cpu,957.143899930368,958.9239999999999,cpu,1023.00725,958.9239999999999,cpu,1021.227149930368,958.9239999999999
gpu,958.924,gpu,957.143899930368,958.9239999999999,gpu,1023.00725,958.9239999999999,gpu,1021.227149930368,958.9239999999999
gpu,958.924,gpu,957.143899930368,958.9239999999999,gpu,1023.00725,958.9239999999999,gpu,1021.227149930368,958.9239999999999
gpu,958.924,gpu,957.143899930368,958.9239999999999,gpu,1023.00725,958.9239999999999,gpu,1021.227149930368,958.9239999999999
gpu,958.924,gpu,957.143899930368,958.9239999999999,gpu,1023.00725,958.9239999999999,gpu,1021.227149930368,958.9239999999999
gpu,958.924,gpu,957.143899930368,958.9239999999999,gpu,1023.00725,958.9239999999999,gpu,1021.227149930368,958.9239999999999
gpu,958.924,gpu,957.143899930368,958.9239999999999,gpu,1023.00725,958.9239999999999,gpu,1021.227149930368,958.9239999999999
