cell_idx,df_name,df_col,cpu->gpu,cost-cpu->gpu,gpu->cpu,cost-gpu->cpu
0,df,gender,192.0,85.5641798432224,42.0,26.6907651985952
0,df,race/ethnicity,209.0,87.8577545588224,33.4,27.849573120195203
0,df,parental level of education,130.0,96.75528294892241,81.6,32.3449690237952
0,df,lunch,116.0,90.6838496768224,71.5,29.2774321681952
0,df,test preparation course,136.0,86.4447069998224,39.0,27.1356435961952
0,df,math score,3.82,2.6799666434560003,144.0,17.3515688
0,df,reading score,3.48,2.6799666434560003,12.7,17.3515688
0,df,writing score,3.25,2.6799666434560003,12.5,17.3515688
1,df,gender,127.0,85.5641798432224,27.6,26.6907651985952
1,df,race/ethnicity,163.0,87.8577545588224,33.6,27.849573120195203
1,df,parental level of education,193.0,96.75528294892241,48.6,32.3449690237952
1,df,lunch,166.0,90.6838496768224,47.8,29.2774321681952
1,df,test preparation course,182.0,86.4447069998224,32.4,27.1356435961952
1,df,math score,3.8,2.6799666434560003,13.0,17.3515688
1,df,reading score,3.44,2.6799666434560003,13.1,17.3515688
1,df,writing score,3.47,2.6799666434560003,12.2,17.3515688
2,df,gender,244.0,85.5641798432224,39.3,26.6907651985952
2,df,race/ethnicity,165.0,87.8577545588224,46.1,27.849573120195203
2,df,parental level of education,173.0,96.75528294892241,49.2,32.3449690237952
2,df,lunch,188.0,90.6838496768224,51.5,29.2774321681952
2,df,test preparation course,227.0,86.4447069998224,42.6,27.1356435961952
2,df,math score,3.24,2.6799666434560003,13.2,17.3515688
2,df,reading score,3.63,2.6799666434560003,19.0,17.3515688
2,df,writing score,3.38,2.6799666434560003,19.4,17.3515688
3,df,gender,176.0,85.5641798432224,32.9,26.6907651985952
3,df,race/ethnicity,188.0,87.8577545588224,28.7,27.849573120195203
3,df,parental level of education,134.0,96.75528294892241,41.5,32.3449690237952
3,df,lunch,127.0,90.6838496768224,42.0,29.2774321681952
3,df,test preparation course,142.0,86.4447069998224,45.4,27.1356435961952
3,df,math score,3.61,2.6799666434560003,20.0,17.3515688
3,df,reading score,3.46,2.6799666434560003,19.6,17.3515688
3,df,writing score,3.33,2.6799666434560003,29.6,17.3515688
4,df,gender,191.0,85.5641798432224,28.9,26.6907651985952
4,df,race/ethnicity,149.0,87.8577545588224,31.3,27.849573120195203
4,df,parental level of education,187.0,96.75528294892241,47.9,32.3449690237952
4,df,lunch,132.0,90.6838496768224,52.0,29.2774321681952
4,df,test preparation course,155.0,86.4447069998224,56.4,27.1356435961952
4,df,math score,3.25,2.6799666434560003,32.8,17.3515688
4,df,reading score,3.57,2.6799666434560003,12.2,17.3515688
4,df,writing score,3.71,2.6799666434560003,12.2,17.3515688
5,df,math score,2.93,2.6799666434560003,13.6,17.3515688
5,df,Math_PassStatus,112.0,80.85090715882241,28.7,24.3094267201952
6,df,reading score,3.11,2.6799666434560003,11.1,17.3515688
6,df,Reading_PassStatus,126.0,80.85090715882241,26.0,24.3094267201952
7,df,writing score,3.78,2.6799666434560003,16.7,17.3515688
7,df,Writing_PassStatus,123.0,80.85090715882241,29.1,24.3094267201952
8,df,Math_PassStatus,115.0,80.85090715882241,30.3,24.3094267201952
8,df,Reading_PassStatus,113.0,80.85090715882241,37.6,24.3094267201952
8,df,Writing_PassStatus,116.0,80.85090715882241,27.4,24.3094267201952
8,df,OverAll_PassStatus,144.0,80.85090715882241,25.8,24.3094267201952
9,df,writing score,3.46,2.6799666434560003,15.0,17.3515688
9,df,math score,3.23,2.6799666434560003,16.4,17.3515688
9,df,reading score,3.11,2.6799666434560003,10.8,17.3515688
9,df,Percentage,11.1,10.292833767372802,18.2,21.781342400000003
9,df,Total_Marks,3.45,2.6799666434560003,18.7,17.3515688
10,df,Percentage,14.7,10.292833767372802,16.3,21.781342400000003
10,df,OverAll_PassStatus,151.0,80.85090715882241,25.5,24.3094267201952
10,df,Grade,111.0,80.85090715882241,30.9,24.3094267201952
