df_col,cpu->gpu,cost-cpu->gpu,gpu->cpu,cost-gpu->cpu
gender,1.71,1.1765531987432,13.1,6.992332128799999
race/ethnicity,1.57,1.1785926827264002,6.08,7.03492140988
parental level of education,1.48,1.1865045098486,5.78,7.200139196309999
lunch,1.74,1.1811056925224002,5.68,7.08739903728
test preparation course,1.46,1.1773361778284002,6.22,7.00868259618
math score,1.15,0.6070811861823999,5.86,2.4789443695822
reading score,1.38,0.6070811861823999,5.93,2.4789903892918
writing score,0.878,0.6070811861823999,6.09,2.4789788843644
gender,1.4,1.1765531987432,5.69,6.992332128799999
race/ethnicity,1.08,1.1785926827264002,5.73,7.03492140988
parental level of education,1.42,1.1865045098486,5.96,7.200139196309999
lunch,1.43,1.1811056925224002,5.52,7.08739903728
test preparation course,1.05,1.1773361778284002,5.66,7.00868259618
math score,0.726,0.6070811861823999,5.53,2.4789443695822
reading score,1.42,0.6070811861823999,5.51,2.4789903892918
writing score,0.8320000000000001,0.6070811861823999,5.09,2.4789788843644
gender,90.9,73.83974961679999,388.0,376.22153565988
race/ethnicity,87.9,75.87923359999999,359.0,418.81081673988
parental level of education,92.8,83.79106072219999,397.0,584.0286031698801
lunch,82.8,78.392243396,364.0,471.28844413987997
test preparation course,102.0,74.622728702,340.0,392.57200303988003
math score,6.71,4.5050728,343.0,56.1647514189032
reading score,6.43,4.5050728,360.0,56.210771128503204
writing score,5.49,4.5050728,330.0,56.1992662011032
gender,83.1,73.83974961679999,332.0,376.22153565988
race/ethnicity,75.2,75.87923359999999,350.0,418.81081673988
parental level of education,87.3,83.79106072219999,356.0,584.0286031698801
lunch,80.9,78.392243396,371.0,471.28844413987997
test preparation course,82.0,74.622728702,368.0,392.57200303988003
math score,6.05,4.5050728,330.0,56.1647514189032
reading score,5.36,4.5050728,327.0,56.210771128503204
writing score,5.53,4.5050728,328.0,56.1992662011032
gender,74.1,73.83974961679999,341.0,376.22153565988
race/ethnicity,119.0,75.87923359999999,339.0,418.81081673988
parental level of education,83.8,83.79106072219999,374.0,584.0286031698801
lunch,78.6,78.392243396,343.0,471.28844413987997
test preparation course,82.3,74.622728702,358.0,392.57200303988003
math score,5.9,4.5050728,347.0,56.1647514189032
reading score,5.42,4.5050728,329.0,56.210771128503204
writing score,5.74,4.5050728,359.0,56.1992662011032
gender,118.0,73.83974961679999,333.0,376.22153565988
race/ethnicity,113.0,75.87923359999999,356.0,418.81081673988
parental level of education,96.9,83.79106072219999,356.0,584.0286031698801
lunch,79.1,78.392243396,355.0,471.28844413987997
test preparation course,86.5,74.622728702,352.0,392.57200303988003
math score,5.84,4.5050728,330.0,56.1647514189032
reading score,6.59,4.5050728,337.0,56.210771128503204
writing score,6.25,4.5050728,344.0,56.1992662011032
math score,4.62,4.5050728,342.0,56.1647514189032
Math_PassStatus,88.0,69.64863079999999,328.0,288.70099673988
reading score,4.66,4.5050728,343.0,56.210771128503204
Reading_PassStatus,69.4,69.64863079999999,333.0,288.70099673988
writing score,4.36,4.5050728,328.0,56.1992662011032
Writing_PassStatus,71.6,69.64863079999999,329.0,288.70099673988
Writing_PassStatus,70.4,69.64863079999999,325.0,288.70099673988
Reading_PassStatus,71.4,69.64863079999999,342.0,288.70099673988
Math_PassStatus,72.2,69.64863079999999,331.0,288.70099673988
OverAll_PassStatus,70.0,69.64863079999999,333.0,288.70099673988
reading score,4.21,4.5050728,48.0,63.8155128
math score,5.18,4.5050728,43.3,63.8155128
writing score,5.08,4.5050728,47.9,63.8155128
Percentage,6.18,6.9692184,44.0,62.076584
Total_Marks,5.4,4.5050728,51.8,63.8155128
Percentage,5.38,6.9692184,43.3,62.076584
OverAll_PassStatus,77.0,69.64863079999999,324.0,288.70099673988
Grade,70.1,69.64863079999999,324.0,288.70099673988
