benchmark_name,run_id,cell_index,try_number,category,prompt_tokens,response_tokens,total_tokens
imdb,1774866783-f9a9647d,0,0,manager_decision,520,65,585
imdb,1774866783-f9a9647d,0,0,new_code_call,614,1912,2526
imdb,1774866783-f9a9647d,1,0,manager_decision,458,31,489
imdb,1774866783-f9a9647d,2,0,manager_decision,745,30,775
imdb,1774866783-f9a9647d,2,0,new_code_call,839,2947,3786
imdb,1774866783-f9a9647d,2,1,manager_decision,2895,55,2950
imdb,1774866783-f9a9647d,2,1,repair_call,2863,1824,4687
imdb,1774866783-f9a9647d,2,2,manager_decision,1111,61,1172
imdb,1774866783-f9a9647d,2,2,optimizer_call,839,4580,5419
imdb,1774866783-f9a9647d,2,3,manager_decision,2712,50,2762
imdb,1774866783-f9a9647d,2,3,repair_call,2680,8898,11578
imdb,1774866783-f9a9647d,2,4,manager_decision,1331,43,1374
imdb,1774866783-f9a9647d,2,4,new_code_call,839,2517,3356
imdb,1774866783-f9a9647d,3,0,manager_decision,459,36,495
imdb,1774866783-f9a9647d,4,0,manager_decision,593,39,632
imdb,1774866783-f9a9647d,4,0,new_code_call,687,1228,1915
imdb,1774866783-f9a9647d,4,1,manager_decision,1859,45,1904
imdb,1774866783-f9a9647d,4,1,repair_call,1827,1760,3587
imdb,1774866783-f9a9647d,4,2,manager_decision,784,40,824
imdb,1774866783-f9a9647d,4,2,optimizer_call,668,5476,6144
imdb,1774866783-f9a9647d,4,3,manager_decision,1451,63,1514
imdb,1774866783-f9a9647d,4,3,repair_call,1419,4221,5640
imdb,1774866783-f9a9647d,4,4,manager_decision,759,64,823
imdb,1774866783-f9a9647d,5,0,manager_decision,521,31,552
imdb,1774866783-f9a9647d,5,0,new_code_call,615,769,1384
imdb,1774866783-f9a9647d,5,1,manager_decision,666,50,716
imdb,1774866783-f9a9647d,5,1,optimizer_call,618,1134,1752
imdb,1774866783-f9a9647d,5,2,manager_decision,658,40,698
imdb,1774866783-f9a9647d,5,2,optimizer_call,610,1353,1963
imdb,1774866783-f9a9647d,5,3,manager_decision,665,60,725
imdb,1774866783-f9a9647d,5,3,optimizer_call,617,9885,10502
imdb,1774866783-f9a9647d,5,4,manager_decision,658,46,704
imdb,1774866783-f9a9647d,6,0,manager_decision,553,41,594
imdb,1774866783-f9a9647d,6,0,new_code_call,647,1380,2027
imdb,1774866783-f9a9647d,6,1,manager_decision,1563,32,1595
imdb,1774866783-f9a9647d,6,1,repair_call,1531,3642,5173
imdb,1774866783-f9a9647d,6,2,manager_decision,1587,39,1626
imdb,1774866783-f9a9647d,6,2,repair_call,1555,5792,7347
imdb,1774866783-f9a9647d,6,3,manager_decision,1581,46,1627
imdb,1774866783-f9a9647d,6,3,repair_call,1549,5263,6812
imdb,1774866783-f9a9647d,6,4,manager_decision,775,47,822
imdb,1774866783-f9a9647d,7,0,manager_decision,630,49,679
imdb,1774866783-f9a9647d,7,0,new_code_call,724,2071,2795
imdb,1774866783-f9a9647d,7,1,manager_decision,883,38,921
imdb,1774866783-f9a9647d,7,1,new_code_call,724,4704,5428
imdb,1774866783-f9a9647d,7,2,manager_decision,911,32,943
imdb,1774866783-f9a9647d,7,2,new_code_call,724,1564,2288
imdb,1774866783-f9a9647d,7,3,manager_decision,872,53,925
imdb,1774866783-f9a9647d,7,3,optimizer_call,715,1612,2327
imdb,1774866783-f9a9647d,7,4,manager_decision,850,41,891
imdb,1774866783-f9a9647d,8,0,manager_decision,616,34,650
imdb,1774866783-f9a9647d,8,0,new_code_call,710,574,1284
imdb,1774866783-f9a9647d,8,1,manager_decision,793,34,827
imdb,1774866783-f9a9647d,8,1,optimizer_call,650,2123,2773
imdb,1774866783-f9a9647d,8,2,manager_decision,1758,37,1795
imdb,1774866783-f9a9647d,8,2,repair_call,1726,5584,7310
imdb,1774866783-f9a9647d,8,3,manager_decision,820,45,865
imdb,1774866783-f9a9647d,8,3,optimizer_call,677,2120,2797
imdb,1774866783-f9a9647d,8,4,manager_decision,787,53,840
imdb,1774866783-f9a9647d,9,0,manager_decision,620,52,672
imdb,1774866783-f9a9647d,9,0,new_code_call,714,2594,3308
imdb,1774866783-f9a9647d,9,1,manager_decision,797,35,832
imdb,1774866783-f9a9647d,9,1,optimizer_call,650,2685,3335
imdb,1774866783-f9a9647d,9,2,manager_decision,1889,34,1923
imdb,1774866783-f9a9647d,9,2,repair_call,1857,5142,6999
imdb,1774866783-f9a9647d,9,3,manager_decision,863,49,912
imdb,1774866783-f9a9647d,9,3,optimizer_call,716,2844,3560
imdb,1774866783-f9a9647d,9,4,manager_decision,878,47,925
imdb,1774866783-f9a9647d,10,0,manager_decision,651,40,691
imdb,1774866783-f9a9647d,10,0,new_code_call,745,2914,3659
imdb,1774866783-f9a9647d,10,1,manager_decision,906,58,964
imdb,1774866783-f9a9647d,10,1,optimizer_call,732,4622,5354
imdb,1774866783-f9a9647d,10,2,manager_decision,967,57,1024
imdb,1774866783-f9a9647d,10,2,optimizer_call,793,6638,7431
imdb,1774866783-f9a9647d,10,3,manager_decision,1636,33,1669
imdb,1774866783-f9a9647d,10,3,repair_call,1604,6351,7955
imdb,1774866783-f9a9647d,10,4,manager_decision,965,74,1039
imdb,1774866783-f9a9647d,11,0,manager_decision,559,34,593
imdb,1774866783-f9a9647d,11,0,new_code_call,653,7544,8197
imdb,1774866783-f9a9647d,11,1,manager_decision,734,53,787
imdb,1774866783-f9a9647d,11,1,optimizer_call,648,2012,2660
imdb,1774866783-f9a9647d,11,2,manager_decision,739,41,780
imdb,1774866783-f9a9647d,11,2,optimizer_call,653,1512,2165
imdb,1774866783-f9a9647d,12,0,manager_decision,516,49,565
imdb,1774866783-f9a9647d,12,0,new_code_call,610,513,1123
imdb,1774866783-f9a9647d,12,1,manager_decision,602,41,643
imdb,1774866783-f9a9647d,12,1,new_code_call,610,1195,1805
imdb,1774866783-f9a9647d,12,2,manager_decision,602,51,653
imdb,1774866783-f9a9647d,12,2,new_code_call,610,1243,1853
imdb,1774866783-f9a9647d,12,3,manager_decision,602,39,641
imdb,1774866783-f9a9647d,12,3,new_code_call,610,613,1223
imdb,1774866783-f9a9647d,12,4,manager_decision,602,47,649
imdb,1774866783-f9a9647d,13,0,manager_decision,487,33,520
imdb,1774866783-f9a9647d,14,0,manager_decision,501,30,531
imdb,1774866783-f9a9647d,14,0,new_code_call,595,1670,2265
imdb,1774866783-f9a9647d,14,1,manager_decision,636,33,669
imdb,1774866783-f9a9647d,14,1,optimizer_call,606,916,1522
imdb,1774866783-f9a9647d,14,2,manager_decision,625,39,664
imdb,1774866783-f9a9647d,14,2,new_code_call,595,4141,4736
