benchmark_name,run_id,cell_index,try_number,category,elapsed_seconds
imdb,1774866783-f9a9647d,0,,original_execution,17.032158
imdb,1774866783-f9a9647d,0,0,agent_call,22.031243
imdb,1774866783-f9a9647d,1,,original_execution,16.035370
imdb,1774866783-f9a9647d,1,0,agent_call,0.926072
imdb,1774866783-f9a9647d,2,,original_execution,16.044770
imdb,1774866783-f9a9647d,2,0,agent_call,23.882133
imdb,1774866783-f9a9647d,2,1,agent_call,16.388973
imdb,1774866783-f9a9647d,2,1,rewrite_execution,14.705389
imdb,1774866783-f9a9647d,2,1,cudf_profiling,13.031778
imdb,1774866783-f9a9647d,2,2,agent_call,33.509159
imdb,1774866783-f9a9647d,2,3,agent_call,70.404272
imdb,1774866783-f9a9647d,2,4,agent_call,24.567555
imdb,1774866783-f9a9647d,3,,original_execution,14.966533
imdb,1774866783-f9a9647d,3,0,agent_call,1.098025
imdb,1774866783-f9a9647d,4,,original_execution,16.045794
imdb,1774866783-f9a9647d,4,0,agent_call,19.525206
imdb,1774866783-f9a9647d,4,1,agent_call,23.442011
imdb,1774866783-f9a9647d,4,1,rewrite_execution,14.775705
imdb,1774866783-f9a9647d,4,1,cudf_profiling,11.915827
imdb,1774866783-f9a9647d,4,2,agent_call,62.167421
imdb,1774866783-f9a9647d,4,3,agent_call,40.664669
imdb,1774866783-f9a9647d,4,3,rewrite_execution,16.033647
imdb,1774866783-f9a9647d,4,3,cudf_profiling,11.992845
imdb,1774866783-f9a9647d,4,4,agent_call,1.388710
imdb,1774866783-f9a9647d,5,,original_execution,16.040123
imdb,1774866783-f9a9647d,5,0,agent_call,9.559448
imdb,1774866783-f9a9647d,5,0,rewrite_execution,14.801121
imdb,1774866783-f9a9647d,5,0,cudf_profiling,11.912760
imdb,1774866783-f9a9647d,5,1,agent_call,16.809014
imdb,1774866783-f9a9647d,5,1,rewrite_execution,15.036125
imdb,1774866783-f9a9647d,5,1,cudf_profiling,11.964725
imdb,1774866783-f9a9647d,5,2,agent_call,15.829228
imdb,1774866783-f9a9647d,5,2,rewrite_execution,15.034852
imdb,1774866783-f9a9647d,5,2,cudf_profiling,13.033597
imdb,1774866783-f9a9647d,5,3,agent_call,94.915276
imdb,1774866783-f9a9647d,5,3,rewrite_execution,15.037287
imdb,1774866783-f9a9647d,5,3,cudf_profiling,13.035064
imdb,1774866783-f9a9647d,5,4,agent_call,1.494644
imdb,1774866783-f9a9647d,6,,original_execution,16.042286
imdb,1774866783-f9a9647d,6,0,agent_call,15.026194
imdb,1774866783-f9a9647d,6,1,agent_call,36.547179
imdb,1774866783-f9a9647d,6,2,agent_call,76.979478
imdb,1774866783-f9a9647d,6,3,agent_call,57.432283
imdb,1774866783-f9a9647d,6,3,rewrite_execution,14.680863
imdb,1774866783-f9a9647d,6,3,cudf_profiling,13.030862
imdb,1774866783-f9a9647d,6,4,agent_call,1.425800
imdb,1774866783-f9a9647d,7,,original_execution,16.041551
imdb,1774866783-f9a9647d,7,0,agent_call,18.918468
imdb,1774866783-f9a9647d,7,0,rewrite_execution,16.035666
imdb,1774866783-f9a9647d,7,0,cudf_profiling,13.032005
imdb,1774866783-f9a9647d,7,1,agent_call,41.584952
imdb,1774866783-f9a9647d,7,1,rewrite_execution,14.806916
imdb,1774866783-f9a9647d,7,1,cudf_profiling,13.031646
imdb,1774866783-f9a9647d,7,2,agent_call,14.499456
imdb,1774866783-f9a9647d,7,2,rewrite_execution,16.032928
imdb,1774866783-f9a9647d,7,2,cudf_profiling,11.989378
imdb,1774866783-f9a9647d,7,3,agent_call,14.870482
imdb,1774866783-f9a9647d,7,3,rewrite_execution,16.038431
imdb,1774866783-f9a9647d,7,3,cudf_profiling,13.032852
imdb,1774866783-f9a9647d,7,4,agent_call,0.986397
imdb,1774866783-f9a9647d,8,,original_execution,17.040987
imdb,1774866783-f9a9647d,8,0,agent_call,6.708484
imdb,1774866783-f9a9647d,8,0,rewrite_execution,15.672692
imdb,1774866783-f9a9647d,8,0,cudf_profiling,13.035899
imdb,1774866783-f9a9647d,8,1,agent_call,24.124014
imdb,1774866783-f9a9647d,8,2,agent_call,51.297967
imdb,1774866783-f9a9647d,8,2,rewrite_execution,16.036115
imdb,1774866783-f9a9647d,8,2,cudf_profiling,11.924410
imdb,1774866783-f9a9647d,8,3,agent_call,26.295647
imdb,1774866783-f9a9647d,8,3,rewrite_execution,16.035040
imdb,1774866783-f9a9647d,8,3,cudf_profiling,13.034281
imdb,1774866783-f9a9647d,8,4,agent_call,1.315888
imdb,1774866783-f9a9647d,9,,original_execution,19.043552
imdb,1774866783-f9a9647d,9,0,agent_call,25.852214
imdb,1774866783-f9a9647d,9,0,rewrite_execution,15.726005
imdb,1774866783-f9a9647d,9,0,cudf_profiling,11.877922
imdb,1774866783-f9a9647d,9,1,agent_call,29.661485
imdb,1774866783-f9a9647d,9,2,agent_call,55.239981
imdb,1774866783-f9a9647d,9,2,rewrite_execution,15.984779
imdb,1774866783-f9a9647d,9,2,cudf_profiling,13.032817
imdb,1774866783-f9a9647d,9,3,agent_call,29.435892
imdb,1774866783-f9a9647d,9,3,rewrite_execution,15.849020
imdb,1774866783-f9a9647d,9,3,cudf_profiling,11.939519
imdb,1774866783-f9a9647d,9,4,agent_call,1.838773
imdb,1774866783-f9a9647d,10,,original_execution,19.041994
imdb,1774866783-f9a9647d,10,0,agent_call,26.853317
imdb,1774866783-f9a9647d,10,0,rewrite_execution,17.033561
imdb,1774866783-f9a9647d,10,0,cudf_profiling,12.031733
imdb,1774866783-f9a9647d,10,1,agent_call,44.725656
imdb,1774866783-f9a9647d,10,1,rewrite_execution,17.037914
imdb,1774866783-f9a9647d,10,1,cudf_profiling,13.032545
imdb,1774866783-f9a9647d,10,2,agent_call,59.004575
imdb,1774866783-f9a9647d,10,3,agent_call,52.823672
imdb,1774866783-f9a9647d,10,3,rewrite_execution,17.038041
imdb,1774866783-f9a9647d,10,3,cudf_profiling,13.032552
imdb,1774866783-f9a9647d,10,4,agent_call,1.665268
imdb,1774866783-f9a9647d,11,,original_execution,19.043661
imdb,1774866783-f9a9647d,11,0,agent_call,56.607548
imdb,1774866783-f9a9647d,11,0,rewrite_execution,17.037112
imdb,1774866783-f9a9647d,11,0,cudf_profiling,11.922351
imdb,1774866783-f9a9647d,11,1,agent_call,25.125377
imdb,1774866783-f9a9647d,11,1,rewrite_execution,17.033851
imdb,1774866783-f9a9647d,11,1,cudf_profiling,11.904831
imdb,1774866783-f9a9647d,11,2,agent_call,18.391290
imdb,1774866783-f9a9647d,12,,original_execution,18.699215
imdb,1774866783-f9a9647d,12,0,agent_call,9.318827
imdb,1774866783-f9a9647d,12,0,rewrite_execution,17.036222
imdb,1774866783-f9a9647d,12,0,cudf_profiling,13.033870
imdb,1774866783-f9a9647d,12,1,agent_call,15.630509
imdb,1774866783-f9a9647d,12,1,rewrite_execution,17.036314
imdb,1774866783-f9a9647d,12,1,cudf_profiling,11.830298
imdb,1774866783-f9a9647d,12,2,agent_call,20.298405
imdb,1774866783-f9a9647d,12,2,rewrite_execution,17.038263
imdb,1774866783-f9a9647d,12,2,cudf_profiling,11.998394
imdb,1774866783-f9a9647d,12,3,agent_call,10.570295
imdb,1774866783-f9a9647d,12,3,rewrite_execution,17.033046
imdb,1774866783-f9a9647d,12,3,cudf_profiling,13.031984
imdb,1774866783-f9a9647d,12,4,agent_call,1.094159
imdb,1774866783-f9a9647d,13,,original_execution,18.715695
imdb,1774866783-f9a9647d,13,0,agent_call,0.872827
imdb,1774866783-f9a9647d,14,,original_execution,18.685076
imdb,1774866783-f9a9647d,14,0,agent_call,18.762945
imdb,1774866783-f9a9647d,14,0,rewrite_execution,16.968380
imdb,1774866783-f9a9647d,14,0,cudf_profiling,11.962303
imdb,1774866783-f9a9647d,14,1,agent_call,10.610356
imdb,1774866783-f9a9647d,14,1,rewrite_execution,16.967206
imdb,1774866783-f9a9647d,14,1,cudf_profiling,11.992451
imdb,1774866783-f9a9647d,14,2,agent_call,36.879548
