ground_truth_schedule,ground_truth_total_cost,cost_model_schedule,cost_model_total_cost,actual_time_for_cost_model_schedule,predicted_schedule,predicted_total_cost,actual_time_for_predicted_schedule,predicted_cost_model_schedule,predicted_cost_model_total_cost,actual_time_for_predicted_cost_model_schedule
gpu,1178.5606000000002,gpu,1119.8802222014901,1181.4206000000001,gpu,1193.26207,1178.5606,gpu,1136.8144141986581,1178.5606
gpu,1178.5606000000002,gpu,1119.8802222014901,1181.4206000000001,gpu,1193.26207,1178.5606,gpu,1136.8144141986581,1178.5606
gpu,1178.5606000000002,gpu,1119.8802222014901,1181.4206000000001,gpu,1193.26207,1178.5606,gpu,1136.8144141986581,1178.5606
gpu,1178.5606000000002,gpu,1119.8802222014901,1181.4206000000001,gpu,1193.26207,1178.5606,gpu,1136.8144141986581,1178.5606
gpu,1178.5606000000002,gpu,1119.8802222014901,1181.4206000000001,gpu,1193.26207,1178.5606,gpu,1136.8144141986581,1178.5606
gpu,1178.5606000000002,gpu,1119.8802222014901,1181.4206000000001,gpu,1193.26207,1178.5606,gpu,1136.8144141986581,1178.5606
gpu,1178.5606000000002,gpu,1119.8802222014901,1181.4206000000001,gpu,1193.26207,1178.5606,gpu,1136.8144141986581,1178.5606
gpu,1178.5606000000002,gpu,1119.8802222014901,1181.4206000000001,gpu,1193.26207,1178.5606,gpu,1136.8144141986581,1178.5606
cpu,1178.5606000000002,cpu,1119.8802222014901,1181.4206000000001,cpu,1193.26207,1178.5606,cpu,1136.8144141986581,1178.5606
cpu,1178.5606000000002,cpu,1119.8802222014901,1181.4206000000001,cpu,1193.26207,1178.5606,cpu,1136.8144141986581,1178.5606
cpu,1178.5606000000002,cpu,1119.8802222014901,1181.4206000000001,cpu,1193.26207,1178.5606,cpu,1136.8144141986581,1178.5606
cpu,1178.5606000000002,cpu,1119.8802222014901,1181.4206000000001,cpu,1193.26207,1178.5606,cpu,1136.8144141986581,1178.5606
gpu,1178.5606000000002,gpu,1119.8802222014901,1181.4206000000001,gpu,1193.26207,1178.5606,gpu,1136.8144141986581,1178.5606
gpu,1178.5606000000002,gpu,1119.8802222014901,1181.4206000000001,gpu,1193.26207,1178.5606,gpu,1136.8144141986581,1178.5606
gpu,1178.5606000000002,gpu,1119.8802222014901,1181.4206000000001,gpu,1193.26207,1178.5606,gpu,1136.8144141986581,1178.5606
gpu,1178.5606000000002,gpu,1119.8802222014901,1181.4206000000001,gpu,1193.26207,1178.5606,gpu,1136.8144141986581,1178.5606
cpu,1178.5606000000002,cpu,1119.8802222014901,1181.4206000000001,cpu,1193.26207,1178.5606,cpu,1136.8144141986581,1178.5606
cpu,1178.5606000000002,cpu,1119.8802222014901,1181.4206000000001,cpu,1193.26207,1178.5606,cpu,1136.8144141986581,1178.5606
cpu,1178.5606000000002,gpu,1119.8802222014901,1181.4206000000001,cpu,1193.26207,1178.5606,cpu,1136.8144141986581,1178.5606
