benchmark_name,run_id,cell_index,try_number,category,prompt_tokens,response_tokens,total_tokens
nyc-flight,1774861441-d28336fd,0,0,manager_decision,538,33,571
nyc-flight,1774861441-d28336fd,0,0,new_code_call,632,815,1447
nyc-flight,1774861441-d28336fd,1,0,manager_decision,500,24,524
nyc-flight,1774861441-d28336fd,2,0,manager_decision,514,45,559
nyc-flight,1774861441-d28336fd,3,0,manager_decision,552,50,602
nyc-flight,1774861441-d28336fd,3,0,new_code_call,646,1510,2156
nyc-flight,1774861441-d28336fd,3,1,manager_decision,5477,43,5520
nyc-flight,1774861441-d28336fd,3,1,repair_call,5445,2688,8133
nyc-flight,1774861441-d28336fd,3,2,manager_decision,712,45,757
nyc-flight,1774861441-d28336fd,3,2,optimizer_call,639,917,1556
nyc-flight,1774861441-d28336fd,3,3,manager_decision,5565,38,5603
nyc-flight,1774861441-d28336fd,3,3,repair_call,5533,4721,10254
nyc-flight,1774861441-d28336fd,3,4,manager_decision,715,55,770
nyc-flight,1774861441-d28336fd,4,0,manager_decision,552,46,598
nyc-flight,1774861441-d28336fd,4,0,new_code_call,646,626,1272
nyc-flight,1774861441-d28336fd,4,1,manager_decision,734,37,771
nyc-flight,1774861441-d28336fd,4,1,optimizer_call,661,4667,5328
nyc-flight,1774861441-d28336fd,4,2,manager_decision,732,34,766
nyc-flight,1774861441-d28336fd,4,2,optimizer_call,659,1303,1962
nyc-flight,1774861441-d28336fd,4,3,manager_decision,718,46,764
nyc-flight,1774861441-d28336fd,4,3,new_code_call,646,611,1257
nyc-flight,1774861441-d28336fd,4,4,manager_decision,730,45,775
nyc-flight,1774861441-d28336fd,5,0,manager_decision,534,35,569
nyc-flight,1774861441-d28336fd,5,0,new_code_call,628,854,1482
nyc-flight,1774861441-d28336fd,5,1,manager_decision,1390,53,1443
nyc-flight,1774861441-d28336fd,5,1,repair_call,1358,2334,3692
nyc-flight,1774861441-d28336fd,5,2,manager_decision,702,71,773
nyc-flight,1774861441-d28336fd,5,2,optimizer_call,647,2085,2732
nyc-flight,1774861441-d28336fd,5,3,manager_decision,670,33,703
nyc-flight,1774861441-d28336fd,5,3,new_code_call,628,1083,1711
nyc-flight,1774861441-d28336fd,5,4,manager_decision,1446,44,1490
nyc-flight,1774861441-d28336fd,5,4,new_code_call,628,651,1279
nyc-flight,1774861441-d28336fd,6,0,manager_decision,520,40,560
nyc-flight,1774861441-d28336fd,6,0,new_code_call,614,532,1146
nyc-flight,1774861441-d28336fd,6,1,manager_decision,669,82,751
nyc-flight,1774861441-d28336fd,6,1,optimizer_call,628,1816,2444
nyc-flight,1774861441-d28336fd,6,2,manager_decision,655,45,700
nyc-flight,1774861441-d28336fd,6,2,new_code_call,614,639,1253
nyc-flight,1774861441-d28336fd,6,3,manager_decision,669,38,707
nyc-flight,1774861441-d28336fd,6,3,optimizer_call,628,3251,3879
nyc-flight,1774861441-d28336fd,6,4,manager_decision,652,47,699
nyc-flight,1774861441-d28336fd,7,0,manager_decision,613,42,655
nyc-flight,1774861441-d28336fd,7,0,new_code_call,707,6347,7054
nyc-flight,1774861441-d28336fd,7,1,manager_decision,818,49,867
nyc-flight,1774861441-d28336fd,7,1,optimizer_call,684,3795,4479
nyc-flight,1774861441-d28336fd,7,2,manager_decision,820,48,868
nyc-flight,1774861441-d28336fd,7,2,optimizer_call,686,3629,4315
nyc-flight,1774861441-d28336fd,7,3,manager_decision,805,65,870
nyc-flight,1774861441-d28336fd,7,3,optimizer_call,671,3933,4604
nyc-flight,1774861441-d28336fd,7,4,manager_decision,1563,46,1609
nyc-flight,1774861441-d28336fd,7,4,new_code_call,707,3034,3741
nyc-flight,1774861441-d28336fd,8,0,manager_decision,600,42,642
nyc-flight,1774861441-d28336fd,8,0,new_code_call,694,1736,2430
nyc-flight,1774861441-d28336fd,8,1,manager_decision,1552,31,1583
nyc-flight,1774861441-d28336fd,8,1,repair_call,1520,877,2397
nyc-flight,1774861441-d28336fd,8,2,manager_decision,1602,32,1634
nyc-flight,1774861441-d28336fd,8,2,repair_call,1570,1070,2640
nyc-flight,1774861441-d28336fd,8,3,manager_decision,2515,40,2555
nyc-flight,1774861441-d28336fd,8,3,repair_call,2483,5435,7918
nyc-flight,1774861441-d28336fd,8,4,manager_decision,5717,37,5754
nyc-flight,1774861441-d28336fd,8,4,repair_call,5685,20723,26408
nyc-flight,1774861441-d28336fd,9,0,manager_decision,466,58,524
nyc-flight,1774861441-d28336fd,9,0,new_code_call,560,200,760
nyc-flight,1774861441-d28336fd,10,0,manager_decision,621,45,666
nyc-flight,1774861441-d28336fd,10,0,new_code_call,715,781,1496
nyc-flight,1774861441-d28336fd,10,1,manager_decision,1824,47,1871
nyc-flight,1774861441-d28336fd,10,1,repair_call,1792,8578,10370
nyc-flight,1774861441-d28336fd,10,2,manager_decision,1821,48,1869
nyc-flight,1774861441-d28336fd,10,2,repair_call,1789,15200,16989
nyc-flight,1774861441-d28336fd,10,3,manager_decision,1853,37,1890
nyc-flight,1774861441-d28336fd,10,3,repair_call,1821,7491,9312
nyc-flight,1774861441-d28336fd,10,4,manager_decision,1914,53,1967
nyc-flight,1774861441-d28336fd,10,4,new_code_call,715,1236,1951
nyc-flight,1774861441-d28336fd,11,0,manager_decision,556,51,607
nyc-flight,1774861441-d28336fd,11,0,new_code_call,650,972,1622
nyc-flight,1774861441-d28336fd,11,1,manager_decision,705,56,761
nyc-flight,1774861441-d28336fd,11,1,optimizer_call,628,2762,3390
nyc-flight,1774861441-d28336fd,11,2,manager_decision,1801,54,1855
nyc-flight,1774861441-d28336fd,11,2,repair_call,1769,4470,6239
nyc-flight,1774861441-d28336fd,11,3,manager_decision,725,75,800
nyc-flight,1774861441-d28336fd,11,3,optimizer_call,648,1090,1738
nyc-flight,1774861441-d28336fd,11,4,manager_decision,1822,44,1866
nyc-flight,1774861441-d28336fd,11,4,new_code_call,650,633,1283
nyc-flight,1774861441-d28336fd,12,0,manager_decision,556,63,619
nyc-flight,1774861441-d28336fd,12,0,new_code_call,650,1448,2098
nyc-flight,1774861441-d28336fd,12,1,manager_decision,1735,58,1793
nyc-flight,1774861441-d28336fd,12,1,new_code_call,650,2308,2958
nyc-flight,1774861441-d28336fd,12,2,manager_decision,720,47,767
nyc-flight,1774861441-d28336fd,12,2,optimizer_call,643,2051,2694
nyc-flight,1774861441-d28336fd,12,3,manager_decision,721,38,759
nyc-flight,1774861441-d28336fd,12,3,optimizer_call,644,1164,1808
nyc-flight,1774861441-d28336fd,12,4,manager_decision,719,42,761
nyc-flight,1774861441-d28336fd,13,0,manager_decision,577,55,632
nyc-flight,1774861441-d28336fd,13,0,new_code_call,671,2279,2950
nyc-flight,1774861441-d28336fd,13,1,manager_decision,1824,36,1860
nyc-flight,1774861441-d28336fd,13,1,repair_call,1792,6887,8679
nyc-flight,1774861441-d28336fd,13,2,manager_decision,1844,49,1893
nyc-flight,1774861441-d28336fd,13,2,repair_call,1812,5558,7370
nyc-flight,1774861441-d28336fd,13,3,manager_decision,1836,37,1873
nyc-flight,1774861441-d28336fd,13,3,repair_call,1804,11799,13603
nyc-flight,1774861441-d28336fd,13,4,manager_decision,1834,37,1871
nyc-flight,1774861441-d28336fd,13,4,new_code_call,671,4468,5139
nyc-flight,1774861441-d28336fd,14,0,manager_decision,626,31,657
nyc-flight,1774861441-d28336fd,14,0,new_code_call,720,1763,2483
nyc-flight,1774861441-d28336fd,14,1,manager_decision,1507,43,1550
nyc-flight,1774861441-d28336fd,14,1,repair_call,1475,3524,4999
nyc-flight,1774861441-d28336fd,14,2,manager_decision,928,31,959
nyc-flight,1774861441-d28336fd,14,2,optimizer_call,782,3796,4578
nyc-flight,1774861441-d28336fd,14,3,manager_decision,1936,37,1973
nyc-flight,1774861441-d28336fd,14,3,repair_call,1904,2106,4010
nyc-flight,1774861441-d28336fd,14,4,manager_decision,1124,37,1161
nyc-flight,1774861441-d28336fd,14,4,repair_call,1092,10736,11828
nyc-flight,1774861441-d28336fd,15,0,manager_decision,584,61,645
nyc-flight,1774861441-d28336fd,15,0,new_code_call,678,1845,2523
nyc-flight,1774861441-d28336fd,15,1,manager_decision,833,39,872
nyc-flight,1774861441-d28336fd,15,1,optimizer_call,731,984,1715
nyc-flight,1774861441-d28336fd,15,2,manager_decision,924,41,965
nyc-flight,1774861441-d28336fd,15,2,repair_call,892,2883,3775
nyc-flight,1774861441-d28336fd,15,3,manager_decision,956,43,999
nyc-flight,1774861441-d28336fd,15,3,repair_call,924,9205,10129
nyc-flight,1774861441-d28336fd,15,4,manager_decision,893,37,930
nyc-flight,1774861441-d28336fd,16,0,manager_decision,700,51,751
nyc-flight,1774861441-d28336fd,16,0,new_code_call,794,1066,1860
nyc-flight,1774861441-d28336fd,16,1,manager_decision,1034,43,1077
nyc-flight,1774861441-d28336fd,16,1,optimizer_call,813,2469,3282
nyc-flight,1774861441-d28336fd,16,2,manager_decision,1079,39,1118
nyc-flight,1774861441-d28336fd,16,2,optimizer_call,858,4956,5814
nyc-flight,1774861441-d28336fd,16,3,manager_decision,2067,52,2119
nyc-flight,1774861441-d28336fd,16,3,repair_call,2035,2503,4538
nyc-flight,1774861441-d28336fd,16,4,manager_decision,2324,41,2365
nyc-flight,1774861441-d28336fd,16,4,new_code_call,794,2089,2883
