benchmark_name,run_id,cell_index,try_number,category,elapsed_seconds
nyc-flight,1774861441-d28336fd,0,,original_execution,26.044698
nyc-flight,1774861441-d28336fd,0,0,agent_call,11.537919
nyc-flight,1774861441-d28336fd,1,,original_execution,26.860936
nyc-flight,1774861441-d28336fd,1,0,agent_call,0.806497
nyc-flight,1774861441-d28336fd,2,,original_execution,27.050530
nyc-flight,1774861441-d28336fd,2,0,agent_call,1.460224
nyc-flight,1774861441-d28336fd,3,,original_execution,27.049257
nyc-flight,1774861441-d28336fd,3,0,agent_call,18.793226
nyc-flight,1774861441-d28336fd,3,1,agent_call,21.652176
nyc-flight,1774861441-d28336fd,3,1,rewrite_execution,22.797179
nyc-flight,1774861441-d28336fd,3,1,cudf_profiling,12.899913
nyc-flight,1774861441-d28336fd,3,2,agent_call,12.003862
nyc-flight,1774861441-d28336fd,3,3,agent_call,44.351189
nyc-flight,1774861441-d28336fd,3,3,rewrite_execution,22.876074
nyc-flight,1774861441-d28336fd,3,3,cudf_profiling,12.685821
nyc-flight,1774861441-d28336fd,3,4,agent_call,1.248448
nyc-flight,1774861441-d28336fd,4,,original_execution,27.047314
nyc-flight,1774861441-d28336fd,4,0,agent_call,7.119839
nyc-flight,1774861441-d28336fd,4,0,rewrite_execution,22.981865
nyc-flight,1774861441-d28336fd,4,0,cudf_profiling,13.032522
nyc-flight,1774861441-d28336fd,4,1,agent_call,34.363626
nyc-flight,1774861441-d28336fd,4,1,rewrite_execution,22.816365
nyc-flight,1774861441-d28336fd,4,1,cudf_profiling,12.931559
nyc-flight,1774861441-d28336fd,4,2,agent_call,12.392402
nyc-flight,1774861441-d28336fd,4,2,rewrite_execution,23.037591
nyc-flight,1774861441-d28336fd,4,2,cudf_profiling,13.036779
nyc-flight,1774861441-d28336fd,4,3,agent_call,11.364370
nyc-flight,1774861441-d28336fd,4,3,rewrite_execution,23.037179
nyc-flight,1774861441-d28336fd,4,3,cudf_profiling,12.859750
nyc-flight,1774861441-d28336fd,4,4,agent_call,1.145843
nyc-flight,1774861441-d28336fd,5,,original_execution,25.986481
nyc-flight,1774861441-d28336fd,5,0,agent_call,12.954684
nyc-flight,1774861441-d28336fd,5,1,agent_call,24.338180
nyc-flight,1774861441-d28336fd,5,1,rewrite_execution,23.040778
nyc-flight,1774861441-d28336fd,5,1,cudf_profiling,13.033008
nyc-flight,1774861441-d28336fd,5,2,agent_call,21.580697
nyc-flight,1774861441-d28336fd,5,2,rewrite_execution,22.780598
nyc-flight,1774861441-d28336fd,5,2,cudf_profiling,13.033543
nyc-flight,1774861441-d28336fd,5,3,agent_call,12.604690
nyc-flight,1774861441-d28336fd,5,4,agent_call,8.592466
nyc-flight,1774861441-d28336fd,6,,original_execution,26.028239
nyc-flight,1774861441-d28336fd,6,0,agent_call,5.756571
nyc-flight,1774861441-d28336fd,6,0,rewrite_execution,23.036854
nyc-flight,1774861441-d28336fd,6,0,cudf_profiling,12.712606
nyc-flight,1774861441-d28336fd,6,1,agent_call,17.410370
nyc-flight,1774861441-d28336fd,6,1,rewrite_execution,23.043660
nyc-flight,1774861441-d28336fd,6,1,cudf_profiling,13.031810
nyc-flight,1774861441-d28336fd,6,2,agent_call,11.974726
nyc-flight,1774861441-d28336fd,6,2,rewrite_execution,23.039438
nyc-flight,1774861441-d28336fd,6,2,cudf_profiling,13.034333
nyc-flight,1774861441-d28336fd,6,3,agent_call,31.584632
nyc-flight,1774861441-d28336fd,6,3,rewrite_execution,23.043658
nyc-flight,1774861441-d28336fd,6,3,cudf_profiling,12.692146
nyc-flight,1774861441-d28336fd,6,4,agent_call,1.586972
nyc-flight,1774861441-d28336fd,7,,original_execution,27.043512
nyc-flight,1774861441-d28336fd,7,0,agent_call,64.478728
nyc-flight,1774861441-d28336fd,7,0,rewrite_execution,22.958862
nyc-flight,1774861441-d28336fd,7,0,cudf_profiling,13.030696
nyc-flight,1774861441-d28336fd,7,1,agent_call,29.854331
nyc-flight,1774861441-d28336fd,7,1,rewrite_execution,23.038298
nyc-flight,1774861441-d28336fd,7,1,cudf_profiling,13.032852
nyc-flight,1774861441-d28336fd,7,2,agent_call,32.598854
nyc-flight,1774861441-d28336fd,7,2,rewrite_execution,22.954025
nyc-flight,1774861441-d28336fd,7,2,cudf_profiling,12.683495
nyc-flight,1774861441-d28336fd,7,3,agent_call,39.603292
nyc-flight,1774861441-d28336fd,7,4,agent_call,24.664006
nyc-flight,1774861441-d28336fd,8,,original_execution,27.048661
nyc-flight,1774861441-d28336fd,8,0,agent_call,16.115523
nyc-flight,1774861441-d28336fd,8,1,agent_call,9.253334
nyc-flight,1774861441-d28336fd,8,2,agent_call,10.298300
nyc-flight,1774861441-d28336fd,8,3,agent_call,52.031714
nyc-flight,1774861441-d28336fd,8,4,agent_call,156.302457
nyc-flight,1774861441-d28336fd,9,,original_execution,25.791843
nyc-flight,1774861441-d28336fd,9,0,agent_call,3.769943
nyc-flight,1774861441-d28336fd,10,,original_execution,26.026410
nyc-flight,1774861441-d28336fd,10,0,agent_call,10.701223
nyc-flight,1774861441-d28336fd,10,1,agent_call,66.631539
nyc-flight,1774861441-d28336fd,10,2,agent_call,112.080169
nyc-flight,1774861441-d28336fd,10,3,agent_call,54.053337
nyc-flight,1774861441-d28336fd,10,4,agent_call,10.662045
nyc-flight,1774861441-d28336fd,11,,original_execution,27.043974
nyc-flight,1774861441-d28336fd,11,0,agent_call,12.218747
nyc-flight,1774861441-d28336fd,11,0,rewrite_execution,22.987097
nyc-flight,1774861441-d28336fd,11,0,cudf_profiling,13.031295
nyc-flight,1774861441-d28336fd,11,1,agent_call,28.595398
nyc-flight,1774861441-d28336fd,11,2,agent_call,39.875243
nyc-flight,1774861441-d28336fd,11,2,rewrite_execution,23.041780
nyc-flight,1774861441-d28336fd,11,2,cudf_profiling,13.031745
nyc-flight,1774861441-d28336fd,11,3,agent_call,10.224498
nyc-flight,1774861441-d28336fd,11,4,agent_call,7.680529
nyc-flight,1774861441-d28336fd,11,4,rewrite_execution,23.039203
nyc-flight,1774861441-d28336fd,11,4,cudf_profiling,14.031400
nyc-flight,1774861441-d28336fd,12,,original_execution,27.043947
nyc-flight,1774861441-d28336fd,12,0,agent_call,19.193162
nyc-flight,1774861441-d28336fd,12,1,agent_call,19.108146
nyc-flight,1774861441-d28336fd,12,1,rewrite_execution,22.824456
nyc-flight,1774861441-d28336fd,12,1,cudf_profiling,12.696225
nyc-flight,1774861441-d28336fd,12,2,agent_call,22.335503
nyc-flight,1774861441-d28336fd,12,2,rewrite_execution,22.838511
nyc-flight,1774861441-d28336fd,12,2,cudf_profiling,13.031394
nyc-flight,1774861441-d28336fd,12,3,agent_call,13.207829
nyc-flight,1774861441-d28336fd,12,3,rewrite_execution,23.040785
nyc-flight,1774861441-d28336fd,12,3,cudf_profiling,12.803475
nyc-flight,1774861441-d28336fd,12,4,agent_call,0.863659
nyc-flight,1774861441-d28336fd,13,,original_execution,39.053468
nyc-flight,1774861441-d28336fd,13,0,agent_call,27.162650
nyc-flight,1774861441-d28336fd,13,1,agent_call,54.023425
nyc-flight,1774861441-d28336fd,13,2,agent_call,61.209552
nyc-flight,1774861441-d28336fd,13,3,agent_call,132.330136
nyc-flight,1774861441-d28336fd,13,4,agent_call,45.732916
nyc-flight,1774861441-d28336fd,14,,original_execution,149.089446
nyc-flight,1774861441-d28336fd,14,0,agent_call,17.661272
nyc-flight,1774861441-d28336fd,14,1,agent_call,32.412585
nyc-flight,1774861441-d28336fd,14,1,rewrite_execution,28.044813
nyc-flight,1774861441-d28336fd,14,1,cudf_profiling,12.890217
nyc-flight,1774861441-d28336fd,14,2,agent_call,36.959554
nyc-flight,1774861441-d28336fd,14,3,agent_call,20.718514
nyc-flight,1774861441-d28336fd,14,4,agent_call,139.541855
nyc-flight,1774861441-d28336fd,14,4,rewrite_execution,28.044932
nyc-flight,1774861441-d28336fd,14,4,cudf_profiling,14.037443
nyc-flight,1774861441-d28336fd,15,,original_execution,35.046090
nyc-flight,1774861441-d28336fd,15,0,agent_call,17.205518
nyc-flight,1774861441-d28336fd,15,0,rewrite_execution,24.040539
nyc-flight,1774861441-d28336fd,15,0,cudf_profiling,13.033476
nyc-flight,1774861441-d28336fd,15,1,agent_call,10.182507
nyc-flight,1774861441-d28336fd,15,2,agent_call,25.751822
nyc-flight,1774861441-d28336fd,15,3,agent_call,73.355972
nyc-flight,1774861441-d28336fd,15,3,rewrite_execution,23.934088
nyc-flight,1774861441-d28336fd,15,3,cudf_profiling,12.718438
nyc-flight,1774861441-d28336fd,15,4,agent_call,1.342550
nyc-flight,1774861441-d28336fd,16,,original_execution,40.049800
nyc-flight,1774861441-d28336fd,16,0,agent_call,13.817924
nyc-flight,1774861441-d28336fd,16,0,rewrite_execution,23.834589
nyc-flight,1774861441-d28336fd,16,0,cudf_profiling,13.031833
nyc-flight,1774861441-d28336fd,16,1,agent_call,26.253657
nyc-flight,1774861441-d28336fd,16,1,rewrite_execution,24.040929
nyc-flight,1774861441-d28336fd,16,1,cudf_profiling,12.805770
nyc-flight,1774861441-d28336fd,16,2,agent_call,40.882046
nyc-flight,1774861441-d28336fd,16,3,agent_call,23.826601
nyc-flight,1774861441-d28336fd,16,4,agent_call,20.626128
nyc-flight,1774861441-d28336fd,17,,original_execution,56.055929
nyc-flight,1774861441-d28336fd,17,0,agent_call,14.769484
nyc-flight,1774861441-d28336fd,17,1,agent_call,54.040557
nyc-flight,1774861441-d28336fd,17,2,agent_call,91.314758
nyc-flight,1774861441-d28336fd,17,3,agent_call,36.443438
nyc-flight,1774861441-d28336fd,17,4,agent_call,12.712338
