cell_idx,df_name,df_col,cpu->gpu,cost-cpu->gpu,gpu->cpu,cost-gpu->cpu
0,flights_df,year,17.1,13.19116105344,503.0,110.342522715776
0,flights_df,month,14.6,13.19116105344,114.0,110.342522715776
0,flights_df,day,14.4,13.19116105344,114.0,110.342522715776
0,flights_df,dep_time,93.5,64.668098300672,143.0,148.67180188992
0,flights_df,sched_dep_time,14.6,13.19116105344,111.0,110.342522715776
0,flights_df,dep_delay,86.8,64.668098300672,139.0,148.67180188992
0,flights_df,arr_time,89.2,64.668098300672,136.0,148.67180188992
0,flights_df,sched_arr_time,14.8,13.19116105344,111.0,110.342522715776
0,flights_df,arr_delay,90.2,64.668098300672,140.0,148.67180188992
0,flights_df,carrier,853.0,481.75428281998404,198.0,52.014612775504
0,flights_df,flight,16.3,13.19116105344,112.0,110.342522715776
0,flights_df,tailnum,978.0,511.36136616631404,261.0,68.21133717844
0,flights_df,origin,984.0,489.620076286592,201.0,55.988733922192004
0,flights_df,dest,788.0,489.620076286592,284.0,55.988733922192004
0,flights_df,air_time,102.0,64.668098300672,144.0,148.67180188992
0,flights_df,distance,14.5,13.19116105344,116.0,110.342522715776
0,flights_df,hour,14.2,13.19116105344,115.0,110.342522715776
0,flights_df,minute,14.6,13.19116105344,115.0,110.342522715776
0,flights_df,time_hour,960.0,623.338565218928,305.0,123.548793415888
1,flights_df,year,14.3,13.19116105344,113.0,110.342522715776
1,flights_df,month,15.3,13.19116105344,113.0,110.342522715776
1,flights_df,day,14.5,13.19116105344,113.0,110.342522715776
1,flights_df,dep_time,87.0,64.668098300672,142.0,148.67180188992
1,flights_df,sched_dep_time,14.3,13.19116105344,114.0,110.342522715776
1,flights_df,dep_delay,86.8,64.668098300672,143.0,148.67180188992
1,flights_df,arr_time,92.4,64.668098300672,140.0,148.67180188992
1,flights_df,sched_arr_time,14.2,13.19116105344,114.0,110.342522715776
1,flights_df,arr_delay,92.0,64.668098300672,140.0,148.67180188992
1,flights_df,carrier,744.0,481.75428281998404,202.0,52.014612775504
1,flights_df,flight,14.3,13.19116105344,140.0,110.342522715776
1,flights_df,tailnum,802.0,511.36136616631404,258.0,68.21133717844
1,flights_df,origin,754.0,489.620076286592,195.0,55.988733922192004
1,flights_df,dest,763.0,489.620076286592,207.0,55.988733922192004
1,flights_df,air_time,89.5,64.668098300672,139.0,148.67180188992
1,flights_df,distance,14.5,13.19116105344,191.0,110.342522715776
