benchmark_name,run_id,cell_index,try_number,category,prompt_tokens,response_tokens,total_tokens
nyc-taxi,1774845290-d0f766f7,0,0,manager_decision,583,42,625
nyc-taxi,1774845290-d0f766f7,0,0,new_code_call,677,2264,2941
nyc-taxi,1774845290-d0f766f7,0,1,manager_decision,710,52,762
nyc-taxi,1774845290-d0f766f7,0,1,repair_call,678,813,1491
nyc-taxi,1774845290-d0f766f7,0,2,manager_decision,2441,43,2484
nyc-taxi,1774845290-d0f766f7,0,2,repair_call,2409,2701,5110
nyc-taxi,1774845290-d0f766f7,0,3,manager_decision,5619,43,5662
nyc-taxi,1774845290-d0f766f7,0,3,repair_call,5587,11374,16961
nyc-taxi,1774845290-d0f766f7,0,4,manager_decision,838,42,880
nyc-taxi,1774849747-007ed6d4,0,0,manager_decision,583,37,620
nyc-taxi,1774849747-007ed6d4,0,0,new_code_call,677,490,1167
nyc-taxi,1774849747-007ed6d4,1,0,manager_decision,479,32,511
nyc-taxi,1774849747-007ed6d4,2,0,manager_decision,465,30,495
nyc-taxi,1774849747-007ed6d4,3,0,manager_decision,536,39,575
nyc-taxi,1774849747-007ed6d4,3,0,new_code_call,630,454,1084
nyc-taxi,1774849747-007ed6d4,4,0,manager_decision,624,41,665
nyc-taxi,1774849747-007ed6d4,4,0,new_code_call,718,1874,2592
nyc-taxi,1774849747-007ed6d4,4,1,manager_decision,867,50,917
nyc-taxi,1774849747-007ed6d4,4,1,optimizer_call,716,849,1565
nyc-taxi,1774849747-007ed6d4,4,2,manager_decision,810,43,853
nyc-taxi,1774849747-007ed6d4,4,2,optimizer_call,659,631,1290
nyc-taxi,1774849747-007ed6d4,5,0,manager_decision,770,49,819
nyc-taxi,1774849747-007ed6d4,5,0,new_code_call,864,1403,2267
nyc-taxi,1774849747-007ed6d4,5,1,manager_decision,2001,40,2041
nyc-taxi,1774849747-007ed6d4,5,1,new_code_call,864,1568,2432
nyc-taxi,1774849747-007ed6d4,5,2,manager_decision,1929,43,1972
nyc-taxi,1774849747-007ed6d4,5,2,repair_call,1897,4477,6374
nyc-taxi,1774849747-007ed6d4,5,3,manager_decision,1951,40,1991
nyc-taxi,1774849747-007ed6d4,5,3,new_code_call,864,2287,3151
nyc-taxi,1774849747-007ed6d4,5,4,manager_decision,1986,41,2027
nyc-taxi,1774849747-007ed6d4,5,4,new_code_call,864,2587,3451
nyc-taxi,1774849747-007ed6d4,6,0,manager_decision,523,55,578
nyc-taxi,1774849747-007ed6d4,6,0,new_code_call,617,575,1192
nyc-taxi,1774849747-007ed6d4,7,0,manager_decision,520,60,580
nyc-taxi,1774849747-007ed6d4,7,0,new_code_call,614,722,1336
nyc-taxi,1774849747-007ed6d4,8,0,manager_decision,646,56,702
nyc-taxi,1774849747-007ed6d4,8,0,new_code_call,740,1509,2249
nyc-taxi,1774849747-007ed6d4,8,1,manager_decision,901,58,959
nyc-taxi,1774849747-007ed6d4,8,1,optimizer_call,725,878,1603
nyc-taxi,1774849747-007ed6d4,9,0,manager_decision,474,25,499
nyc-taxi,1774849747-007ed6d4,10,0,manager_decision,631,44,675
nyc-taxi,1774849747-007ed6d4,10,0,new_code_call,725,1210,1935
nyc-taxi,1774849747-007ed6d4,10,1,manager_decision,873,37,910
nyc-taxi,1774849747-007ed6d4,10,1,new_code_call,725,954,1679
nyc-taxi,1774849747-007ed6d4,10,2,manager_decision,865,31,896
nyc-taxi,1774849747-007ed6d4,10,2,new_code_call,725,1875,2600
nyc-taxi,1774849747-007ed6d4,10,3,manager_decision,2584,38,2622
nyc-taxi,1774849747-007ed6d4,10,3,repair_call,2552,1886,4438
nyc-taxi,1774849747-007ed6d4,10,4,manager_decision,860,59,919
nyc-taxi,1774849747-007ed6d4,11,0,manager_decision,496,40,536
nyc-taxi,1774849747-007ed6d4,11,0,new_code_call,590,286,876
nyc-taxi,1774849747-007ed6d4,12,0,manager_decision,509,28,537
nyc-taxi,1774849747-007ed6d4,13,0,manager_decision,531,53,584
nyc-taxi,1774849747-007ed6d4,13,0,new_code_call,625,540,1165
nyc-taxi,1774849747-007ed6d4,14,0,manager_decision,531,61,592
nyc-taxi,1774849747-007ed6d4,14,0,new_code_call,625,210,835
nyc-taxi,1774849747-007ed6d4,15,0,manager_decision,533,30,563
nyc-taxi,1774849747-007ed6d4,16,0,manager_decision,533,61,594
nyc-taxi,1774849747-007ed6d4,16,0,new_code_call,627,367,994
nyc-taxi,1774849747-007ed6d4,17,0,manager_decision,531,63,594
nyc-taxi,1774849747-007ed6d4,17,0,new_code_call,625,607,1232
nyc-taxi,1774849747-007ed6d4,18,0,manager_decision,572,41,613
nyc-taxi,1774849747-007ed6d4,18,0,new_code_call,666,719,1385
nyc-taxi,1774849747-007ed6d4,19,0,manager_decision,529,49,578
nyc-taxi,1774849747-007ed6d4,19,0,new_code_call,623,2169,2792
nyc-taxi,1774849747-007ed6d4,19,1,manager_decision,701,35,736
nyc-taxi,1774849747-007ed6d4,19,1,optimizer_call,650,851,1501
nyc-taxi,1774849747-007ed6d4,20,0,manager_decision,524,44,568
nyc-taxi,1774849747-007ed6d4,20,0,new_code_call,618,291,909
nyc-taxi,1774849747-007ed6d4,21,0,manager_decision,507,38,545
