benchmark_name,run_id,cell_index,try_number,category,elapsed_seconds
nyc-taxi,1774845290-d0f766f7,0,,original_execution,68.062834
nyc-taxi,1774845290-d0f766f7,0,0,agent_call,20.823980
nyc-taxi,1774845290-d0f766f7,0,1,agent_call,10.332295
nyc-taxi,1774845290-d0f766f7,0,2,agent_call,20.081158
nyc-taxi,1774845290-d0f766f7,0,3,agent_call,77.932745
nyc-taxi,1774845290-d0f766f7,0,3,rewrite_execution,102.082313
nyc-taxi,1774845290-d0f766f7,0,3,cudf_profiling,15.031967
nyc-taxi,1774845290-d0f766f7,0,4,agent_call,1.233271
nyc-taxi,1774849747-007ed6d4,0,,original_execution,70.068894
nyc-taxi,1774849747-007ed6d4,0,0,agent_call,6.543755
nyc-taxi,1774849747-007ed6d4,1,,original_execution,95.084233
nyc-taxi,1774849747-007ed6d4,1,0,agent_call,1.421520
nyc-taxi,1774849747-007ed6d4,2,,original_execution,94.083184
nyc-taxi,1774849747-007ed6d4,2,0,agent_call,0.863665
nyc-taxi,1774849747-007ed6d4,3,,original_execution,106.087834
nyc-taxi,1774849747-007ed6d4,3,0,agent_call,6.795430
nyc-taxi,1774849747-007ed6d4,4,,original_execution,78.088544
nyc-taxi,1774849747-007ed6d4,4,0,agent_call,20.446595
nyc-taxi,1774849747-007ed6d4,4,0,rewrite_execution,543.299467
nyc-taxi,1774849747-007ed6d4,4,0,cudf_profiling,16.037073
nyc-taxi,1774849747-007ed6d4,4,1,agent_call,11.251462
nyc-taxi,1774849747-007ed6d4,4,1,rewrite_execution,540.287565
nyc-taxi,1774849747-007ed6d4,4,1,cudf_profiling,15.012178
nyc-taxi,1774849747-007ed6d4,4,2,agent_call,7.265600
nyc-taxi,1774849747-007ed6d4,5,,original_execution,73.065953
nyc-taxi,1774849747-007ed6d4,5,0,agent_call,14.407402
nyc-taxi,1774849747-007ed6d4,5,1,agent_call,17.856880
nyc-taxi,1774849747-007ed6d4,5,2,agent_call,34.000998
nyc-taxi,1774849747-007ed6d4,5,3,agent_call,21.916079
nyc-taxi,1774849747-007ed6d4,5,4,agent_call,22.560688
nyc-taxi,1774849747-007ed6d4,6,,original_execution,63.065789
nyc-taxi,1774849747-007ed6d4,6,0,agent_call,11.063176
nyc-taxi,1774849747-007ed6d4,7,,original_execution,62.066149
nyc-taxi,1774849747-007ed6d4,7,0,agent_call,7.239603
nyc-taxi,1774849747-007ed6d4,8,,original_execution,86.078212
nyc-taxi,1774849747-007ed6d4,8,0,agent_call,16.023896
nyc-taxi,1774849747-007ed6d4,8,0,rewrite_execution,69.058047
nyc-taxi,1774849747-007ed6d4,8,0,cudf_profiling,14.824022
nyc-taxi,1774849747-007ed6d4,8,1,agent_call,9.087881
nyc-taxi,1774849747-007ed6d4,9,,original_execution,68.056524
nyc-taxi,1774849747-007ed6d4,9,0,agent_call,1.196016
nyc-taxi,1774849747-007ed6d4,10,,original_execution,80.072936
nyc-taxi,1774849747-007ed6d4,10,0,agent_call,12.717681
nyc-taxi,1774849747-007ed6d4,10,0,rewrite_execution,558.333918
nyc-taxi,1774849747-007ed6d4,10,0,cudf_profiling,16.035274
nyc-taxi,1774849747-007ed6d4,10,1,agent_call,13.794317
nyc-taxi,1774849747-007ed6d4,10,1,rewrite_execution,552.308861
nyc-taxi,1774849747-007ed6d4,10,1,cudf_profiling,14.972775
nyc-taxi,1774849747-007ed6d4,10,2,agent_call,19.281720
nyc-taxi,1774849747-007ed6d4,10,3,agent_call,23.535208
nyc-taxi,1774849747-007ed6d4,10,3,rewrite_execution,575.323453
nyc-taxi,1774849747-007ed6d4,10,3,cudf_profiling,16.037257
nyc-taxi,1774849747-007ed6d4,10,4,agent_call,1.414790
nyc-taxi,1774849747-007ed6d4,11,,original_execution,63.061137
nyc-taxi,1774849747-007ed6d4,11,0,agent_call,4.477928
nyc-taxi,1774849747-007ed6d4,12,,original_execution,64.057420
