cell_idx,df_name,df_col,cpu->gpu,cost-cpu->gpu,gpu->cpu,cost-gpu->cpu
0,m,color,333.0,200.1152835903948,120.0,40.7015258511552
0,m,director_name,366.0,222.2253905610948,128.0,51.71993650895519
0,m,num_critic_for_reviews,41.6,24.717307688345603,226.0,55.692170298377604
0,m,duration,28.9,24.717307688345603,63.9,55.692170298377604
0,m,director_facebook_likes,33.3,24.717307688345603,47.9,55.692170298377604
0,m,actor_3_facebook_likes,33.8,24.717307688345603,74.3,55.692170298377604
0,m,actor_2_name,338.0,224.1762136580448,121.0,52.0497601485552
0,m,actor_1_facebook_likes,28.4,24.717307688345603,82.2,55.692170298377604
0,m,gross,36.7,24.717307688345603,44.7,55.692170298377604
0,m,genres,373.0,244.19711229564479,119.0,62.6472521195904
0,m,actor_1_name,336.0,224.1242462064948,97.3,52.2359128467552
0,m,movie_title,370.0,303.7862621049948,163.0,58.5427473809904
0,m,num_voted_users,7.17,5.468338358912,43.5,42.01990512919999
0,m,cast_total_facebook_likes,6.71,5.468338358912,25.5,42.01990512919999
0,m,actor_3_name,339.0,224.1452667486948,104.0,52.0270442091552
0,m,facenumber_in_poster,28.7,24.717307688345603,67.8,55.692170298377604
0,m,plot_keywords,476.0,331.8609479249448,238.0,108.25312439495522
0,m,movie_imdb_link,418.0,337.50321179379483,222.0,109.7893166429904
0,m,num_user_for_reviews,28.4,24.717307688345603,107.0,55.692170298377604
0,m,language,333.0,204.6802446714948,81.4,42.9734148033552
0,m,country,328.0,194.5740351048948,82.2,37.7986058031552
0,m,content_rating,369.0,187.7476140254448,103.0,36.5474590629552
0,m,budget,35.9,24.717307688345603,69.6,55.692170298377604
0,m,title_year,35.0,24.717307688345603,68.0,55.692170298377604
0,m,actor_2_facebook_likes,33.7,24.717307688345603,40.6,55.692170298377604
0,m,imdb_score,27.2,24.717307688345603,27.0,54.8356901116
0,m,aspect_ratio,44.5,24.717307688345603,65.6,55.692170298377604
0,m,movie_facebook_likes,6.65,5.468338358912,42.2,42.01990512919999
1,m,color,334.0,200.1152835903948,81.3,40.7015258511552
1,m,director_name,371.0,222.2253905610948,98.1,51.71993650895519
1,m,num_critic_for_reviews,30.0,24.717307688345603,40.7,55.692170298377604
1,m,duration,28.9,24.717307688345603,61.1,55.692170298377604
1,m,director_facebook_likes,33.8,24.717307688345603,68.7,55.692170298377604
1,m,actor_3_facebook_likes,28.6,24.717307688345603,40.5,55.692170298377604
1,m,actor_2_name,343.0,224.1762136580448,103.0,52.0497601485552
1,m,actor_1_facebook_likes,28.2,24.717307688345603,38.9,55.692170298377604
1,m,gross,37.0,24.717307688345603,69.0,55.692170298377604
1,m,genres,374.0,244.19711229564479,139.0,62.6472521195904
1,m,actor_1_name,352.0,224.1242462064948,121.0,52.2359128467552
1,m,movie_title,380.0,303.7862621049948,145.0,58.5427473809904
1,m,num_voted_users,6.62,5.468338358912,27.1,42.01990512919999
1,m,cast_total_facebook_likes,6.43,5.468338358912,31.4,42.01990512919999
1,m,actor_3_name,349.0,224.1452667486948,123.0,52.0270442091552
1,m,facenumber_in_poster,29.2,24.717307688345603,66.7,55.692170298377604
1,m,plot_keywords,604.0,331.8609479249448,252.0,108.25312439495522
1,m,movie_imdb_link,574.0,337.50321179379483,212.0,109.7893166429904
1,m,num_user_for_reviews,29.1,24.717307688345603,49.2,55.692170298377604
1,m,language,328.0,204.6802446714948,98.9,42.9734148033552
