cell_idx,df_name,df_col,cpu->gpu,cost-cpu->gpu,gpu->cpu,cost-gpu->cpu
0,df,id,6.84,3.535519688256,159.0,24.92068665428
0,df,name,251.0,182.4259059801654,212.0,66.1769758058688
0,df,host_id,4.6,3.535519688256,17.2,24.92068665428
0,df,host_name,182.0,127.6339008185934,79.9,39.3978038740488
0,df,neighbourhood_group,177.0,130.8995471520744,66.0,41.0630509790472
0,df,neighbourhood,201.0,137.2587866811294,74.1,44.2759993480272
0,df,latitude,16.2,14.718679329612801,64.7,31.923585074440002
0,df,longitude,15.3,14.718679329612801,26.6,31.923585074440002
0,df,room_type,208.0,140.0689178651364,68.3,45.6957927624792
0,df,price,4.59,3.535519688256,27.1,24.92068665428
0,df,minimum_nights,4.46,3.535519688256,27.3,24.92068665428
0,df,number_of_reviews,4.49,3.535519688256,26.8,24.92068665428
0,df,last_review,247.0,121.6872594986874,79.7,40.9650443860608
0,df,reviews_per_month,23.6,14.718679329612801,43.1,32.4216922609872
0,df,calculated_host_listings_count,4.6,3.535519688256,26.7,24.92068665428
0,df,availability_365,4.41,3.535519688256,25.8,24.92068665428
1,df,id,4.57,3.535519688256,25.8,24.92068665428
1,df,name,240.0,182.4259059801654,202.0,66.1769758058688
1,df,host_id,4.46,3.535519688256,16.8,24.92068665428
1,df,host_name,182.0,127.6339008185934,75.2,39.3978038740488
1,df,neighbourhood_group,179.0,130.8995471520744,62.4,41.0630509790472
1,df,neighbourhood,198.0,137.2587866811294,73.7,44.2759993480272
1,df,latitude,16.2,14.718679329612801,29.5,31.923585074440002
1,df,longitude,15.9,14.718679329612801,17.0,31.923585074440002
1,df,room_type,191.0,140.0689178651364,46.5,45.6957927624792
1,df,price,4.34,3.535519688256,15.9,24.92068665428
1,df,minimum_nights,4.45,3.535519688256,16.0,24.92068665428
1,df,number_of_reviews,4.56,3.535519688256,19.9,24.92068665428
1,df,last_review,255.0,121.6872594986874,56.2,40.9650443860608
1,df,reviews_per_month,23.2,14.718679329612801,25.4,32.4216922609872
1,df,calculated_host_listings_count,4.37,3.535519688256,16.5,24.92068665428
1,df,availability_365,4.23,3.535519688256,16.6,24.92068665428
2,df,id,5.1,3.535519688256,25.8,24.92068665428
2,df,name,250.0,182.4259059801654,230.0,66.1769758058688
2,df,host_id,4.66,3.535519688256,17.0,24.92068665428
2,df,host_name,183.0,127.6339008185934,75.2,39.3978038740488
2,df,neighbourhood_group,179.0,130.8995471520744,58.4,41.0630509790472
2,df,neighbourhood,197.0,137.2587866811294,80.7,44.2759993480272
2,df,latitude,15.7,14.718679329612801,26.7,31.923585074440002
2,df,longitude,22.7,14.718679329612801,17.0,31.923585074440002
2,df,room_type,188.0,140.0689178651364,46.7,45.6957927624792
2,df,price,4.55,3.535519688256,16.0,24.92068665428
2,df,minimum_nights,4.54,3.535519688256,16.4,24.92068665428
2,df,number_of_reviews,4.48,3.535519688256,15.7,24.92068665428
2,df,last_review,251.0,121.6872594986874,56.8,40.9650443860608
2,df,reviews_per_month,23.4,14.718679329612801,25.7,32.4216922609872
2,df,calculated_host_listings_count,4.7,3.535519688256,16.0,24.92068665428
2,df,availability_365,4.61,3.535519688256,15.8,24.92068665428
3,df,last_review,250.0,121.6872594986874,48.9,40.9650443860608
3,df,minimum_nights,4.43,3.535519688256,26.2,24.92068665428
3,df,latitude,15.8,14.718679329612801,16.5,31.923585074440002
3,df,room_type,182.0,140.0689178651364,44.4,45.6957927624792
3,df,calculated_host_listings_count,4.66,3.535519688256,22.8,24.92068665428
3,df,host_name,178.0,127.6339008185934,80.2,39.3978038740488
3,df,host_id,4.84,3.535519688256,26.1,24.92068665428
3,df,longitude,20.4,14.718679329612801,29.7,31.923585074440002
3,df,id,4.31,3.535519688256,16.8,24.92068665428
3,df,neighbourhood,198.0,137.2587866811294,60.0,44.2759993480272
3,df,number_of_reviews,4.48,3.535519688256,24.7,24.92068665428
3,df,reviews_per_month,24.7,14.718679329612801,26.1,32.4216922609872
3,df,price,4.48,3.535519688256,22.6,24.92068665428
3,df,availability_365,4.37,3.535519688256,26.2,24.92068665428
3,df,name,274.0,182.4259059801654,189.0,66.1769758058688
3,df,neighbourhood_group,177.0,130.8995471520744,54.3,41.0630509790472
4,df,neighbourhood_group,172.0,130.8995471520744,62.1,41.0630509790472
4,df,room_type,179.0,140.0689178651364,47.5,45.6957927624792
4,df,latitude,15.3,14.718679329612801,27.1,31.923585074440002
4,df,calculated_host_listings_count,4.3,3.535519688256,26.3,24.92068665428
4,df,host_id,4.13,3.535519688256,26.0,24.92068665428
4,df,longitude,15.0,14.718679329612801,31.0,31.923585074440002
4,df,reviews_per_month,22.2,14.718679329612801,25.6,32.4216922609872
4,df,neighbourhood,189.0,137.2587866811294,60.1,44.2759993480272
4,df,price,4.08,3.535519688256,22.2,24.92068665428
4,df,availability_365,4.08,3.535519688256,25.9,24.92068665428
4,df,minimum_nights,4.19,3.535519688256,24.8,24.92068665428
4,df,number_of_reviews,4.04,3.535519688256,24.2,24.92068665428
5,df,reviews_per_month,10.3,9.7321729415168,11.9,20.496535220464
6,df,index,3.2,2.571586206336,11.5,16.392721997168
6,df,host_id,3.38,2.571586206336,11.6,16.392721997168
6,df,neighbourhood_group,110.0,83.89640107804439,35.9,26.929085187235202
6,df,neighbourhood,117.0,87.97694376414539,40.2,28.9907425454712
6,df,latitude,10.4,9.7321729415168,12.1,20.496535220464
6,df,longitude,9.75,9.7321729415168,19.7,20.496535220464
6,df,room_type,115.0,89.8629768788034,30.6,29.9436437519592
6,df,price,3.51,2.571586206336,12.0,16.392721997168
6,df,minimum_nights,3.14,2.571586206336,11.5,16.392721997168
6,df,number_of_reviews,3.34,2.571586206336,12.5,16.392721997168
6,df,reviews_per_month,10.4,9.7321729415168,14.5,20.496535220464
6,df,calculated_host_listings_count,3.35,2.571586206336,19.6,16.392721997168
6,df,availability_365,3.44,2.571586206336,16.8,16.392721997168
7,df,index,3.52,2.571586206336,11.6,16.392721997168
7,df,host_id,3.35,2.571586206336,11.4,16.392721997168
7,df,neighbourhood_group,112.0,83.89640107804439,35.3,26.929085187235202
7,df,neighbourhood,117.0,87.97694376414539,40.7,28.9907425454712
7,df,latitude,10.2,9.7321729415168,11.8,20.496535220464
7,df,longitude,9.62,9.7321729415168,11.3,20.496535220464
7,df,room_type,110.0,89.8629768788034,32.3,29.9436437519592
7,df,price,3.4,2.571586206336,21.3,16.392721997168
7,df,minimum_nights,3.66,2.571586206336,12.0,16.392721997168
7,df,number_of_reviews,3.98,2.571586206336,11.6,16.392721997168
7,df,reviews_per_month,10.5,9.7321729415168,11.7,20.496535220464
7,df,calculated_host_listings_count,3.27,2.571586206336,11.6,16.392721997168
7,df,availability_365,3.27,2.571586206336,11.1,16.392721997168
8,df,neighbourhood_group,114.0,83.89640107804439,38.8,26.929085187235202
9,df,price,4.23,2.571586206336,11.5,16.392721997168
9,df,neighbourhood_group,120.0,83.89640107804439,36.0,26.929085187235202
10,df,price,3.41,2.571586206336,12.5,16.392721997168
11,df,price,3.41,2.571586206336,12.7,16.392721997168
11,df,price_group,3.72,2.571586206336,11.2,16.392721997168
12,df,neighbourhood_group,116.0,83.89640107804439,37.4,26.929085187235202
13,df,price,4.25,2.571586206336,11.6,16.392721997168
13,df,neighbourhood_group,114.0,83.89640107804439,36.4,26.929085187235202
14,df,neighbourhood,119.0,87.97694376414539,41.9,28.9907425454712
14,df,price,3.53,2.571586206336,11.6,16.392721997168
14,df,neighbourhood_group,116.0,83.89640107804439,35.9,26.929085187235202
15,df,neighbourhood,117.0,87.97694376414539,40.4,28.9907425454712
15,df,price,3.72,2.571586206336,11.7,16.392721997168
16,df,neighbourhood,116.0,87.97694376414539,39.9,28.9907425454712
17,df,neighbourhood,116.0,87.97694376414539,42.1,28.9907425454712
17,df,neighbourhood_group,109.0,83.89640107804439,36.8,26.929085187235202
18,df,calculated_host_listings_count,3.46,2.571586206336,11.3,16.392721997168
