df_col,cpu->gpu,cost-cpu->gpu,gpu->cpu,cost-gpu->cpu
year,4.09,1.2618398196288,140.0,12.7881224801664
month,1.78,1.2618398196288,15.2,12.7881224801664
day,1.56,1.2618398196288,17.4,12.7881224801664
dep_time,2.95,2.1814093892864,15.2,13.50848281968
sched_dep_time,1.6,1.2618398196288,9.39,12.7881224801664
dep_delay,2.48,2.1814093892864,17.4,13.50848281968
arr_time,2.41,2.1814093892864,15.6,13.50848281968
sched_arr_time,1.27,1.2618398196288,9.29,12.7881224801664
arr_delay,2.41,2.1814093892864,10.7,13.50848281968
carrier,22.7,21.7455882238256,117.0,50.614251480200004
flight,1.45,1.2618398196288,11.5,12.7881224801664
tailnum,21.9,23.0619432538886,114.0,80.37789199879
origin,20.6,22.0953078052544,113.0,57.917228936920004
dest,21.5,22.0953078052544,120.0,57.917228936920004
air_time,2.62,2.1814093892864,11.5,13.50848281968
distance,1.43,1.2618398196288,9.44,12.7881224801664
hour,1.4,1.2618398196288,9.17,12.7881224801664
minute,1.19,1.2618398196288,9.6,12.7881224801664
time_hour,27.0,28.040540689544002,138.0,182.06784570116
year,1.49,1.2618398196288,15.7,12.7881224801664
month,1.28,1.2618398196288,18.3,12.7881224801664
day,1.6,1.2618398196288,9.4,12.7881224801664
dep_time,2.52,2.1814093892864,10.3,13.50848281968
sched_dep_time,1.19,1.2618398196288,11.1,12.7881224801664
dep_delay,2.18,2.1814093892864,14.8,13.50848281968
arr_time,2.06,2.1814093892864,12.6,13.50848281968
sched_arr_time,1.18,1.2618398196288,8.91,12.7881224801664
arr_delay,2.24,2.1814093892864,10.9,13.50848281968
carrier,21.1,21.7455882238256,106.0,50.614251480200004
flight,1.28,1.2618398196288,9.96,12.7881224801664
tailnum,21.9,23.0619432538886,113.0,80.37789199879
origin,20.8,22.0953078052544,110.0,57.917228936920004
dest,20.5,22.0953078052544,106.0,57.917228936920004
air_time,2.77,2.1814093892864,10.6,13.50848281968
distance,1.24,1.2618398196288,9.11,12.7881224801664
hour,1.47,1.2618398196288,12.7,12.7881224801664
minute,1.24,1.2618398196288,8.89,12.7881224801664
time_hour,23.5,28.040540689544002,131.0,182.06784570116
dest,20.3,22.0953078052544,114.0,57.917228936920004
dest,21.4,22.0953078052544,120.0,57.917228936920004
dest,22.5,22.0953078052544,126.0,57.917228936920004
carrier,22.7,21.7455882238256,137.0,50.614251480200004
dest,21.9,22.0953078052544,110.0,57.917228936920004
tailnum,22.1,23.0619432538886,134.0,80.37789199879
dest,21.4,22.0953078052544,140.0,57.917228936920004
arr_delay,2.58,2.1814093892864,19.1,13.50848281968
dest,21.3,22.0953078052544,213.0,57.917228936920004
origin,21.1,22.0953078052544,201.0,57.917228936920004
month,1.58,1.2618398196288,11.2,12.7881224801664
day,1.53,1.2618398196288,15.5,12.7881224801664
dep_delay,2.32,2.1814093892864,13.7,13.50848281968
arr_delay,2.26,2.1814093892864,13.0,13.50848281968
month,0.98,0.6058429448184,4.66,2.467098129336
day,0.936,0.6058429448184,4.62,2.467098129336
dep_delay,2.05,1.2129967691552,7.04,3.49949227058
month,0.583,0.6058429448184,4.04,2.467098129336
day,1.11,0.6058429448184,3.76,2.467098129336
dep_delay,1.73,1.2129967691552,4.83,3.49949227058
month,1.31,0.6058429448184,4.83,2.467098129336
day,1.15,0.6058429448184,3.78,2.467098129336
dep_delay,1.57,1.2129967691552,3.81,3.49949227058
day,1.33,1.2618398196288,9.26,12.7881224801664
dep_delay,2.21,2.1814093892864,11.5,13.50848281968
arr_delay,2.41,2.1814093892864,18.3,13.50848281968
month,1.34,1.2618398196288,10.0,12.7881224801664
year,1.63,1.2618398196288,9.91,12.7881224801664
month,1.22,1.2618398196288,21.2,12.7881224801664
day,1.13,1.2618398196288,18.0,12.7881224801664
dep_time,2.22,2.1814093892864,18.5,13.354279772192
sched_dep_time,1.17,1.2618398196288,17.1,12.7881224801664
dep_delay,2.05,2.1814093892864,9.64,13.354279772192
arr_time,2.25,2.1814093892864,8.86,13.354279772192
sched_arr_time,1.11,1.2618398196288,8.77,12.7881224801664
arr_delay,2.38,2.1814093892864,14.6,13.354279772192
carrier,21.4,21.7455882238256,126.0,50.614251480200004
flight,1.89,1.2618398196288,10.4,12.7881224801664
tailnum,21.3,23.0619432538886,119.0,80.37789199879
origin,20.8,22.0953078052544,113.0,57.917228936920004
dest,21.2,22.0953078052544,124.0,57.917228936920004
air_time,2.69,2.1814093892864,11.8,13.354279772192
distance,1.27,1.2618398196288,11.1,12.7881224801664
hour,1.21,1.2618398196288,11.1,12.7881224801664
minute,1.33,1.2618398196288,11.8,12.7881224801664
time_hour,24.0,28.040540689544002,122.0,182.06784570116
year,1.77,1.2618398196288,9.19,12.7881224801664
month,1.72,1.2618398196288,9.47,12.7881224801664
day,1.45,1.2618398196288,9.18,12.7881224801664
dep_time,2.69,2.1814093892864,9.86,13.354279772192
sched_dep_time,1.44,1.2618398196288,9.56,12.7881224801664
dep_delay,2.66,2.1814093892864,9.4,13.354279772192
arr_time,2.51,2.1814093892864,12.4,13.354279772192
sched_arr_time,1.37,1.2618398196288,12.0,12.7881224801664
arr_delay,2.46,2.1814093892864,9.53,13.354279772192
carrier,20.9,21.7455882238256,109.0,50.614251480200004
flight,1.38,1.2618398196288,12.7,12.7881224801664
tailnum,21.6,23.0619432538886,124.0,80.37789199879
origin,21.0,22.0953078052544,107.0,57.917228936920004
dest,21.0,22.0953078052544,108.0,57.917228936920004
air_time,2.5,2.1814093892864,10.3,13.354279772192
distance,1.42,1.2618398196288,17.7,12.7881224801664
hour,1.18,1.2618398196288,9.05,12.7881224801664
minute,1.21,1.2618398196288,9.1,12.7881224801664
time_hour,31.1,28.040540689544002,122.0,182.06784570116
arr_delay,1.89,1.2129967691552,5.7,3.49949227058
dep_delay,1.57,1.2129967691552,5.88,3.49949227058
month,0.887,0.6058429448184,5.94,2.467098129336
day,0.758,0.6058429448184,6.53,2.467098129336
total_delay,1.48,1.2129967691552,5.86,3.49949227058
air_time,2.19,2.1814093892864,9.11,13.354279772192
distance,1.19,1.2618398196288,9.05,12.7881224801664
speed,2.32,2.1814093892864,9.78,13.354279772192
dep_time,2.0,2.1814093892864,9.16,13.354279772192
hour,1.07,1.2618398196288,14.1,12.7881224801664
carrier,21.4,21.7455882238256,118.0,50.614251480200004
tailnum,21.5,23.0619432538886,148.0,80.37789199879
distance,1.52,1.2618398196288,10.4,12.7881224801664
flight,1.25,1.2618398196288,9.59,12.7881224801664
arr_delay,2.27,2.1814093892864,9.64,13.354279772192
arr_time,2.37,2.1814093892864,11.1,13.354279772192
minute,1.13,1.2618398196288,9.13,12.7881224801664
origin,21.9,22.0953078052544,106.0,57.917228936920004
sched_dep_time,1.33,1.2618398196288,11.5,12.7881224801664
dep_delay,2.23,2.1814093892864,22.7,13.354279772192
month,1.32,1.2618398196288,9.92,12.7881224801664
air_time,2.23,2.1814093892864,9.27,13.354279772192
speed,2.17,2.1814093892864,8.92,13.354279772192
dest,21.1,22.0953078052544,113.0,57.917228936920004
sched_arr_time,1.35,1.2618398196288,10.1,12.7881224801664
time_hour,23.9,28.040540689544002,127.0,182.06784570116
day,1.63,1.2618398196288,15.7,12.7881224801664
year,1.36,1.2618398196288,19.1,12.7881224801664
dest,21.5,22.0953078052544,128.0,57.917228936920004
flight,1.6,1.2618398196288,12.4,12.7881224801664
carrier,21.7,21.7455882238256,120.0,50.614251480200004
dest,21.2,22.0953078052544,119.0,57.917228936920004
flight,1.67,1.2618398196288,10.5,12.7881224801664
carrier,21.4,21.7455882238256,112.0,50.614251480200004
dest,1.7,1.8349451503544003,9.41,8.557358098669999
flight,1.54,0.6277529920088,4.96,2.8118164340464
carrier,1.91,1.8228982798406,9.17,8.305790761699999
month,1.4,1.2618398196288,10.9,12.7881224801664
arr_delay,2.2,1.2119921170944,5.59,3.4892687022719997
total_delay,2.27,1.2119921170944,4.45,3.4892687022719997
dep_delay,2.17,1.2119921170944,4.43,3.4892687022719997
carrier,1.27,1.1131132010336,5.65,6.798468497
month,1.37,1.2618398196288,11.2,12.7881224801664
origin,20.7,22.0953078052544,112.0,57.917228936920004
day,1.57,1.2618398196288,20.1,12.7881224801664
hour,1.48,1.2618398196288,17.3,12.7881224801664
