ground_truth_schedule,ground_truth_total_cost,cost_model_schedule,cost_model_total_cost,actual_time_for_cost_model_schedule,predicted_schedule,predicted_total_cost,actual_time_for_predicted_schedule,predicted_cost_model_schedule,predicted_cost_model_total_cost,actual_time_for_predicted_cost_model_schedule
gpu,8695.919960000001,gpu,6994.190202985264,8697.55996,gpu,8586.7106025,8695.919960000001,gpu,6884.980845485263,8695.919960000001
gpu,8695.919960000001,gpu,6994.190202985264,8697.55996,gpu,8586.7106025,8695.919960000001,gpu,6884.980845485263,8695.919960000001
gpu,8695.919960000001,gpu,6994.190202985264,8697.55996,gpu,8586.7106025,8695.919960000001,gpu,6884.980845485263,8695.919960000001
gpu,8695.919960000001,gpu,6994.190202985264,8697.55996,gpu,8586.7106025,8695.919960000001,gpu,6884.980845485263,8695.919960000001
gpu,8695.919960000001,gpu,6994.190202985264,8697.55996,gpu,8586.7106025,8695.919960000001,gpu,6884.980845485263,8695.919960000001
gpu,8695.919960000001,gpu,6994.190202985264,8697.55996,gpu,8586.7106025,8695.919960000001,gpu,6884.980845485263,8695.919960000001
gpu,8695.919960000001,gpu,6994.190202985264,8697.55996,gpu,8586.7106025,8695.919960000001,gpu,6884.980845485263,8695.919960000001
gpu,8695.919960000001,gpu,6994.190202985264,8697.55996,gpu,8586.7106025,8695.919960000001,gpu,6884.980845485263,8695.919960000001
gpu,8695.919960000001,gpu,6994.190202985264,8697.55996,gpu,8586.7106025,8695.919960000001,gpu,6884.980845485263,8695.919960000001
gpu,8695.919960000001,cpu,6994.190202985264,8697.55996,gpu,8586.7106025,8695.919960000001,gpu,6884.980845485263,8695.919960000001
cpu,8695.919960000001,cpu,6994.190202985264,8697.55996,cpu,8586.7106025,8695.919960000001,cpu,6884.980845485263,8695.919960000001
cpu,8695.919960000001,cpu,6994.190202985264,8697.55996,cpu,8586.7106025,8695.919960000001,cpu,6884.980845485263,8695.919960000001
cpu,8695.919960000001,cpu,6994.190202985264,8697.55996,cpu,8586.7106025,8695.919960000001,cpu,6884.980845485263,8695.919960000001
gpu,8695.919960000001,gpu,6994.190202985264,8697.55996,gpu,8586.7106025,8695.919960000001,gpu,6884.980845485263,8695.919960000001
gpu,8695.919960000001,gpu,6994.190202985264,8697.55996,gpu,8586.7106025,8695.919960000001,gpu,6884.980845485263,8695.919960000001
gpu,8695.919960000001,gpu,6994.190202985264,8697.55996,gpu,8586.7106025,8695.919960000001,gpu,6884.980845485263,8695.919960000001
cpu,8695.919960000001,cpu,6994.190202985264,8697.55996,cpu,8586.7106025,8695.919960000001,cpu,6884.980845485263,8695.919960000001
gpu,8695.919960000001,gpu,6994.190202985264,8697.55996,gpu,8586.7106025,8695.919960000001,gpu,6884.980845485263,8695.919960000001
