cell_idx,df_name,df_col,cpu->gpu,cost-cpu->gpu,gpu->cpu,cost-gpu->cpu
0,birth_data,year,21.3,15.09337150528,169.0,127.1714676668
0,birth_data,month,18.4,15.09337150528,136.0,127.1714676668
0,birth_data,day,104.0,74.50838785126399,200.0,171.57456524484803
0,birth_data,gender,898.0,546.917033936812,230.0,55.175921137976
0,birth_data,births,17.0,15.09337150528,134.0,127.1714676668
1,birth_data,year,16.0,15.09337150528,137.0,127.1714676668
1,birth_data,month,16.2,15.09337150528,134.0,127.1714676668
1,birth_data,day,103.0,74.50838785126399,196.0,171.57456524484803
1,birth_data,gender,901.0,546.917033936812,230.0,55.175921137976
1,birth_data,births,16.0,15.09337150528,135.0,127.1714676668
2,birth_data,month,16.2,15.09337150528,136.0,127.1714676668
2,birth_data,day,112.0,74.50838785126399,195.0,171.57456524484803
2,birth_data,gender,907.0,546.917033936812,223.0,55.175921137976
2,birth_data,year,16.0,15.09337150528,130.0,127.1714676668
2,birth_data,births,16.0,15.09337150528,131.0,127.1714676668
3,birth_data,year,16.1,15.09337150528,137.0,127.1714676668
3,birth_data,month,16.0,15.09337150528,133.0,127.1714676668
3,birth_data,day,15.9,15.09337150528,135.0,127.1714676668
3,birth_data,gender,902.0,546.917033936812,226.0,55.175921137976
3,birth_data,births,16.0,15.09337150528,134.0,127.1714676668
4,birth_data,year,16.1,15.09337150528,134.0,127.1714676668
4,birth_data,decade,17.3,15.09337150528,134.0,127.1714676668
5,birth_data,births,16.2,15.09337150528,133.0,127.1714676668
5,birth_data,decade,16.8,15.09337150528,133.0,127.1714676668
5,birth_data,gender,956.0,546.917033936812,219.0,55.175921137976
6,birth_data,births,17.5,15.09337150528,129.0,127.1714676668
6,birth_data,decade,16.2,15.09337150528,131.0,127.1714676668
6,birth_data,gender,921.0,546.917033936812,263.0,55.175921137976
7,birth_data,year,16.0,15.09337150528,132.0,127.1714676668
8,birth_data,year,16.1,15.09337150528,142.0,127.1714676668
8,birth_data,month,15.9,15.09337150528,137.0,127.1714676668
8,birth_data,day,16.1,15.09337150528,138.0,127.1714676668
8,birth_data,gender,877.0,546.917033936812,232.0,55.175921137976
8,birth_data,births,17.3,15.09337150528,138.0,127.1714676668
8,birth_data,decade,16.3,15.09337150528,137.0,127.1714676668
9,birth_data,month,17.0,15.09337150528,131.0,127.1714676668
9,birth_data,day,15.8,15.09337150528,133.0,127.1714676668
9,birth_data,gender,924.0,546.917033936812,233.0,55.175921137976
9,birth_data,decade,16.4,15.09337150528,135.0,127.1714676668
9,birth_data,year,16.2,15.09337150528,136.0,127.1714676668
9,birth_data,births,16.3,15.09337150528,174.0,127.1714676668
9,births,year,15.6,14.23479465728,127.0,119.57559808399999
9,births,month,15.4,14.23479465728,126.0,119.57559808399999
9,births,day,15.4,14.23479465728,127.0,119.57559808399999
9,births,gender,849.0,513.955056695112,203.0,51.955291910976
9,births,births,15.6,14.23479465728,126.0,119.57559808399999
9,births,decade,15.6,14.23479465728,126.0,119.57559808399999
10,births,year,15.6,14.23479465728,126.0,119.57559808399999
10,births,month,15.5,14.23479465728,127.0,119.57559808399999
10,births,day,16.5,14.23479465728,128.0,119.57559808399999
10,births,gender,852.0,513.955056695112,204.0,51.955291910976
10,births,births,17.2,14.23479465728,127.0,119.57559808399999
10,births,decade,16.8,14.23479465728,161.0,119.57559808399999
11,births,year,15.4,14.23479465728,126.0,119.57559808399999
12,births,month,16.3,14.23479465728,123.0,119.57559808399999
12,births,day,16.1,14.23479465728,123.0,119.57559808399999
12,births,gender,898.0,513.955056695112,216.0,51.955291910976
12,births,decade,16.1,14.23479465728,100.0,119.57559808399999
12,births,year,16.0,14.23479465728,127.0,119.57559808399999
12,births,births,15.8,14.23479465728,125.0,119.57559808399999
13,births,month,16.2,14.23479465728,123.0,119.57559808399999
13,births,day,16.0,14.23479465728,122.0,119.57559808399999
13,births,gender,797.0,513.955056695112,216.0,51.955291910976
13,births,decade,15.8,14.23479465728,122.0,119.57559808399999
13,births,year,15.9,14.23479465728,122.0,119.57559808399999
13,births,births,15.7,14.23479465728,123.0,119.57559808399999
13,births,dayofweek,8.86,7.541193937279999,64.7,30.747699520999998
14,births,dayofweek,867.0,566.3616040155121,243.0,78.433226885376
15,births,year,15.9,14.23479465728,124.0,119.57559808399999
15,births,month,15.7,14.23479465728,123.0,119.57559808399999
15,births,day,15.8,14.23479465728,122.0,119.57559808399999
15,births,gender,794.0,513.955056695112,222.0,51.955291910976
15,births,births,16.1,14.23479465728,124.0,119.57559808399999
15,births,decade,15.8,14.23479465728,126.0,119.57559808399999
15,births,dayofweek,868.0,566.3616040155121,236.0,78.433226885376
16,births,births,15.7,14.23479465728,125.0,119.57559808399999
16,births_by_date,births,1.26,0.848514480128,3.14,0.13601292318400002
17,births_by_date,births,0.933,0.848514480128,2.9,0.13601292318400002
18,births_by_date,births,1.68,0.848514480128,2.7,0.13601292318400002
