cell_idx,df_name,df_col,cpu->gpu,cost-cpu->gpu,gpu->cpu,cost-gpu->cpu
0,train,id,10.2,4.685123713822399,7.36,3.1912792401952
0,train,discourse_id,0.7020000000000001,0.9389890434560001,122.0,1.94905844
0,train,discourse_start,1.03,0.9389890434560001,2.81,1.94905844
0,train,discourse_end,0.76,0.9389890434560001,2.66,1.94905844
0,train,discourse_text,28.4,20.2312861086764,28.3,10.9941300810208
0,train,discourse_type,7.26,4.445295676631,5.15,3.0701082892648
0,train,discourse_type_num,7.18,4.5620811378626005,5.16,3.1291130893624
0,train,predictionstring,17.9,14.697095854124,21.8,8.249737788812801
1,train,id,6.77,4.685123713822399,4.57,3.1912792401952
1,train,discourse_id,0.658,0.9389890434560001,2.58,1.94905844
2,train,predictionstring,16.8,14.697095854124,18.8,8.249737788812801
2,train,discourse_type,7.03,4.445295676631,5.03,3.0701082892648
2,train,discourse_id,0.8250000000000001,0.9389890434560001,3.77,1.94905844
2,train,discourse_text,19.2,20.2312861086764,26.5,10.9941300810208
2,train,pred_len,0.796,0.9389890434560001,3.0,1.94905844
2,train,discourse_len,0.716,0.9389890434560001,2.85,1.94905844
3,train,pred_len,0.719,0.9389890434560001,2.38,1.94905844
3,train,discourse_len,0.63,0.9389890434560001,2.78,1.94905844
4,train,discourse_id,0.836,0.9389890434560001,2.39,1.94905844
5,train,predictionstring,19.0,14.697095854124,18.2,8.249737788812801
5,train,discourse_id,0.963,0.9389890434560001,3.14,1.94905844
6,train,discourse_type,7.16,4.445295676631,4.4,3.0701082892648
6,train,discourse_len,1.06,0.9389890434560001,5.18,1.94905844
7,train,discourse_type_num,7.15,4.5620811378626005,4.57,3.1291130893624
7,train,id,6.87,4.685123713822399,4.58,3.1912792401952
8,train,discourse_type,6.65,4.445295676631,4.17,3.0701082892648
8,train,discourse_end,1.18,0.9389890434560001,2.91,1.94905844
8,train,discourse_start,1.34,0.9389890434560001,3.1,1.94905844
8,data,discourse_type,1.22,0.0015663330536,2.71,1.7385891601335999
8,data,discourse_end,1.35,0.8127360905984,2.87,0.056804147793600004
8,data,discourse_start,0.999,0.8127360905984,2.05,0.056804147793600004
9,train,id,6.94,4.685123713822399,4.36,3.1912792401952
10,train,discourse_type,6.72,4.445295676631,4.04,3.0701082892648
10,train,id,7.15,4.685123713822399,4.23,3.1912792401952
10,train,discourse_nr,0.969,0.9389890434560001,2.42,1.94905844
11,train,id,6.85,4.685123713822399,4.6,3.1912792401952
11,train,essay_len,0.796,0.9389890434560001,2.96,1.94905844
11,train,essay_words,0.799,0.9389890434560001,2.75,1.94905844
12,train,discourse_type,6.93,4.445295676631,5.5,3.0701082892648
12,train,predictionstring,19.3,14.697095854124,18.4,8.249737788812801
12,train,id,7.2,4.685123713822399,5.49,3.1912792401952
12,train,discourse_id,0.6910000000000001,0.9389890434560001,2.62,1.94905844
12,train,discourse_text,20.0,20.2312861086764,24.9,10.9941300810208
12,train,discourse_type_num,7.03,4.5620811378626005,4.26,3.1291130893624
12,train,discourse_end,1.01,0.9389890434560001,2.99,1.94905844
12,train,discourse_start,0.638,0.9389890434560001,2.61,1.94905844
12,train,discourse_len,0.623,0.9389890434560001,4.37,1.94905844
12,train,essay_words,0.836,0.9389890434560001,2.31,1.94905844
12,train,pred_len,0.621,0.9389890434560001,2.31,1.94905844
12,train,essay_len,1.11,0.9389890434560001,2.88,1.94905844
12,train,discourse_nr,1.03,0.9389890434560001,2.57,1.94905844
13,train,discourse_type,6.96,4.445295676631,4.56,3.0701082892648
13,train,id,6.97,4.685123713822399,4.92,3.1912792401952
13,train,gap_end_length,2.37,1.2866148873728,3.67,1.1597743964416
13,train,gap_length,1.45,1.2866148873728,2.92,1.14274212
13,train,discourse_end,1.08,0.9389890434560001,2.95,1.94905844
13,train,discourse_start,1.09,0.9389890434560001,3.06,1.94905844
13,train,essay_len,0.728,0.9389890434560001,2.77,1.94905844
14,train,gap_end_length,1.36,1.2866148873728,2.8,1.1597743964416
14,train,gap_length,1.37,1.2866148873728,2.7,1.14274212
15,train,gap_length,1.46,1.2866148873728,2.36,1.14274212
16,train,gap_end_length,1.53,1.2866148873728,3.39,1.1597743964416
17,train,gap_end_length,1.15,1.2866148873728,3.58,1.1597743964416
17,train,gap_length,1.32,1.2866148873728,2.88,1.14274212
18,train,essay_len,0.653,0.9389890434560001,3.28,1.94905844
18,train,id,6.81,4.685123713822399,7.07,3.1912792401952
18,train,gap_end_length,1.63,1.2866148873728,3.84,1.1597743964416
18,train,gap_length,1.22,1.2866148873728,3.4,1.14274212
19,train,discourse_type,6.78,4.445295676631,4.65,3.0701082892648
19,train,predictionstring,18.7,14.697095854124,17.0,8.249737788812801
19,train,id,7.11,4.685123713822399,5.49,3.1912792401952
19,train,gap_end_length,1.46,1.2866148873728,3.7,1.1597743964416
19,train,discourse_id,0.742,0.9389890434560001,2.91,1.94905844
19,train,discourse_text,20.0,20.2312861086764,26.9,10.9941300810208
19,train,gap_length,1.9,1.2866148873728,3.45,1.14274212
19,train,discourse_end,0.753,0.9389890434560001,5.67,1.94905844
19,train,discourse_type_num,7.36,4.5620811378626005,4.7,3.1291130893624
19,train,discourse_start,0.635,0.9389890434560001,3.24,1.94905844
19,train,discourse_len,0.848,0.9389890434560001,2.82,1.94905844
19,train,essay_words,0.764,0.9389890434560001,2.82,1.94905844
19,train,pred_len,0.726,0.9389890434560001,2.73,1.94905844
19,train,essay_len,0.88,0.9389890434560001,2.72,1.94905844
19,train,discourse_nr,0.8,0.9389890434560001,3.2,1.94905844
20,data,discourse_type,1.13,0.0015663330536,2.85,1.7385891601335999
20,data,discourse_end,1.38,0.8127360905984,2.12,0.056804147793600004
20,data,discourse_start,0.587,0.8127360905984,2.25,0.056804147793600004
20,train,discourse_type,6.89,4.445295676631,4.78,3.0701082892648
20,train,predictionstring,18.6,14.697095854124,16.8,8.249737788812801
20,train,id,7.1,4.685123713822399,5.05,3.1912792401952
