ground_truth_schedule,ground_truth_total_cost,cost_model_schedule,cost_model_total_cost,actual_time_for_cost_model_schedule,predicted_schedule,predicted_total_cost,actual_time_for_predicted_schedule,predicted_cost_model_schedule,predicted_cost_model_total_cost,actual_time_for_predicted_cost_model_schedule
gpu,1810.4009999999998,gpu,1801.2197505643,1812.5439999999999,gpu,1555.96035,1810.4009999999998,gpu,1546.577913695896,1811.3339999999998
gpu,1810.4009999999998,gpu,1801.2197505643,1812.5439999999999,gpu,1555.96035,1810.4009999999998,gpu,1546.577913695896,1811.3339999999998
gpu,1810.4009999999998,gpu,1801.2197505643,1812.5439999999999,gpu,1555.96035,1810.4009999999998,gpu,1546.577913695896,1811.3339999999998
gpu,1810.4009999999998,gpu,1801.2197505643,1812.5439999999999,gpu,1555.96035,1810.4009999999998,gpu,1546.577913695896,1811.3339999999998
gpu,1810.4009999999998,gpu,1801.2197505643,1812.5439999999999,gpu,1555.96035,1810.4009999999998,gpu,1546.577913695896,1811.3339999999998
gpu,1810.4009999999998,gpu,1801.2197505643,1812.5439999999999,gpu,1555.96035,1810.4009999999998,gpu,1546.577913695896,1811.3339999999998
cpu,1810.4009999999998,cpu,1801.2197505643,1812.5439999999999,cpu,1555.96035,1810.4009999999998,cpu,1546.577913695896,1811.3339999999998
gpu,1810.4009999999998,cpu,1801.2197505643,1812.5439999999999,gpu,1555.96035,1810.4009999999998,gpu,1546.577913695896,1811.3339999999998
gpu,1810.4009999999998,gpu,1801.2197505643,1812.5439999999999,gpu,1555.96035,1810.4009999999998,gpu,1546.577913695896,1811.3339999999998
cpu,1810.4009999999998,cpu,1801.2197505643,1812.5439999999999,cpu,1555.96035,1810.4009999999998,cpu,1546.577913695896,1811.3339999999998
cpu,1810.4009999999998,cpu,1801.2197505643,1812.5439999999999,cpu,1555.96035,1810.4009999999998,cpu,1546.577913695896,1811.3339999999998
cpu,1810.4009999999998,cpu,1801.2197505643,1812.5439999999999,cpu,1555.96035,1810.4009999999998,cpu,1546.577913695896,1811.3339999999998
cpu,1810.4009999999998,cpu,1801.2197505643,1812.5439999999999,cpu,1555.96035,1810.4009999999998,cpu,1546.577913695896,1811.3339999999998
cpu,1810.4009999999998,cpu,1801.2197505643,1812.5439999999999,cpu,1555.96035,1810.4009999999998,cpu,1546.577913695896,1811.3339999999998
cpu,1810.4009999999998,cpu,1801.2197505643,1812.5439999999999,cpu,1555.96035,1810.4009999999998,cpu,1546.577913695896,1811.3339999999998
gpu,1810.4009999999998,cpu,1801.2197505643,1812.5439999999999,gpu,1555.96035,1810.4009999999998,cpu,1546.577913695896,1811.3339999999998
cpu,1810.4009999999998,cpu,1801.2197505643,1812.5439999999999,cpu,1555.96035,1810.4009999999998,cpu,1546.577913695896,1811.3339999999998
gpu,1810.4009999999998,gpu,1801.2197505643,1812.5439999999999,gpu,1555.96035,1810.4009999999998,gpu,1546.577913695896,1811.3339999999998
cpu,1810.4009999999998,cpu,1801.2197505643,1812.5439999999999,cpu,1555.96035,1810.4009999999998,cpu,1546.577913695896,1811.3339999999998
cpu,1810.4009999999998,cpu,1801.2197505643,1812.5439999999999,cpu,1555.96035,1810.4009999999998,cpu,1546.577913695896,1811.3339999999998
cpu,1810.4009999999998,cpu,1801.2197505643,1812.5439999999999,cpu,1555.96035,1810.4009999999998,cpu,1546.577913695896,1811.3339999999998
cpu,1810.4009999999998,cpu,1801.2197505643,1812.5439999999999,cpu,1555.96035,1810.4009999999998,cpu,1546.577913695896,1811.3339999999998
cpu,1810.4009999999998,cpu,1801.2197505643,1812.5439999999999,cpu,1555.96035,1810.4009999999998,cpu,1546.577913695896,1811.3339999999998
cpu,1810.4009999999998,cpu,1801.2197505643,1812.5439999999999,cpu,1555.96035,1810.4009999999998,cpu,1546.577913695896,1811.3339999999998
cpu,1810.4009999999998,cpu,1801.2197505643,1812.5439999999999,cpu,1555.96035,1810.4009999999998,cpu,1546.577913695896,1811.3339999999998
cpu,1810.4009999999998,cpu,1801.2197505643,1812.5439999999999,cpu,1555.96035,1810.4009999999998,cpu,1546.577913695896,1811.3339999999998
