ground_truth_schedule,ground_truth_total_cost,cost_model_schedule,cost_model_total_cost,actual_time_for_cost_model_schedule,predicted_schedule,predicted_total_cost,actual_time_for_predicted_schedule,predicted_cost_model_schedule,predicted_cost_model_total_cost,actual_time_for_predicted_cost_model_schedule
cpu,4664.19048,cpu,4664.19048,4664.19048,cpu,5917.841224999999,4664.19048,cpu,5916.854096250659,4767.86048
cpu,4664.19048,cpu,4664.19048,4664.19048,cpu,5917.841224999999,4664.19048,cpu,5916.854096250659,4767.86048
cpu,4664.19048,cpu,4664.19048,4664.19048,cpu,5917.841224999999,4664.19048,cpu,5916.854096250659,4767.86048
cpu,4664.19048,cpu,4664.19048,4664.19048,cpu,5917.841224999999,4664.19048,cpu,5916.854096250659,4767.86048
cpu,4664.19048,cpu,4664.19048,4664.19048,cpu,5917.841224999999,4664.19048,cpu,5916.854096250659,4767.86048
cpu,4664.19048,cpu,4664.19048,4664.19048,cpu,5917.841224999999,4664.19048,cpu,5916.854096250659,4767.86048
cpu,4664.19048,cpu,4664.19048,4664.19048,cpu,5917.841224999999,4664.19048,cpu,5916.854096250659,4767.86048
cpu,4664.19048,cpu,4664.19048,4664.19048,cpu,5917.841224999999,4664.19048,gpu,5916.854096250659,4767.86048
cpu,4664.19048,cpu,4664.19048,4664.19048,cpu,5917.841224999999,4664.19048,gpu,5916.854096250659,4767.86048
cpu,4664.19048,cpu,4664.19048,4664.19048,cpu,5917.841224999999,4664.19048,gpu,5916.854096250659,4767.86048
cpu,4664.19048,cpu,4664.19048,4664.19048,cpu,5917.841224999999,4664.19048,cpu,5916.854096250659,4767.86048
cpu,4664.19048,cpu,4664.19048,4664.19048,cpu,5917.841224999999,4664.19048,cpu,5916.854096250659,4767.86048
cpu,4664.19048,cpu,4664.19048,4664.19048,cpu,5917.841224999999,4664.19048,cpu,5916.854096250659,4767.86048
cpu,4664.19048,cpu,4664.19048,4664.19048,cpu,5917.841224999999,4664.19048,cpu,5916.854096250659,4767.86048
cpu,4664.19048,cpu,4664.19048,4664.19048,cpu,5917.841224999999,4664.19048,cpu,5916.854096250659,4767.86048
cpu,4664.19048,cpu,4664.19048,4664.19048,cpu,5917.841224999999,4664.19048,cpu,5916.854096250659,4767.86048
cpu,4664.19048,cpu,4664.19048,4664.19048,cpu,5917.841224999999,4664.19048,cpu,5916.854096250659,4767.86048
