ground_truth_schedule,ground_truth_total_cost,cost_model_schedule,cost_model_total_cost,actual_time_for_cost_model_schedule,predicted_schedule,predicted_total_cost,actual_time_for_predicted_schedule,predicted_cost_model_schedule,predicted_cost_model_total_cost,actual_time_for_predicted_cost_model_schedule
gpu,3933.0252,gpu,3933.0252,3933.0252,gpu,3344.1986875000002,3933.02806,gpu,3344.1986875000002,3933.02806
gpu,3933.0252,gpu,3933.0252,3933.0252,gpu,3344.1986875000002,3933.02806,gpu,3344.1986875000002,3933.02806
gpu,3933.0252,gpu,3933.0252,3933.0252,gpu,3344.1986875000002,3933.02806,gpu,3344.1986875000002,3933.02806
gpu,3933.0252,gpu,3933.0252,3933.0252,gpu,3344.1986875000002,3933.02806,gpu,3344.1986875000002,3933.02806
cpu,3933.0252,cpu,3933.0252,3933.0252,gpu,3344.1986875000002,3933.02806,gpu,3344.1986875000002,3933.02806
gpu,3933.0252,gpu,3933.0252,3933.0252,gpu,3344.1986875000002,3933.02806,gpu,3344.1986875000002,3933.02806
gpu,3933.0252,gpu,3933.0252,3933.0252,gpu,3344.1986875000002,3933.02806,gpu,3344.1986875000002,3933.02806
gpu,3933.0252,gpu,3933.0252,3933.0252,gpu,3344.1986875000002,3933.02806,gpu,3344.1986875000002,3933.02806
gpu,3933.0252,gpu,3933.0252,3933.0252,gpu,3344.1986875000002,3933.02806,gpu,3344.1986875000002,3933.02806
gpu,3933.0252,gpu,3933.0252,3933.0252,gpu,3344.1986875000002,3933.02806,gpu,3344.1986875000002,3933.02806
gpu,3933.0252,gpu,3933.0252,3933.0252,gpu,3344.1986875000002,3933.02806,gpu,3344.1986875000002,3933.02806
