ground_truth_schedule,ground_truth_total_cost,cost_model_schedule,cost_model_total_cost,actual_time_for_cost_model_schedule,predicted_schedule,predicted_total_cost,actual_time_for_predicted_schedule,predicted_cost_model_schedule,predicted_cost_model_total_cost,actual_time_for_predicted_cost_model_schedule
gpu,1810.71,gpu,1801.2867577462393,1939.8800000000006,gpu,1708.6625,1820.9100000000005,gpu,1697.2027668263322,1950.0800000000006
gpu,1810.71,gpu,1801.2867577462393,1939.8800000000006,gpu,1708.6625,1820.9100000000005,gpu,1697.2027668263322,1950.0800000000006
gpu,1810.71,cpu,1801.2867577462393,1939.8800000000006,gpu,1708.6625,1820.9100000000005,cpu,1697.2027668263322,1950.0800000000006
gpu,1810.71,gpu,1801.2867577462393,1939.8800000000006,gpu,1708.6625,1820.9100000000005,gpu,1697.2027668263322,1950.0800000000006
gpu,1810.71,cpu,1801.2867577462393,1939.8800000000006,gpu,1708.6625,1820.9100000000005,cpu,1697.2027668263322,1950.0800000000006
gpu,1810.71,cpu,1801.2867577462393,1939.8800000000006,gpu,1708.6625,1820.9100000000005,cpu,1697.2027668263322,1950.0800000000006
gpu,1810.71,gpu,1801.2867577462393,1939.8800000000006,gpu,1708.6625,1820.9100000000005,gpu,1697.2027668263322,1950.0800000000006
gpu,1810.71,gpu,1801.2867577462393,1939.8800000000006,gpu,1708.6625,1820.9100000000005,gpu,1697.2027668263322,1950.0800000000006
gpu,1810.71,gpu,1801.2867577462393,1939.8800000000006,gpu,1708.6625,1820.9100000000005,gpu,1697.2027668263322,1950.0800000000006
gpu,1810.71,gpu,1801.2867577462393,1939.8800000000006,gpu,1708.6625,1820.9100000000005,gpu,1697.2027668263322,1950.0800000000006
gpu,1810.71,gpu,1801.2867577462393,1939.8800000000006,gpu,1708.6625,1820.9100000000005,gpu,1697.2027668263322,1950.0800000000006
gpu,1810.71,gpu,1801.2867577462393,1939.8800000000006,gpu,1708.6625,1820.9100000000005,gpu,1697.2027668263322,1950.0800000000006
gpu,1810.71,gpu,1801.2867577462393,1939.8800000000006,gpu,1708.6625,1820.9100000000005,gpu,1697.2027668263322,1950.0800000000006
gpu,1810.71,gpu,1801.2867577462393,1939.8800000000006,gpu,1708.6625,1820.9100000000005,gpu,1697.2027668263322,1950.0800000000006
gpu,1810.71,gpu,1801.2867577462393,1939.8800000000006,gpu,1708.6625,1820.9100000000005,gpu,1697.2027668263322,1950.0800000000006
gpu,1810.71,gpu,1801.2867577462393,1939.8800000000006,gpu,1708.6625,1820.9100000000005,gpu,1697.2027668263322,1950.0800000000006
gpu,1810.71,gpu,1801.2867577462393,1939.8800000000006,gpu,1708.6625,1820.9100000000005,gpu,1697.2027668263322,1950.0800000000006
cpu,1810.71,cpu,1801.2867577462393,1939.8800000000006,gpu,1708.6625,1820.9100000000005,gpu,1697.2027668263322,1950.0800000000006
gpu,1810.71,gpu,1801.2867577462393,1939.8800000000006,gpu,1708.6625,1820.9100000000005,gpu,1697.2027668263322,1950.0800000000006
