ground_truth_schedule,ground_truth_total_cost,cost_model_schedule,cost_model_total_cost,actual_time_for_cost_model_schedule,predicted_schedule,predicted_total_cost,actual_time_for_predicted_schedule,predicted_cost_model_schedule,predicted_cost_model_total_cost,actual_time_for_predicted_cost_model_schedule
cpu,112404.30874000001,cpu,112384.6638516202,112404.30874000001,cpu,113727.71691250005,112483.05264000001,cpu,113714.37888600108,112451.19964
cpu,112404.30874000001,cpu,112384.6638516202,112404.30874000001,cpu,113727.71691250005,112483.05264000001,cpu,113714.37888600108,112451.19964
cpu,112404.30874000001,cpu,112384.6638516202,112404.30874000001,cpu,113727.71691250005,112483.05264000001,cpu,113714.37888600108,112451.19964
cpu,112404.30874000001,cpu,112384.6638516202,112404.30874000001,gpu,113727.71691250005,112483.05264000001,gpu,113714.37888600108,112451.19964
cpu,112404.30874000001,cpu,112384.6638516202,112404.30874000001,cpu,113727.71691250005,112483.05264000001,cpu,113714.37888600108,112451.19964
cpu,112404.30874000001,cpu,112384.6638516202,112404.30874000001,cpu,113727.71691250005,112483.05264000001,cpu,113714.37888600108,112451.19964
cpu,112404.30874000001,cpu,112384.6638516202,112404.30874000001,cpu,113727.71691250005,112483.05264000001,cpu,113714.37888600108,112451.19964
cpu,112404.30874000001,cpu,112384.6638516202,112404.30874000001,cpu,113727.71691250005,112483.05264000001,cpu,113714.37888600108,112451.19964
cpu,112404.30874000001,cpu,112384.6638516202,112404.30874000001,cpu,113727.71691250005,112483.05264000001,cpu,113714.37888600108,112451.19964
cpu,112404.30874000001,cpu,112384.6638516202,112404.30874000001,cpu,113727.71691250005,112483.05264000001,cpu,113714.37888600108,112451.19964
gpu,112404.30874000001,gpu,112384.6638516202,112404.30874000001,gpu,113727.71691250005,112483.05264000001,gpu,113714.37888600108,112451.19964
gpu,112404.30874000001,gpu,112384.6638516202,112404.30874000001,cpu,113727.71691250005,112483.05264000001,cpu,113714.37888600108,112451.19964
gpu,112404.30874000001,gpu,112384.6638516202,112404.30874000001,cpu,113727.71691250005,112483.05264000001,cpu,113714.37888600108,112451.19964
cpu,112404.30874000001,cpu,112384.6638516202,112404.30874000001,cpu,113727.71691250005,112483.05264000001,cpu,113714.37888600108,112451.19964
cpu,112404.30874000001,cpu,112384.6638516202,112404.30874000001,cpu,113727.71691250005,112483.05264000001,cpu,113714.37888600108,112451.19964
gpu,112404.30874000001,gpu,112384.6638516202,112404.30874000001,cpu,113727.71691250005,112483.05264000001,gpu,113714.37888600108,112451.19964
gpu,112404.30874000001,gpu,112384.6638516202,112404.30874000001,cpu,113727.71691250005,112483.05264000001,gpu,113714.37888600108,112451.19964
gpu,112404.30874000001,gpu,112384.6638516202,112404.30874000001,gpu,113727.71691250005,112483.05264000001,gpu,113714.37888600108,112451.19964
gpu,112404.30874000001,gpu,112384.6638516202,112404.30874000001,cpu,113727.71691250005,112483.05264000001,cpu,113714.37888600108,112451.19964
gpu,112404.30874000001,gpu,112384.6638516202,112404.30874000001,gpu,113727.71691250005,112483.05264000001,gpu,113714.37888600108,112451.19964
