ground_truth_schedule,ground_truth_total_cost,cost_model_schedule,cost_model_total_cost,actual_time_for_cost_model_schedule,predicted_schedule,predicted_total_cost,actual_time_for_predicted_schedule,predicted_cost_model_schedule,predicted_cost_model_total_cost,actual_time_for_predicted_cost_model_schedule
gpu,1088.1399999999999,gpu,1088.1399999999999,1088.14,gpu,1565.593,1103.21,gpu,1538.8314640485378,1178.51
gpu,1088.1399999999999,gpu,1088.1399999999999,1088.14,gpu,1565.593,1103.21,gpu,1538.8314640485378,1178.51
gpu,1088.1399999999999,gpu,1088.1399999999999,1088.14,gpu,1565.593,1103.21,cpu,1538.8314640485378,1178.51
gpu,1088.1399999999999,gpu,1088.1399999999999,1088.14,cpu,1565.593,1103.21,cpu,1538.8314640485378,1178.51
gpu,1088.1399999999999,gpu,1088.1399999999999,1088.14,gpu,1565.593,1103.21,gpu,1538.8314640485378,1178.51
gpu,1088.1399999999999,gpu,1088.1399999999999,1088.14,gpu,1565.593,1103.21,gpu,1538.8314640485378,1178.51
gpu,1088.1399999999999,gpu,1088.1399999999999,1088.14,gpu,1565.593,1103.21,gpu,1538.8314640485378,1178.51
gpu,1088.1399999999999,gpu,1088.1399999999999,1088.14,gpu,1565.593,1103.21,gpu,1538.8314640485378,1178.51
gpu,1088.1399999999999,gpu,1088.1399999999999,1088.14,gpu,1565.593,1103.21,gpu,1538.8314640485378,1178.51
gpu,1088.1399999999999,gpu,1088.1399999999999,1088.14,gpu,1565.593,1103.21,gpu,1538.8314640485378,1178.51
gpu,1088.1399999999999,gpu,1088.1399999999999,1088.14,gpu,1565.593,1103.21,gpu,1538.8314640485378,1178.51
gpu,1088.1399999999999,gpu,1088.1399999999999,1088.14,gpu,1565.593,1103.21,gpu,1538.8314640485378,1178.51
gpu,1088.1399999999999,gpu,1088.1399999999999,1088.14,gpu,1565.593,1103.21,gpu,1538.8314640485378,1178.51
gpu,1088.1399999999999,gpu,1088.1399999999999,1088.14,gpu,1565.593,1103.21,gpu,1538.8314640485378,1178.51
gpu,1088.1399999999999,gpu,1088.1399999999999,1088.14,gpu,1565.593,1103.21,gpu,1538.8314640485378,1178.51
gpu,1088.1399999999999,gpu,1088.1399999999999,1088.14,gpu,1565.593,1103.21,gpu,1538.8314640485378,1178.51
