cell_idx,df_name,df_col,cpu->gpu,cost-cpu->gpu,gpu->cpu,cost-gpu->cpu
0,main_df,tconst,7.37,3.160432478464,30.6,21.6022725433088
0,main_df,averageRating,18.6,12.7783226527232,26.2,27.4770746810624
0,main_df,numVotes,4.67,3.160432478464,22.4,21.6022725433088
0,main_df,titleType,211.0,111.4421676124618,50.7,34.9747119947456
0,main_df,primaryTitle,1200.0,129.6857794070518,326.0,43.4150192970872
0,main_df,originalTitle,1210.0,130.198117753324,346.0,43.438235577178396
0,main_df,isAdult,18.9,12.7783226527232,24.6,27.4770746810624
0,main_df,startYear,20.3,12.7783226527232,35.3,27.9056623719296
0,main_df,endYear,22.1,12.7783226527232,37.7,27.9056623719296
0,main_df,runtimeMinutes,24.1,12.7783226527232,78.6,27.9056623719296
0,main_df,genres,14.2,12.7783226527232,18.8,3.9126595260000006
1,main_df,tconst,3.7,3.160432478464,13.9,21.6022725433088
1,main_df,averageRating,13.3,12.7783226527232,14.1,27.4770746810624
1,main_df,numVotes,3.87,3.160432478464,17.5,21.6022725433088
1,main_df,titleType,158.0,111.4421676124618,151.0,34.9747119947456
1,main_df,primaryTitle,1040.0,129.6857794070518,323.0,43.4150192970872
1,main_df,originalTitle,1110.0,130.198117753324,347.0,43.438235577178396
1,main_df,isAdult,14.3,12.7783226527232,14.7,27.4770746810624
1,main_df,startYear,15.5,12.7783226527232,20.5,27.9056623719296
1,main_df,endYear,15.4,12.7783226527232,22.7,27.9056623719296
1,main_df,runtimeMinutes,22.8,12.7783226527232,81.7,27.9056623719296
1,main_df,genres,14.3,12.7783226527232,24.3,3.9126595260000006
1,imdb_df,tconst,3.95,3.160432478464,14.8,21.6022725433088
1,imdb_df,averageRating,13.7,12.7783226527232,15.4,27.4770746810624
1,imdb_df,numVotes,4.57,3.160432478464,14.5,21.6022725433088
1,imdb_df,titleType,173.0,111.4421676124618,44.9,34.9747119947456
1,imdb_df,primaryTitle,1030.0,129.6857794070518,359.0,43.4150192970872
1,imdb_df,originalTitle,1040.0,130.198117753324,390.0,43.438235577178396
1,imdb_df,isAdult,17.9,12.7783226527232,25.6,27.4770746810624
1,imdb_df,startYear,14.1,12.7783226527232,96.1,27.9056623719296
1,imdb_df,endYear,22.4,12.7783226527232,23.4,27.9056623719296
1,imdb_df,runtimeMinutes,29.3,12.7783226527232,24.7,27.9056623719296
1,imdb_df,genres,18.8,12.7783226527232,21.7,3.9126595260000006
2,imdb_df,runtimeMinutes,22.6,12.7783226527232,131.0,27.9056623719296
3,imdb_df,runtimeMinutes,27.9,12.7783226527232,23.6,27.9056623719296
3,imdb_df,runtime_delta,29.7,12.7783226527232,27.7,14.1953750313984
4,imdb_df,runtime_delta,14.2,57.19847902388479,24.2,219.16100735174402
5,imdb_df,isAdult,13.2,12.7783226527232,15.0,27.4770746810624
6,imdb_df,isAdult,415.0,63.7245395105152,51.6,40.6946138568368
7,imdb_df,isAdult,155.0,110.89187083820799,76.3,40.6015103666144
8,imdb_df,endYear,21.0,12.7783226527232,22.7,27.9056623719296
8,imdb_df,startYear,14.4,12.7783226527232,20.0,27.9056623719296
8,imdb_df,premiere_timeline,3.92,3.160432478464,15.1,21.6022725433088
9,imdb_df,tconst,4.25,3.160432478464,15.2,21.6022725433088
9,imdb_df,startYear,17.3,12.7783226527232,20.4,27.9056623719296
9,imdb_df,primaryTitle,1020.0,129.6857794070518,364.0,43.4150192970872
9,imdb_df,endYear,15.2,12.7783226527232,38.1,27.9056623719296
9,imdb_df,premiere_timeline,4.55,3.160432478464,23.5,21.6022725433088
9,imdb_df,numVotes,4.36,3.160432478464,22.9,21.6022725433088
9,imdb_df,runtimeMinutes,29.3,12.7783226527232,51.7,27.9056623719296
9,imdb_df,genres,14.7,12.7783226527232,19.1,3.9126595260000006
9,imdb_df,averageRating,13.0,12.7783226527232,14.7,27.4770746810624
9,imdb_df,runtime_delta,12.0,57.19847902388479,20.4,219.16100735174402
9,imdb_df,titleType,178.0,111.4421676124618,52.1,34.9747119947456
9,imdb_df,isAdult,238.0,110.89187083820799,44.6,40.6015103666144
9,imdb_df,originalTitle,1150.0,130.198117753324,350.0,43.438235577178396
10,imdb_df,Title_Name,905.0,129.6857794070518,324.0,43.4150192970872
10,imdb_df,Avg_Rating,13.9,12.7783226527232,15.0,27.4770746810624
10,imdb_df,Total_Votes,3.79,3.160432478464,14.4,21.6022725433088
11,imdb_df,Total_Votes,3.7,3.160432478464,14.6,21.6022725433088
11,imdb_df,Avg_Rating,12.4,12.7783226527232,14.6,27.4770746810624
11,imdb_df,Title_Category,149.0,111.4421676124618,45.7,34.9747119947456
12,imdb_df,Title_Category,149.0,111.4421676124618,48.9,34.9747119947456
12,imdb_df,Title_Runtime_Length,11.3,57.19847902388479,19.2,219.16100735174402
13,imdb_df,Title_Category,164.0,111.4421676124618,44.2,34.9747119947456
13,imdb_df,Title_Runtime_Length,11.5,57.19847902388479,22.1,219.16100735174402
14,imdb_df,IN-18+,145.0,110.89187083820799,37.2,40.6015103666144
14,imdb_df,Avg_Rating,12.2,12.7783226527232,15.2,27.4770746810624
14,imdb_df,Title_Category,145.0,111.4421676124618,51.2,34.9747119947456
15,imdb_df,IN-18+,144.0,110.89187083820799,39.2,40.6015103666144
15,imdb_df,Avg_Rating,12.2,12.7783226527232,14.7,27.4770746810624
15,imdb_df,Title_Category,145.0,111.4421676124618,44.2,34.9747119947456
